ability,abilities,academy,academies,2
century,centuries,woman,women,2
child,children,city,cities,2
child,children,community,communities,2
child,children,country,countries,2
child,children,county,counties,2
child,children,datum,data,2
child,children,duty,duties,2
child,children,economy,economies,2
child,children,energy,energies,2
child,children,entry,entries,2
child,children,facility,facilities,2
child,children,family,families,2
child,children,formula,formulae,2
child,children,history,histories,2
child,children,industry,industries,2
child,children,library,libraries,2
child,children,life,lives,2
child,children,loss,losses,2
child,children,majority,majorities,2
child,children,memory,memories,2
child,children,opportunity,opportunities,2
child,children,policy,policies,2
child,children,property,properties,2
child,children,responsibility,responsibilities,2
child,children,safety,safeties,2
child,children,secretary,secretaries,2
child,children,security,securities,2
child,children,series,series,2
child,children,society,societies,2
child,children,species,species,2
child,children,story,stories,2
child,children,strategy,strategies,2
child,children,success,successes,2
child,children,technology,technologies,2
child,children,theory,theories,2
child,children,university,universities,2
child,children,variety,varieties,2
child,children,wife,wives,2
child,children,woman,women,2
city,cities,community,communities,2
city,cities,country,countries,2
city,cities,county,counties,2
city,cities,datum,data,2
city,cities,duty,duties,2
city,cities,economy,economies,2
city,cities,energy,energies,2
city,cities,entry,entries,2
city,cities,facility,facilities,2
city,cities,family,families,2
city,cities,formula,formulae,2
city,cities,history,histories,2
city,cities,industry,industries,2
city,cities,library,libraries,2
city,cities,life,lives,2
city,cities,loss,losses,2
city,cities,majority,majorities,2
city,cities,memory,memories,2
city,cities,opportunity,opportunities,2
city,cities,policy,policies,2
city,cities,property,properties,2
city,cities,responsibility,responsibilities,2
city,cities,safety,safeties,2
city,cities,secretary,secretaries,2
city,cities,security,securities,2
city,cities,series,series,2
city,cities,society,societies,2
city,cities,species,species,2
city,cities,story,stories,2
city,cities,strategy,strategies,2
city,cities,success,successes,2
city,cities,technology,technologies,2
city,cities,theory,theories,2
city,cities,university,universities,2
city,cities,variety,varieties,2
city,cities,wife,wives,2
city,cities,woman,women,2
community,communities,country,countries,2
community,communities,county,counties,2
community,communities,datum,data,2
community,communities,duty,duties,2
community,communities,economy,economies,2
community,communities,energy,energies,2
community,communities,entry,entries,2
community,communities,facility,facilities,2
community,communities,family,families,2
community,communities,formula,formulae,2
community,communities,history,histories,2
community,communities,industry,industries,2
community,communities,library,libraries,2
community,communities,life,lives,2
community,communities,loss,losses,2
community,communities,majority,majorities,2
community,communities,memory,memories,2
community,communities,opportunity,opportunities,2
community,communities,policy,policies,2
community,communities,property,properties,2
community,communities,responsibility,responsibilities,2
community,communities,safety,safeties,2
community,communities,secretary,secretaries,2
community,communities,security,securities,2
community,communities,series,series,2
community,communities,society,societies,2
community,communities,species,species,2
community,communities,story,stories,2
community,communities,strategy,strategies,2
community,communities,success,successes,2
community,communities,technology,technologies,2
community,communities,theory,theories,2
community,communities,university,universities,2
community,communities,variety,varieties,2
community,communities,wife,wives,2
community,communities,woman,women,2
country,countries,county,counties,2
country,countries,datum,data,2
country,countries,duty,duties,2
country,countries,economy,economies,2
country,countries,energy,energies,2
country,countries,entry,entries,2
country,countries,facility,facilities,2
country,countries,family,families,2
country,countries,formula,formulae,2
country,countries,history,histories,2
country,countries,industry,industries,2
country,countries,library,libraries,2
country,countries,life,lives,2
country,countries,loss,losses,2
country,countries,majority,majorities,2
country,countries,memory,memories,2
country,countries,opportunity,opportunities,2
country,countries,policy,policies,2
country,countries,property,properties,2
country,countries,responsibility,responsibilities,2
country,countries,safety,safeties,2
country,countries,secretary,secretaries,2
country,countries,security,securities,2
country,countries,series,series,2
country,countries,society,societies,2
country,countries,species,species,2
country,countries,story,stories,2
country,countries,strategy,strategies,2
country,countries,success,successes,2
country,countries,technology,technologies,2
country,countries,theory,theories,2
country,countries,university,universities,2
country,countries,variety,varieties,2
country,countries,wife,wives,2
country,countries,woman,women,2
county,counties,datum,data,2
county,counties,duty,duties,2
county,counties,economy,economies,2
county,counties,energy,energies,2
county,counties,entry,entries,2
county,counties,facility,facilities,2
county,counties,family,families,2
county,counties,formula,formulae,2
county,counties,history,histories,2
county,counties,industry,industries,2
county,counties,library,libraries,2
county,counties,life,lives,2
county,counties,loss,losses,2
county,counties,majority,majorities,2
county,counties,memory,memories,2
county,counties,opportunity,opportunities,2
county,counties,policy,policies,2
county,counties,property,properties,2
county,counties,responsibility,responsibilities,2
county,counties,safety,safeties,2
county,counties,secretary,secretaries,2
county,counties,security,securities,2
county,counties,series,series,2
county,counties,society,societies,2
county,counties,species,species,2
county,counties,story,stories,2
county,counties,strategy,strategies,2
county,counties,success,successes,2
county,counties,technology,technologies,2
county,counties,theory,theories,2
county,counties,university,universities,2
county,counties,variety,varieties,2
county,counties,wife,wives,2
county,counties,woman,women,2
datum,data,duty,duties,2
datum,data,economy,economies,2
datum,data,energy,energies,2
datum,data,entry,entries,2
datum,data,facility,facilities,2
datum,data,family,families,2
datum,data,formula,formulae,2
datum,data,history,histories,2
datum,data,industry,industries,2
datum,data,library,libraries,2
datum,data,life,lives,2
datum,data,loss,losses,2
datum,data,majority,majorities,2
datum,data,memory,memories,2
datum,data,opportunity,opportunities,2
datum,data,policy,policies,2
datum,data,property,properties,2
datum,data,responsibility,responsibilities,2
datum,data,safety,safeties,2
datum,data,secretary,secretaries,2
datum,data,security,securities,2
datum,data,series,series,2
datum,data,society,societies,2
datum,data,species,species,2
datum,data,story,stories,2
datum,data,strategy,strategies,2
datum,data,success,successes,2
datum,data,technology,technologies,2
datum,data,theory,theories,2
datum,data,university,universities,2
datum,data,variety,varieties,2
datum,data,wife,wives,2
datum,data,woman,women,2
duty,duties,economy,economies,2
duty,duties,energy,energies,2
duty,duties,entry,entries,2
duty,duties,facility,facilities,2
duty,duties,family,families,2
duty,duties,formula,formulae,2
duty,duties,history,histories,2
duty,duties,industry,industries,2
duty,duties,library,libraries,2
duty,duties,life,lives,2
duty,duties,loss,losses,2
duty,duties,majority,majorities,2
duty,duties,memory,memories,2
duty,duties,opportunity,opportunities,2
duty,duties,policy,policies,2
duty,duties,property,properties,2
duty,duties,responsibility,responsibilities,2
duty,duties,safety,safeties,2
duty,duties,secretary,secretaries,2
duty,duties,security,securities,2
duty,duties,series,series,2
duty,duties,society,societies,2
duty,duties,species,species,2
duty,duties,story,stories,2
duty,duties,strategy,strategies,2
duty,duties,success,successes,2
duty,duties,technology,technologies,2
duty,duties,theory,theories,2
duty,duties,university,universities,2
duty,duties,variety,varieties,2
duty,duties,wife,wives,2
duty,duties,woman,women,2
economy,economies,energy,energies,2
economy,economies,entry,entries,2
economy,economies,facility,facilities,2
economy,economies,family,families,2
economy,economies,formula,formulae,2
economy,economies,history,histories,2
economy,economies,industry,industries,2
economy,economies,library,libraries,2
economy,economies,life,lives,2
economy,economies,loss,losses,2
economy,economies,majority,majorities,2
economy,economies,memory,memories,2
economy,economies,opportunity,opportunities,2
economy,economies,policy,policies,2
economy,economies,property,properties,2
economy,economies,responsibility,responsibilities,2
economy,economies,safety,safeties,2
economy,economies,secretary,secretaries,2
economy,economies,security,securities,2
economy,economies,series,series,2
economy,economies,society,societies,2
economy,economies,species,species,2
economy,economies,story,stories,2
economy,economies,strategy,strategies,2
economy,economies,success,successes,2
economy,economies,technology,technologies,2
economy,economies,theory,theories,2
economy,economies,university,universities,2
economy,economies,variety,varieties,2
economy,economies,wife,wives,2
economy,economies,woman,women,2
energy,energies,entry,entries,2
energy,energies,facility,facilities,2
energy,energies,family,families,2
energy,energies,formula,formulae,2
energy,energies,history,histories,2
energy,energies,industry,industries,2
energy,energies,library,libraries,2
energy,energies,life,lives,2
energy,energies,loss,losses,2
energy,energies,majority,majorities,2
energy,energies,memory,memories,2
energy,energies,opportunity,opportunities,2
energy,energies,policy,policies,2
energy,energies,property,properties,2
energy,energies,responsibility,responsibilities,2
energy,energies,safety,safeties,2
energy,energies,secretary,secretaries,2
energy,energies,security,securities,2
energy,energies,series,series,2
energy,energies,society,societies,2
energy,energies,species,species,2
energy,energies,story,stories,2
energy,energies,strategy,strategies,2
energy,energies,success,successes,2
energy,energies,technology,technologies,2
energy,energies,theory,theories,2
energy,energies,university,universities,2
energy,energies,variety,varieties,2
energy,energies,wife,wives,2
energy,energies,woman,women,2
entry,entries,facility,facilities,2
entry,entries,family,families,2
entry,entries,formula,formulae,2
entry,entries,history,histories,2
entry,entries,industry,industries,2
entry,entries,library,libraries,2
entry,entries,life,lives,2
entry,entries,loss,losses,2
entry,entries,majority,majorities,2
entry,entries,memory,memories,2
entry,entries,opportunity,opportunities,2
entry,entries,policy,policies,2
entry,entries,property,properties,2
entry,entries,responsibility,responsibilities,2
entry,entries,safety,safeties,2
entry,entries,secretary,secretaries,2
entry,entries,security,securities,2
entry,entries,series,series,2
entry,entries,society,societies,2
entry,entries,species,species,2
entry,entries,story,stories,2
entry,entries,strategy,strategies,2
entry,entries,success,successes,2
entry,entries,technology,technologies,2
entry,entries,theory,theories,2
entry,entries,university,universities,2
entry,entries,variety,varieties,2
entry,entries,wife,wives,2
entry,entries,woman,women,2
facility,facilities,family,families,2
facility,facilities,formula,formulae,2
facility,facilities,history,histories,2
facility,facilities,industry,industries,2
facility,facilities,library,libraries,2
facility,facilities,life,lives,2
facility,facilities,loss,losses,2
facility,facilities,majority,majorities,2
facility,facilities,memory,memories,2
facility,facilities,opportunity,opportunities,2
facility,facilities,policy,policies,2
facility,facilities,property,properties,2
facility,facilities,responsibility,responsibilities,2
facility,facilities,safety,safeties,2
facility,facilities,secretary,secretaries,2
facility,facilities,security,securities,2
facility,facilities,series,series,2
facility,facilities,society,societies,2
facility,facilities,species,species,2
facility,facilities,story,stories,2
facility,facilities,strategy,strategies,2
facility,facilities,success,successes,2
facility,facilities,technology,technologies,2
facility,facilities,theory,theories,2
facility,facilities,university,universities,2
facility,facilities,variety,varieties,2
facility,facilities,wife,wives,2
facility,facilities,woman,women,2
family,families,formula,formulae,2
family,families,history,histories,2
family,families,industry,industries,2
family,families,library,libraries,2
family,families,life,lives,2
family,families,loss,losses,2
family,families,majority,majorities,2
family,families,memory,memories,2
family,families,opportunity,opportunities,2
family,families,policy,policies,2
family,families,property,properties,2
family,families,responsibility,responsibilities,2
family,families,safety,safeties,2
family,families,secretary,secretaries,2
family,families,security,securities,2
family,families,series,series,2
family,families,society,societies,2
family,families,species,species,2
family,families,story,stories,2
family,families,strategy,strategies,2
family,families,success,successes,2
family,families,technology,technologies,2
family,families,theory,theories,2
family,families,university,universities,2
family,families,variety,varieties,2
family,families,wife,wives,2
family,families,woman,women,2
formula,formulae,history,histories,2
formula,formulae,industry,industries,2
formula,formulae,library,libraries,2
formula,formulae,life,lives,2
formula,formulae,loss,losses,2
formula,formulae,majority,majorities,2
formula,formulae,memory,memories,2
formula,formulae,opportunity,opportunities,2
formula,formulae,policy,policies,2
formula,formulae,property,properties,2
formula,formulae,responsibility,responsibilities,2
formula,formulae,safety,safeties,2
formula,formulae,secretary,secretaries,2
formula,formulae,security,securities,2
formula,formulae,series,series,2
formula,formulae,society,societies,2
formula,formulae,species,species,2
formula,formulae,story,stories,2
formula,formulae,strategy,strategies,2
formula,formulae,success,successes,2
formula,formulae,technology,technologies,2
formula,formulae,theory,theories,2
formula,formulae,university,universities,2
formula,formulae,variety,varieties,2
formula,formulae,wife,wives,2
formula,formulae,woman,women,2
history,histories,industry,industries,2
history,histories,library,libraries,2
history,histories,life,lives,2
history,histories,loss,losses,2
history,histories,majority,majorities,2
history,histories,memory,memories,2
history,histories,opportunity,opportunities,2
history,histories,policy,policies,2
history,histories,property,properties,2
history,histories,responsibility,responsibilities,2
history,histories,safety,safeties,2
history,histories,secretary,secretaries,2
history,histories,security,securities,2
history,histories,series,series,2
history,histories,society,societies,2
history,histories,species,species,2
history,histories,story,stories,2
history,histories,strategy,strategies,2
history,histories,success,successes,2
history,histories,technology,technologies,2
history,histories,theory,theories,2
history,histories,university,universities,2
history,histories,variety,varieties,2
history,histories,wife,wives,2
history,histories,woman,women,2
industry,industries,library,libraries,2
industry,industries,life,lives,2
industry,industries,loss,losses,2
industry,industries,majority,majorities,2
industry,industries,memory,memories,2
industry,industries,opportunity,opportunities,2
industry,industries,policy,policies,2
industry,industries,property,properties,2
industry,industries,responsibility,responsibilities,2
industry,industries,safety,safeties,2
industry,industries,secretary,secretaries,2
industry,industries,security,securities,2
industry,industries,series,series,2
industry,industries,society,societies,2
industry,industries,species,species,2
industry,industries,story,stories,2
industry,industries,strategy,strategies,2
industry,industries,success,successes,2
industry,industries,technology,technologies,2
industry,industries,theory,theories,2
industry,industries,university,universities,2
industry,industries,variety,varieties,2
industry,industries,wife,wives,2
industry,industries,woman,women,2
library,libraries,life,lives,2
library,libraries,loss,losses,2
library,libraries,majority,majorities,2
library,libraries,memory,memories,2
library,libraries,opportunity,opportunities,2
library,libraries,policy,policies,2
library,libraries,property,properties,2
library,libraries,responsibility,responsibilities,2
library,libraries,safety,safeties,2
library,libraries,secretary,secretaries,2
library,libraries,security,securities,2
library,libraries,series,series,2
library,libraries,society,societies,2
library,libraries,species,species,2
library,libraries,story,stories,2
library,libraries,strategy,strategies,2
library,libraries,success,successes,2
library,libraries,technology,technologies,2
library,libraries,theory,theories,2
library,libraries,university,universities,2
library,libraries,variety,varieties,2
library,libraries,wife,wives,2
library,libraries,woman,women,2
life,lives,loss,losses,2
life,lives,majority,majorities,2
life,lives,memory,memories,2
life,lives,opportunity,opportunities,2
life,lives,policy,policies,2
life,lives,property,properties,2
life,lives,responsibility,responsibilities,2
life,lives,safety,safeties,2
life,lives,secretary,secretaries,2
life,lives,security,securities,2
life,lives,series,series,2
life,lives,society,societies,2
life,lives,species,species,2
life,lives,story,stories,2
life,lives,strategy,strategies,2
life,lives,success,successes,2
life,lives,technology,technologies,2
life,lives,theory,theories,2
life,lives,university,universities,2
life,lives,variety,varieties,2
life,lives,wife,wives,2
life,lives,woman,women,2
loss,losses,majority,majorities,2
loss,losses,memory,memories,2
loss,losses,opportunity,opportunities,2
loss,losses,policy,policies,2
loss,losses,property,properties,2
loss,losses,responsibility,responsibilities,2
loss,losses,safety,safeties,2
loss,losses,secretary,secretaries,2
loss,losses,security,securities,2
loss,losses,series,series,2
loss,losses,society,societies,2
