able,ablest,angry,angriest,4
cheap,cheapest,lucky,luckiest,4
cheap,cheapest,merry,merriest,4
cheap,cheapest,mild,mildest,4
cheap,cheapest,nasty,nastiest,4
cheap,cheapest,neat,neatest,4
cheap,cheapest,nice,nicest,4
cheap,cheapest,noisy,noisiest,4
cheap,cheapest,proud,proudest,4
cheap,cheapest,pure,purest,4
cheap,cheapest,rare,rarest,4
cheap,cheapest,risky,riskiest,4
cheap,cheapest,rude,rudest,4
cheap,cheapest,sad,saddest,4
cheap,cheapest,scary,scariest,4
cheap,cheapest,sexy,sexiest,4
cheap,cheapest,shiny,shiniest,4
cheap,cheapest,strange,strangest,4
cheap,cheapest,strict,strictest,4
cheap,cheapest,strong,strongest,4
cheap,cheapest,subtle,subtlest,4
cheap,cheapest,sunny,sunniest,4
cheap,cheapest,tasty,tastiest,4
cheap,cheapest,tiny,tiniest,4
cheap,cheapest,tricky,trickiest,4
cheap,cheapest,ugly,ugliest,4
cheap,cheapest,vague,vaguest,4
cheap,cheapest,weak,weakest,4
cheap,cheapest,wealthy,wealthiest,4
cheap,cheapest,weird,weirdest,4
clever,cleverest,costly,costliest,4
clever,cleverest,cruel,cruelest,4
clever,cleverest,cute,cutest,4
clever,cleverest,dense,densest,4
clever,cleverest,dumb,dumbest,4
clever,cleverest,fierce,fiercest,4
clever,cleverest,handy,handiest,4
clever,cleverest,happy,happiest,4
clever,cleverest,hardy,hardiest,4
clever,cleverest,harsh,harshest,4
clever,cleverest,healthy,healthiest,4
clever,cleverest,hot,hottest,4
clever,cleverest,huge,hugest,4
clever,cleverest,hungry,hungriest,4
clever,cleverest,lazy,laziest,4
clever,cleverest,lengthy,lengthiest,4
clever,cleverest,lucky,luckiest,4
clever,cleverest,merry,merriest,4
clever,cleverest,mild,mildest,4
clever,cleverest,nasty,nastiest,4
clever,cleverest,neat,neatest,4
clever,cleverest,nice,nicest,4
clever,cleverest,noisy,noisiest,4
clever,cleverest,proud,proudest,4
clever,cleverest,pure,purest,4
clever,cleverest,rare,rarest,4
clever,cleverest,risky,riskiest,4
clever,cleverest,rude,rudest,4
clever,cleverest,sad,saddest,4
clever,cleverest,scary,scariest,4
clever,cleverest,sexy,sexiest,4
clever,cleverest,shiny,shiniest,4
clever,cleverest,strange,strangest,4
clever,cleverest,strict,strictest,4
clever,cleverest,strong,strongest,4
clever,cleverest,subtle,subtlest,4
clever,cleverest,sunny,sunniest,4
clever,cleverest,tasty,tastiest,4
clever,cleverest,tiny,tiniest,4
clever,cleverest,tricky,trickiest,4
clever,cleverest,ugly,ugliest,4
clever,cleverest,vague,vaguest,4
clever,cleverest,weak,weakest,4
clever,cleverest,wealthy,wealthiest,4
clever,cleverest,weird,weirdest,4
costly,costliest,cruel,cruelest,4
costly,costliest,cute,cutest,4
costly,costliest,dense,densest,4
costly,costliest,dumb,dumbest,4
costly,costliest,fierce,fiercest,4
costly,costliest,handy,handiest,4
costly,costliest,happy,happiest,4
costly,costliest,hardy,hardiest,4
costly,costliest,harsh,harshest,4
costly,costliest,healthy,healthiest,4
costly,costliest,hot,hottest,4
costly,costliest,huge,hugest,4
costly,costliest,hungry,hungriest,4
costly,costliest,lazy,laziest,4
costly,costliest,lengthy,lengthiest,4
costly,costliest,lucky,luckiest,4
costly,costliest,merry,merriest,4
costly,costliest,mild,mildest,4
costly,costliest,nasty,nastiest,4
costly,costliest,neat,neatest,4
costly,costliest,nice,nicest,4
costly,costliest,noisy,noisiest,4
costly,costliest,proud,proudest,4
costly,costliest,pure,purest,4
costly,costliest,rare,rarest,4
costly,costliest,risky,riskiest,4
costly,costliest,rude,rudest,4
costly,costliest,sad,saddest,4
costly,costliest,scary,scariest,4
costly,costliest,sexy,sexiest,4
costly,costliest,shiny,shiniest,4
costly,costliest,strange,strangest,4
costly,costliest,strict,strictest,4
costly,costliest,strong,strongest,4
costly,costliest,subtle,subtlest,4
costly,costliest,sunny,sunniest,4
costly,costliest,tasty,tastiest,4
costly,costliest,tiny,tiniest,4
costly,costliest,tricky,trickiest,4
costly,costliest,ugly,ugliest,4
costly,costliest,vague,vaguest,4
costly,costliest,weak,weakest,4
costly,costliest,wealthy,wealthiest,4
costly,costliest,weird,weirdest,4
cruel,cruelest,cute,cutest,4
cruel,cruelest,dense,densest,4
cruel,cruelest,dumb,dumbest,4
cruel,cruelest,fierce,fiercest,4
cruel,cruelest,handy,handiest,4
cruel,cruelest,happy,happiest,4
cruel,cruelest,hardy,hardiest,4
cruel,cruelest,harsh,harshest,4
cruel,cruelest,healthy,healthiest,4
cruel,cruelest,hot,hottest,4
cruel,cruelest,huge,hugest,4
cruel,cruelest,hungry,hungriest,4
cruel,cruelest,lazy,laziest,4
cruel,cruelest,lengthy,lengthiest,4
cruel,cruelest,lucky,luckiest,4
cruel,cruelest,merry,merriest,4
cruel,cruelest,mild,mildest,4
cruel,cruelest,nasty,nastiest,4
cruel,cruelest,neat,neatest,4
cruel,cruelest,nice,nicest,4
cruel,cruelest,noisy,noisiest,4
cruel,cruelest,proud,proudest,4
cruel,cruelest,pure,purest,4
cruel,cruelest,rare,rarest,4
cruel,cruelest,risky,riskiest,4
cruel,cruelest,rude,rudest,4
cruel,cruelest,sad,saddest,4
cruel,cruelest,scary,scariest,4
cruel,cruelest,sexy,sexiest,4
cruel,cruelest,shiny,shiniest,4
cruel,cruelest,strange,strangest,4
cruel,cruelest,strict,strictest,4
cruel,cruelest,strong,strongest,4
cruel,cruelest,subtle,subtlest,4
cruel,cruelest,sunny,sunniest,4
cruel,cruelest,tasty,tastiest,4
cruel,cruelest,tiny,tiniest,4
cruel,cruelest,tricky,trickiest,4
cruel,cruelest,ugly,ugliest,4
cruel,cruelest,vague,vaguest,4
cruel,cruelest,weak,weakest,4
cruel,cruelest,wealthy,wealthiest,4
cruel,cruelest,weird,weirdest,4
cute,cutest,dense,densest,4
cute,cutest,dumb,dumbest,4
cute,cutest,fierce,fiercest,4
cute,cutest,handy,handiest,4
cute,cutest,happy,happiest,4
cute,cutest,hardy,hardiest,4
cute,cutest,harsh,harshest,4
cute,cutest,healthy,healthiest,4
cute,cutest,hot,hottest,4
cute,cutest,huge,hugest,4
cute,cutest,hungry,hungriest,4
cute,cutest,lazy,laziest,4
cute,cutest,lengthy,lengthiest,4
cute,cutest,lucky,luckiest,4
cute,cutest,merry,merriest,4
cute,cutest,mild,mildest,4
cute,cutest,nasty,nastiest,4
cute,cutest,neat,neatest,4
cute,cutest,nice,nicest,4
cute,cutest,noisy,noisiest,4
cute,cutest,proud,proudest,4
cute,cutest,pure,purest,4
cute,cutest,rare,rarest,4
cute,cutest,risky,riskiest,4
cute,cutest,rude,rudest,4
cute,cutest,sad,saddest,4
cute,cutest,scary,scariest,4
cute,cutest,sexy,sexiest,4
cute,cutest,shiny,shiniest,4
cute,cutest,strange,strangest,4
cute,cutest,strict,strictest,4
cute,cutest,strong,strongest,4
cute,cutest,subtle,subtlest,4
cute,cutest,sunny,sunniest,4
cute,cutest,tasty,tastiest,4
cute,cutest,tiny,tiniest,4
cute,cutest,tricky,trickiest,4
cute,cutest,ugly,ugliest,4
cute,cutest,vague,vaguest,4
cute,cutest,weak,weakest,4
cute,cutest,wealthy,wealthiest,4
cute,cutest,weird,weirdest,4
dense,densest,dumb,dumbest,4
dense,densest,fierce,fiercest,4
dense,densest,handy,handiest,4
dense,densest,happy,happiest,4
dense,densest,hardy,hardiest,4
dense,densest,harsh,harshest,4
dense,densest,healthy,healthiest,4
dense,densest,hot,hottest,4
dense,densest,huge,hugest,4
dense,densest,hungry,hungriest,4
dense,densest,lazy,laziest,4
dense,densest,lengthy,lengthiest,4
dense,densest,lucky,luckiest,4
dense,densest,merry,merriest,4
dense,densest,mild,mildest,4
dense,densest,nasty,nastiest,4
dense,densest,neat,neatest,4
dense,densest,nice,nicest,4
dense,densest,noisy,noisiest,4
dense,densest,proud,proudest,4
dense,densest,pure,purest,4
dense,densest,rare,rarest,4
dense,densest,risky,riskiest,4
dense,densest,rude,rudest,4
dense,densest,sad,saddest,4
dense,densest,scary,scariest,4
dense,densest,sexy,sexiest,4
dense,densest,shiny,shiniest,4
dense,densest,strange,strangest,4
dense,densest,strict,strictest,4
dense,densest,strong,strongest,4
dense,densest,subtle,subtlest,4
dense,densest,sunny,sunniest,4
dense,densest,tasty,tastiest,4
dense,densest,tiny,tiniest,4
dense,densest,tricky,trickiest,4
dense,densest,ugly,ugliest,4
dense,densest,vague,vaguest,4
dense,densest,weak,weakest,4
dense,densest,wealthy,wealthiest,4
dense,densest,weird,weirdest,4
dumb,dumbest,fierce,fiercest,4
dumb,dumbest,handy,handiest,4
dumb,dumbest,happy,happiest,4
dumb,dumbest,hardy,hardiest,4
dumb,dumbest,harsh,harshest,4
dumb,dumbest,healthy,healthiest,4
dumb,dumbest,hot,hottest,4
dumb,dumbest,huge,hugest,4
dumb,dumbest,hungry,hungriest,4
dumb,dumbest,lazy,laziest,4
dumb,dumbest,lengthy,lengthiest,4
dumb,dumbest,lucky,luckiest,4
dumb,dumbest,merry,merriest,4
dumb,dumbest,mild,mildest,4
dumb,dumbest,nasty,nastiest,4
dumb,dumbest,neat,neatest,4
dumb,dumbest,nice,nicest,4
dumb,dumbest,noisy,noisiest,4
dumb,dumbest,proud,proudest,4
dumb,dumbest,pure,purest,4
dumb,dumbest,rare,rarest,4
dumb,dumbest,risky,riskiest,4
dumb,dumbest,rude,rudest,4
dumb,dumbest,sad,saddest,4
dumb,dumbest,scary,scariest,4
dumb,dumbest,sexy,sexiest,4
dumb,dumbest,shiny,shiniest,4
dumb,dumbest,strange,strangest,4
dumb,dumbest,strict,strictest,4
dumb,dumbest,strong,strongest,4
dumb,dumbest,subtle,subtlest,4
dumb,dumbest,sunny,sunniest,4
dumb,dumbest,tasty,tastiest,4
dumb,dumbest,tiny,tiniest,4
dumb,dumbest,tricky,trickiest,4
dumb,dumbest,ugly,ugliest,4
dumb,dumbest,vague,vaguest,4
dumb,dumbest,weak,weakest,4
dumb,dumbest,wealthy,wealthiest,4
dumb,dumbest,weird,weirdest,4
fierce,fiercest,handy,handiest,4
fierce,fiercest,happy,happiest,4
fierce,fiercest,hardy,hardiest,4
fierce,fiercest,harsh,harshest,4
fierce,fiercest,healthy,healthiest,4
fierce,fiercest,hot,hottest,4
fierce,fiercest,huge,hugest,4
fierce,fiercest,hungry,hungriest,4
fierce,fiercest,lazy,laziest,4
fierce,fiercest,lengthy,lengthiest,4
fierce,fiercest,lucky,luckiest,4
fierce,fiercest,merry,merriest,4
fierce,fiercest,mild,mildest,4
fierce,fiercest,nasty,nastiest,4
fierce,fiercest,neat,neatest,4
fierce,fiercest,nice,nicest,4
fierce,fiercest,noisy,noisiest,4
fierce,fiercest,proud,proudest,4
fierce,fiercest,pure,purest,4
fierce,fiercest,rare,rarest,4
fierce,fiercest,risky,riskiest,4
fierce,fiercest,rude,rudest,4
fierce,fiercest,sad,saddest,4
fierce,fiercest,scary,scariest,4
fierce,fiercest,sexy,sexiest,4
fierce,fiercest,shiny,shiniest,4
fierce,fiercest,strange,strangest,4
fierce,fiercest,strict,strictest,4
fierce,fiercest,strong,strongest,4
fierce,fiercest,subtle,subtlest,4
fierce,fiercest,sunny,sunniest,4
fierce,fiercest,tasty,tastiest,4
fierce,fiercest,tiny,tiniest,4
fierce,fiercest,tricky,trickiest,4
fierce,fiercest,ugly,ugliest,4
fierce,fiercest,vague,vaguest,4
fierce,fiercest,weak,weakest,4
fierce,fiercest,wealthy,wealthiest,4
fierce,fiercest,weird,weirdest,4
handy,handiest,happy,happiest,4
handy,handiest,hardy,hardiest,4
handy,handiest,harsh,harshest,4
handy,handiest,healthy,healthiest,4
handy,handiest,hot,hottest,4
handy,handiest,huge,hugest,4
handy,handiest,hungry,hungriest,4
handy,handiest,lazy,laziest,4
handy,handiest,lengthy,lengthiest,4
handy,handiest,lucky,luckiest,4
handy,handiest,merry,merriest,4
handy,handiest,mild,mildest,4
handy,handiest,nasty,nastiest,4
handy,handiest,neat,neatest,4
handy,handiest,nice,nicest,4
handy,handiest,noisy,noisiest,4
handy,handiest,proud,proudest,4
handy,handiest,pure,purest,4
handy,handiest,rare,rarest,4
handy,handiest,risky,riskiest,4
handy,handiest,rude,rudest,4
handy,handiest,sad,saddest,4
handy,handiest,scary,scariest,4
handy,handiest,sexy,sexiest,4
handy,handiest,shiny,shiniest,4
handy,handiest,strange,strangest,4
handy,handiest,strict,strictest,4
handy,handiest,strong,strongest,4
handy,handiest,subtle,subtlest,4
handy,handiest,sunny,sunniest,4
handy,handiest,tasty,tastiest,4
handy,handiest,tiny,tiniest,4
handy,handiest,tricky,trickiest,4
handy,handiest,ugly,ugliest,4
handy,handiest,vague,vaguest,4
handy,handiest,weak,weakest,4
handy,handiest,wealthy,wealthiest,4
handy,handiest,weird,weirdest,4
happy,happiest,hardy,hardiest,4
happy,happiest,harsh,harshest,4
happy,happiest,healthy,healthiest,4
happy,happiest,hot,hottest,4
happy,happiest,huge,hugest,4
happy,happiest,hungry,hungriest,4
happy,happiest,lazy,laziest,4
happy,happiest,lengthy,lengthiest,4
happy,happiest,lucky,luckiest,4
happy,happiest,merry,merriest,4
happy,happiest,mild,mildest,4
happy,happiest,nasty,nastiest,4
happy,happiest,neat,neatest,4
happy,happiest,nice,nicest,4
happy,happiest,noisy,noisiest,4
happy,happiest,proud,proudest,4
happy,happiest,pure,purest,4
happy,happiest,rare,rarest,4
happy,happiest,risky,riskiest,4
happy,happiest,rude,rudest,4
happy,happiest,sad,saddest,4
happy,happiest,scary,scariest,4
happy,happiest,sexy,sexiest,4
happy,happiest,shiny,shiniest,4
happy,happiest,strange,strangest,4
happy,happiest,strict,strictest,4
happy,happiest,strong,strongest,4
happy,happiest,subtle,subtlest,4
happy,happiest,sunny,sunniest,4
happy,happiest,tasty,tastiest,4
happy,happiest,tiny,tiniest,4
happy,happiest,tricky,trickiest,4
happy,happiest,ugly,ugliest,4
happy,happiest,vague,vaguest,4
happy,happiest,weak,weakest,4
happy,happiest,wealthy,wealthiest,4
happy,happiest,weird,weirdest,4
hardy,hardiest,harsh,harshest,4
hardy,hardiest,healthy,healthiest,4
hardy,hardiest,hot,hottest,4
hardy,hardiest,huge,hugest,4
hardy,hardiest,hungry,hungriest,4
hardy,hardiest,lazy,laziest,4
hardy,hardiest,lengthy,lengthiest,4
hardy,hardiest,lucky,luckiest,4
hardy,hardiest,merry,merriest,4
hardy,hardiest,mild,mildest,4
hardy,hardiest,nasty,nastiest,4
hardy,hardiest,neat,neatest,4
hardy,hardiest,nice,nicest,4
hardy,hardiest,noisy,noisiest,4
hardy,hardiest,proud,proudest,4
hardy,hardiest,pure,purest,4
hardy,hardiest,rare,rarest,4
hardy,hardiest,risky,riskiest,4
hardy,hardiest,rude,rudest,4
hardy,hardiest,sad,saddest,4
hardy,hardiest,scary,scariest,4
hardy,hardiest,sexy,sexiest,4
hardy,hardiest,shiny,shiniest,4
hardy,hardiest,strange,strangest,4
hardy,hardiest,strict,strictest,4
hardy,hardiest,strong,strongest,4
hardy,hardiest,subtle,subtlest,4
hardy,hardiest,sunny,sunniest,4
hardy,hardiest,tasty,tastiest,4
hardy,hardiest,tiny,tiniest,4
hardy,hardiest,tricky,trickiest,4
hardy,hardiest,ugly,ugliest,4
hardy,hardiest,vague,vaguest,4
hardy,hardiest,weak,weakest,4
hardy,hardiest,wealthy,wealthiest,4
hardy,hardiest,weird,weirdest,4
harsh,harshest,healthy,healthiest,4
harsh,harshest,hot,hottest,4
harsh,harshest,huge,hugest,4
harsh,harshest,hungry,hungriest,4
harsh,harshest,lazy,laziest,4
harsh,harshest,lengthy,lengthiest,4
harsh,harshest,lucky,luckiest,4
harsh,harshest,merry,merriest,4
harsh,harshest,mild,mildest,4
harsh,harshest,nasty,nastiest,4
harsh,harshest,neat,neatest,4
harsh,harshest,nice,nicest,4
harsh,harshest,noisy,noisiest,4
harsh,harshest,proud,proudest,4
harsh,harshest,pure,purest,4
harsh,harshest,rare,rarest,4
harsh,harshest,risky,riskiest,4
harsh,harshest,rude,rudest,4
harsh,harshest,sad,saddest,4
harsh,harshest,scary,scariest,4
harsh,harshest,sexy,sexiest,4
harsh,harshest,shiny,shiniest,4
harsh,harshest,strange,strangest,4
harsh,harshest,strict,strictest,4
harsh,harshest,strong,strongest,4
harsh,harshest,subtle,subtlest,4
harsh,harshest,sunny,sunniest,4
harsh,harshest,tasty,tastiest,4
harsh,harshest,tiny,tiniest,4
harsh,harshest,tricky,trickiest,4
harsh,harshest,ugly,ugliest,4
harsh,harshest,vague,vaguest,4
harsh,harshest,weak,weakest,4
harsh,harshest,wealthy,wealthiest,4
harsh,harshest,weird,weirdest,4
healthy,healthiest,hot,hottest,4
healthy,healthiest,huge,hugest,4
healthy,healthiest,hungry,hungriest,4
healthy,healthiest,lazy,laziest,4
healthy,healthiest,lengthy,lengthiest,4
healthy,healthiest,lucky,luckiest,4
healthy,healthiest,merry,merriest,4
healthy,healthiest,mild,mildest,4
healthy,healthiest,nasty,nastiest,4
healthy,healthiest,neat,neatest,4
healthy,healthiest,nice,nicest,4
healthy,healthiest,noisy,noisiest,4
healthy,healthiest,proud,proudest,4
healthy,healthiest,pure,purest,4
healthy,healthiest,rare,rarest,4
healthy,healthiest,risky,riskiest,4
healthy,healthiest,rude,rudest,4
healthy,healthiest,sad,saddest,4
healthy,healthiest,scary,scariest,4
healthy,healthiest,sexy,sexiest,4
healthy,healthiest,shiny,shiniest,4
healthy,healthiest,strange,strangest,4
healthy,healthiest,strict,strictest,4
healthy,healthiest,strong,strongest,4
healthy,healthiest,subtle,subtlest,4
healthy,healthiest,sunny,sunniest,4
healthy,healthiest,tasty,tastiest,4
healthy,healthiest,tiny,tiniest,4
healthy,healthiest,tricky,trickiest,4
healthy,healthiest,ugly,ugliest,4
healthy,healthiest,vague,vaguest,4
healthy,healthiest,weak,weakest,4
healthy,healthiest,wealthy,wealthiest,4
healthy,healthiest,weird,weirdest,4
hot,hottest,huge,hugest,4
hot,hottest,hungry,hungriest,4
hot,hottest,lazy,laziest,4
hot,hottest,lengthy,lengthiest,4
hot,hottest,lucky,luckiest,4
hot,hottest,merry,merriest,4
hot,hottest,mild,mildest,4
hot,hottest,nasty,nastiest,4
hot,hottest,neat,neatest,4
hot,hottest,nice,nicest,4
hot,hottest,noisy,noisiest,4
hot,hottest,proud,proudest,4
hot,hottest,pure,purest,4
hot,hottest,rare,rarest,4
hot,hottest,risky,riskiest,4
hot,hottest,rude,rudest,4
hot,hottest,sad,saddest,4
hot,hottest,scary,scariest,4
hot,hottest,sexy,sexiest,4
hot,hottest,shiny,shiniest,4
hot,hottest,strange,strangest,4
hot,hottest,strict,strictest,4
hot,hottest,strong,strongest,4
hot,hottest,subtle,subtlest,4
hot,hottest,sunny,sunniest,4
hot,hottest,tasty,tastiest,4
hot,hottest,tiny,tiniest,4
hot,hottest,tricky,trickiest,4
hot,hottest,ugly,ugliest,4
hot,hottest,vague,vaguest,4
hot,hottest,weak,weakest,4
hot,hottest,wealthy,wealthiest,4
hot,hottest,weird,weirdest,4
huge,hugest,hungry,hungriest,4
huge,hugest,lazy,laziest,4
huge,hugest,lengthy,lengthiest,4
huge,hugest,lucky,luckiest,4
huge,hugest,merry,merriest,4
huge,hugest,mild,mildest,4
huge,hugest,nasty,nastiest,4
huge,hugest,neat,neatest,4
huge,hugest,nice,nicest,4
huge,hugest,noisy,noisiest,4
huge,hugest,proud,proudest,4
huge,hugest,pure,purest,4
huge,hugest,rare,rarest,4
huge,hugest,risky,riskiest,4
huge,hugest,rude,rudest,4
huge,hugest,sad,saddest,4
huge,hugest,scary,scariest,4
huge,hugest,sexy,sexiest,4
huge,hugest,shiny,shiniest,4
huge,hugest,strange,strangest,4
huge,hugest,strict,strictest,4
huge,hugest,strong,strongest,4
huge,hugest,subtle,subtlest,4
huge,hugest,sunny,sunniest,4
huge,hugest,tasty,tastiest,4
huge,hugest,tiny,tiniest,4
huge,hugest,tricky,trickiest,4
huge,hugest,ugly,ugliest,4
huge,hugest,vague,vaguest,4
huge,hugest,weak,weakest,4
huge,hugest,wealthy,wealthiest,4
huge,hugest,weird,weirdest,4
hungry,hungriest,lazy,laziest,4
hungry,hungriest,lengthy,lengthiest,4
hungry,hungriest,lucky,luckiest,4
hungry,hungriest,merry,merriest,4
hungry,hungriest,mild,mildest,4
hungry,hungriest,nasty,nastiest,4
hungry,hungriest,neat,neatest,4
hungry,hungriest,nice,nicest,4
hungry,hungriest,noisy,noisiest,4
hungry,hungriest,proud,proudest,4
hungry,hungriest,pure,purest,4
hungry,hungriest,rare,rarest,4
hungry,hungriest,risky,riskiest,4
hungry,hungriest,rude,rudest,4
hungry,hungriest,sad,saddest,4
hungry,hungriest,scary,scariest,4
hungry,hungriest,sexy,sexiest,4
hungry,hungriest,shiny,shiniest,4
hungry,hungriest,strange,strangest,4
hungry,hungriest,strict,strictest,4
hungry,hungriest,strong,strongest,4
hungry,hungriest,subtle,subtlest,4
hungry,hungriest,sunny,sunniest,4
hungry,hungriest,tasty,tastiest,4
hungry,hungriest,tiny,tiniest,4
hungry,hungriest,tricky,trickiest,4
hungry,hungriest,ugly,ugliest,4
hungry,hungriest,vague,vaguest,4
hungry,hungriest,weak,weakest,4
hungry,hungriest,wealthy,wealthiest,4
hungry,hungriest,weird,weirdest,4
lazy,laziest,lengthy,lengthiest,4
lazy,laziest,lucky,luckiest,4
lazy,laziest,merry,merriest,4
lazy,laziest,mild,mildest,4
lazy,laziest,nasty,nastiest,4
lazy,laziest,neat,neatest,4
lazy,laziest,nice,nicest,4
lazy,laziest,noisy,noisiest,4
lazy,laziest,proud,proudest,4
lazy,laziest,pure,purest,4
lazy,laziest,rare,rarest,4
lazy,laziest,risky,riskiest,4
lazy,laziest,rude,rudest,4
lazy,laziest,sad,saddest,4
lazy,laziest,scary,scariest,4
lazy,laziest,sexy,sexiest,4
lazy,laziest,shiny,shiniest,4
lazy,laziest,strange,strangest,4
lazy,laziest,strict,strictest,4
lazy,laziest,strong,strongest,4
lazy,laziest,subtle,subtlest,4
lazy,laziest,sunny,sunniest,4
lazy,laziest,tasty,tastiest,4
lazy,laziest,tiny,tiniest,4
lazy,laziest,tricky,trickiest,4
lazy,laziest,ugly,ugliest,4
lazy,laziest,vague,vaguest,4
lazy,laziest,weak,weakest,4
lazy,laziest,wealthy,wealthiest,4
lazy,laziest,weird,weirdest,4
lengthy,lengthiest,lucky,luckiest,4
lengthy,lengthiest,merry,merriest,4
lengthy,lengthiest,mild,mildest,4
lengthy,lengthiest,nasty,nastiest,4
lengthy,lengthiest,neat,neatest,4
lengthy,lengthiest,nice,nicest,4
lengthy,lengthiest,noisy,noisiest,4
lengthy,lengthiest,proud,proudest,4
lengthy,lengthiest,pure,purest,4
lengthy,lengthiest,rare,rarest,4
lengthy,lengthiest,risky,riskiest,4
lengthy,lengthiest,rude,rudest,4
lengthy,lengthiest,sad,saddest,4
lengthy,lengthiest,scary,scariest,4
lengthy,lengthiest,sexy,sexiest,4
lengthy,lengthiest,shiny,shiniest,4
lengthy,lengthiest,strange,strangest,4
lengthy,lengthiest,strict,strictest,4
lengthy,lengthiest,strong,strongest,4
lengthy,lengthiest,subtle,subtlest,4
lengthy,lengthiest,sunny,sunniest,4
lengthy,lengthiest,tasty,tastiest,4
lengthy,lengthiest,tiny,tiniest,4
lengthy,lengthiest,tricky,trickiest,4
lengthy,lengthiest,ugly,ugliest,4
lengthy,lengthiest,vague,vaguest,4
lengthy,lengthiest,weak,weakest,4
lengthy,lengthiest,wealthy,wealthiest,4
lengthy,lengthiest,weird,weirdest,4
lucky,luckiest,merry,merriest,4
lucky,luckiest,mild,mildest,4
lucky,luckiest,nasty,nastiest,4
lucky,luckiest,neat,neatest,4
lucky,luckiest,nice,nicest,4
lucky,luckiest,noisy,noisiest,4
lucky,luckiest,proud,proudest,4
lucky,luckiest,pure,purest,4
lucky,luckiest,rare,rarest,4
lucky,luckiest,risky,riskiest,4
