able,unable,acceptable,unacceptable,12
authorized,unauthorized,related,unrelated,12
authorized,unauthorized,reliable,unreliable,12
authorized,unauthorized,resolved,unresolved,12
authorized,unauthorized,restricted,unrestricted,12
authorized,unauthorized,satisfactory,unsatisfactory,12
authorized,unauthorized,specified,unspecified,12
authorized,unauthorized,successful,unsuccessful,12
authorized,unauthorized,suitable,unsuitable,12
authorized,unauthorized,sustainable,unsustainable,12
authorized,unauthorized,used,unused,12
authorized,unauthorized,usual,unusual,12
authorized,unauthorized,veiled,unveiled,12
authorized,unauthorized,wanted,unwanted,12
available,unavailable,avoidable,unavoidable,12
available,unavailable,aware,unaware,12
available,unavailable,believable,unbelievable,12
available,unavailable,biased,unbiased,12
available,unavailable,certain,uncertain,12
available,unavailable,changed,unchanged,12
available,unavailable,comfortable,uncomfortable,12
available,unavailable,conditional,unconditional,12
available,unavailable,conscious,unconscious,12
available,unavailable,controlled,uncontrolled,12
available,unavailable,desirable,undesirable,12
available,unavailable,employed,unemployed,12
available,unavailable,expected,unexpected,12
available,unavailable,finished,unfinished,12
available,unavailable,forgettable,unforgettable,12
available,unavailable,fortunate,unfortunate,12
available,unavailable,happy,unhappy,12
available,unavailable,healthy,unhealthy,12
available,unavailable,identified,unidentified,12
available,unavailable,intended,unintended,12
available,unavailable,interrupted,uninterrupted,12
available,unavailable,known,unknown,12
available,unavailable,lawful,unlawful,12
available,unavailable,lucky,unlucky,12
available,unavailable,noticed,unnoticed,12
available,unavailable,paid,unpaid,12
available,unavailable,pleasant,unpleasant,12
available,unavailable,popular,unpopular,12
available,unavailable,predictable,unpredictable,12
available,unavailable,published,unpublished,12
available,unavailable,realistic,unrealistic,12
available,unavailable,reasonable,unreasonable,12
available,unavailable,related,unrelated,12
available,unavailable,reliable,unreliable,12
available,unavailable,resolved,unresolved,12
available,unavailable,restricted,unrestricted,12
available,unavailable,satisfactory,unsatisfactory,12
available,unavailable,specified,unspecified,12
available,unavailable,successful,unsuccessful,12
available,unavailable,suitable,unsuitable,12
available,unavailable,sustainable,unsustainable,12
available,unavailable,used,unused,12
available,unavailable,usual,unusual,12
available,unavailable,veiled,unveiled,12
available,unavailable,wanted,unwanted,12
avoidable,unavoidable,aware,unaware,12
avoidable,unavoidable,believable,unbelievable,12
avoidable,unavoidable,biased,unbiased,12
avoidable,unavoidable,certain,uncertain,12
avoidable,unavoidable,changed,unchanged,12
avoidable,unavoidable,comfortable,uncomfortable,12
avoidable,unavoidable,conditional,unconditional,12
avoidable,unavoidable,conscious,unconscious,12
avoidable,unavoidable,controlled,uncontrolled,12
avoidable,unavoidable,desirable,undesirable,12
avoidable,unavoidable,employed,unemployed,12
avoidable,unavoidable,expected,unexpected,12
avoidable,unavoidable,finished,unfinished,12
avoidable,unavoidable,forgettable,unforgettable,12
avoidable,unavoidable,fortunate,unfortunate,12
avoidable,unavoidable,happy,unhappy,12
avoidable,unavoidable,healthy,unhealthy,12
avoidable,unavoidable,identified,unidentified,12
avoidable,unavoidable,intended,unintended,12
avoidable,unavoidable,interrupted,uninterrupted,12
avoidable,unavoidable,known,unknown,12
avoidable,unavoidable,lawful,unlawful,12
avoidable,unavoidable,lucky,unlucky,12
avoidable,unavoidable,noticed,unnoticed,12
avoidable,unavoidable,paid,unpaid,12
avoidable,unavoidable,pleasant,unpleasant,12
avoidable,unavoidable,popular,unpopular,12
avoidable,unavoidable,predictable,unpredictable,12
avoidable,unavoidable,published,unpublished,12
avoidable,unavoidable,realistic,unrealistic,12
avoidable,unavoidable,reasonable,unreasonable,12
avoidable,unavoidable,related,unrelated,12
avoidable,unavoidable,reliable,unreliable,12
avoidable,unavoidable,resolved,unresolved,12
avoidable,unavoidable,restricted,unrestricted,12
avoidable,unavoidable,satisfactory,unsatisfactory,12
avoidable,unavoidable,specified,unspecified,12
avoidable,unavoidable,successful,unsuccessful,12
avoidable,unavoidable,suitable,unsuitable,12
avoidable,unavoidable,sustainable,unsustainable,12
avoidable,unavoidable,used,unused,12
avoidable,unavoidable,usual,unusual,12
avoidable,unavoidable,veiled,unveiled,12
avoidable,unavoidable,wanted,unwanted,12
aware,unaware,believable,unbelievable,12
aware,unaware,biased,unbiased,12
aware,unaware,certain,uncertain,12
aware,unaware,changed,unchanged,12
aware,unaware,comfortable,uncomfortable,12
aware,unaware,conditional,unconditional,12
aware,unaware,conscious,unconscious,12
aware,unaware,controlled,uncontrolled,12
aware,unaware,desirable,undesirable,12
aware,unaware,employed,unemployed,12
aware,unaware,expected,unexpected,12
aware,unaware,finished,unfinished,12
aware,unaware,forgettable,unforgettable,12
aware,unaware,fortunate,unfortunate,12
aware,unaware,happy,unhappy,12
aware,unaware,healthy,unhealthy,12
aware,unaware,identified,unidentified,12
aware,unaware,intended,unintended,12
aware,unaware,interrupted,uninterrupted,12
aware,unaware,known,unknown,12
aware,unaware,lawful,unlawful,12
aware,unaware,lucky,unlucky,12
aware,unaware,noticed,unnoticed,12
aware,unaware,paid,unpaid,12
aware,unaware,pleasant,unpleasant,12
aware,unaware,popular,unpopular,12
aware,unaware,predictable,unpredictable,12
aware,unaware,published,unpublished,12
aware,unaware,realistic,unrealistic,12
aware,unaware,reasonable,unreasonable,12
aware,unaware,related,unrelated,12
aware,unaware,reliable,unreliable,12
aware,unaware,resolved,unresolved,12
aware,unaware,restricted,unrestricted,12
aware,unaware,satisfactory,unsatisfactory,12
aware,unaware,specified,unspecified,12
aware,unaware,successful,unsuccessful,12
aware,unaware,suitable,unsuitable,12
aware,unaware,sustainable,unsustainable,12
aware,unaware,used,unused,12
aware,unaware,usual,unusual,12
aware,unaware,veiled,unveiled,12
aware,unaware,wanted,unwanted,12
believable,unbelievable,biased,unbiased,12
believable,unbelievable,certain,uncertain,12
believable,unbelievable,changed,unchanged,12
believable,unbelievable,comfortable,uncomfortable,12
believable,unbelievable,conditional,unconditional,12
believable,unbelievable,conscious,unconscious,12
believable,unbelievable,controlled,uncontrolled,12
believable,unbelievable,desirable,undesirable,12
believable,unbelievable,employed,unemployed,12
believable,unbelievable,expected,unexpected,12
believable,unbelievable,finished,unfinished,12
believable,unbelievable,forgettable,unforgettable,12
believable,unbelievable,fortunate,unfortunate,12
believable,unbelievable,happy,unhappy,12
believable,unbelievable,healthy,unhealthy,12
believable,unbelievable,identified,unidentified,12
believable,unbelievable,intended,unintended,12
believable,unbelievable,interrupted,uninterrupted,12
believable,unbelievable,known,unknown,12
believable,unbelievable,lawful,unlawful,12
believable,unbelievable,lucky,unlucky,12
believable,unbelievable,noticed,unnoticed,12
believable,unbelievable,paid,unpaid,12
believable,unbelievable,pleasant,unpleasant,12
believable,unbelievable,popular,unpopular,12
believable,unbelievable,predictable,unpredictable,12
believable,unbelievable,published,unpublished,12
believable,unbelievable,realistic,unrealistic,12
believable,unbelievable,reasonable,unreasonable,12
believable,unbelievable,related,unrelated,12
believable,unbelievable,reliable,unreliable,12
believable,unbelievable,resolved,unresolved,12
believable,unbelievable,restricted,unrestricted,12
believable,unbelievable,satisfactory,unsatisfactory,12
believable,unbelievable,specified,unspecified,12
believable,unbelievable,successful,unsuccessful,12
believable,unbelievable,suitable,unsuitable,12
believable,unbelievable,sustainable,unsustainable,12
believable,unbelievable,used,unused,12
believable,unbelievable,usual,unusual,12
believable,unbelievable,veiled,unveiled,12
believable,unbelievable,wanted,unwanted,12
biased,unbiased,certain,uncertain,12
biased,unbiased,changed,unchanged,12
biased,unbiased,comfortable,uncomfortable,12
biased,unbiased,conditional,unconditional,12
biased,unbiased,conscious,unconscious,12
biased,unbiased,controlled,uncontrolled,12
biased,unbiased,desirable,undesirable,12
biased,unbiased,employed,unemployed,12
biased,unbiased,expected,unexpected,12
biased,unbiased,finished,unfinished,12
biased,unbiased,forgettable,unforgettable,12
biased,unbiased,fortunate,unfortunate,12
biased,unbiased,happy,unhappy,12
biased,unbiased,healthy,unhealthy,12
biased,unbiased,identified,unidentified,12
biased,unbiased,intended,unintended,12
biased,unbiased,interrupted,uninterrupted,12
biased,unbiased,known,unknown,12
biased,unbiased,lawful,unlawful,12
biased,unbiased,lucky,unlucky,12
biased,unbiased,noticed,unnoticed,12
biased,unbiased,paid,unpaid,12
biased,unbiased,pleasant,unpleasant,12
biased,unbiased,popular,unpopular,12
biased,unbiased,predictable,unpredictable,12
biased,unbiased,published,unpublished,12
biased,unbiased,realistic,unrealistic,12
biased,unbiased,reasonable,unreasonable,12
biased,unbiased,related,unrelated,12
biased,unbiased,reliable,unreliable,12
biased,unbiased,resolved,unresolved,12
biased,unbiased,restricted,unrestricted,12
biased,unbiased,satisfactory,unsatisfactory,12
biased,unbiased,specified,unspecified,12
biased,unbiased,successful,unsuccessful,12
biased,unbiased,suitable,unsuitable,12
biased,unbiased,sustainable,unsustainable,12
biased,unbiased,used,unused,12
biased,unbiased,usual,unusual,12
biased,unbiased,veiled,unveiled,12
biased,unbiased,wanted,unwanted,12
certain,uncertain,changed,unchanged,12
certain,uncertain,comfortable,uncomfortable,12
certain,uncertain,conditional,unconditional,12
certain,uncertain,conscious,unconscious,12
certain,uncertain,controlled,uncontrolled,12
certain,uncertain,desirable,undesirable,12
certain,uncertain,employed,unemployed,12
certain,uncertain,expected,unexpected,12
certain,uncertain,finished,unfinished,12
certain,uncertain,forgettable,unforgettable,12
certain,uncertain,fortunate,unfortunate,12
certain,uncertain,happy,unhappy,12
certain,uncertain,healthy,unhealthy,12
certain,uncertain,identified,unidentified,12
certain,uncertain,intended,unintended,12
certain,uncertain,interrupted,uninterrupted,12
certain,uncertain,known,unknown,12
certain,uncertain,lawful,unlawful,12
certain,uncertain,lucky,unlucky,12
certain,uncertain,noticed,unnoticed,12
certain,uncertain,paid,unpaid,12
certain,uncertain,pleasant,unpleasant,12
certain,uncertain,popular,unpopular,12
certain,uncertain,predictable,unpredictable,12
certain,uncertain,published,unpublished,12
certain,uncertain,realistic,unrealistic,12
certain,uncertain,reasonable,unreasonable,12
certain,uncertain,related,unrelated,12
certain,uncertain,reliable,unreliable,12
certain,uncertain,resolved,unresolved,12
certain,uncertain,restricted,unrestricted,12
certain,uncertain,satisfactory,unsatisfactory,12
certain,uncertain,specified,unspecified,12
certain,uncertain,successful,unsuccessful,12
certain,uncertain,suitable,unsuitable,12
certain,uncertain,sustainable,unsustainable,12
certain,uncertain,used,unused,12
certain,uncertain,usual,unusual,12
certain,uncertain,veiled,unveiled,12
certain,uncertain,wanted,unwanted,12
changed,unchanged,comfortable,uncomfortable,12
changed,unchanged,conditional,unconditional,12
changed,unchanged,conscious,unconscious,12
changed,unchanged,controlled,uncontrolled,12
changed,unchanged,desirable,undesirable,12
changed,unchanged,employed,unemployed,12
changed,unchanged,expected,unexpected,12
changed,unchanged,finished,unfinished,12
changed,unchanged,forgettable,unforgettable,12
changed,unchanged,fortunate,unfortunate,12
changed,unchanged,happy,unhappy,12
changed,unchanged,healthy,unhealthy,12
changed,unchanged,identified,unidentified,12
changed,unchanged,intended,unintended,12
changed,unchanged,interrupted,uninterrupted,12
changed,unchanged,known,unknown,12
changed,unchanged,lawful,unlawful,12
changed,unchanged,lucky,unlucky,12
changed,unchanged,noticed,unnoticed,12
changed,unchanged,paid,unpaid,12
changed,unchanged,pleasant,unpleasant,12
changed,unchanged,popular,unpopular,12
changed,unchanged,predictable,unpredictable,12
changed,unchanged,published,unpublished,12
changed,unchanged,realistic,unrealistic,12
changed,unchanged,reasonable,unreasonable,12
changed,unchanged,related,unrelated,12
changed,unchanged,reliable,unreliable,12
changed,unchanged,resolved,unresolved,12
changed,unchanged,restricted,unrestricted,12
changed,unchanged,satisfactory,unsatisfactory,12
changed,unchanged,specified,unspecified,12
changed,unchanged,successful,unsuccessful,12
changed,unchanged,suitable,unsuitable,12
changed,unchanged,sustainable,unsustainable,12
changed,unchanged,used,unused,12
changed,unchanged,usual,unusual,12
changed,unchanged,veiled,unveiled,12
changed,unchanged,wanted,unwanted,12
comfortable,uncomfortable,conditional,unconditional,12
comfortable,uncomfortable,conscious,unconscious,12
comfortable,uncomfortable,controlled,uncontrolled,12
comfortable,uncomfortable,desirable,undesirable,12
comfortable,uncomfortable,employed,unemployed,12
comfortable,uncomfortable,expected,unexpected,12
comfortable,uncomfortable,finished,unfinished,12
comfortable,uncomfortable,forgettable,unforgettable,12
comfortable,uncomfortable,fortunate,unfortunate,12
comfortable,uncomfortable,happy,unhappy,12
comfortable,uncomfortable,healthy,unhealthy,12
comfortable,uncomfortable,identified,unidentified,12
comfortable,uncomfortable,intended,unintended,12
comfortable,uncomfortable,interrupted,uninterrupted,12
comfortable,uncomfortable,known,unknown,12
comfortable,uncomfortable,lawful,unlawful,12
comfortable,uncomfortable,lucky,unlucky,12
comfortable,uncomfortable,noticed,unnoticed,12
comfortable,uncomfortable,paid,unpaid,12
comfortable,uncomfortable,pleasant,unpleasant,12
comfortable,uncomfortable,popular,unpopular,12
comfortable,uncomfortable,predictable,unpredictable,12
comfortable,uncomfortable,published,unpublished,12
comfortable,uncomfortable,realistic,unrealistic,12
comfortable,uncomfortable,reasonable,unreasonable,12
comfortable,uncomfortable,related,unrelated,12
comfortable,uncomfortable,reliable,unreliable,12
comfortable,uncomfortable,resolved,unresolved,12
comfortable,uncomfortable,restricted,unrestricted,12
comfortable,uncomfortable,satisfactory,unsatisfactory,12
comfortable,uncomfortable,specified,unspecified,12
comfortable,uncomfortable,successful,unsuccessful,12
comfortable,uncomfortable,suitable,unsuitable,12
comfortable,uncomfortable,sustainable,unsustainable,12
comfortable,uncomfortable,used,unused,12
comfortable,uncomfortable,usual,unusual,12
comfortable,uncomfortable,veiled,unveiled,12
comfortable,uncomfortable,wanted,unwanted,12
conditional,unconditional,conscious,unconscious,12
conditional,unconditional,controlled,uncontrolled,12
conditional,unconditional,desirable,undesirable,12
conditional,unconditional,employed,unemployed,12
conditional,unconditional,expected,unexpected,12
conditional,unconditional,finished,unfinished,12
conditional,unconditional,forgettable,unforgettable,12
conditional,unconditional,fortunate,unfortunate,12
conditional,unconditional,happy,unhappy,12
conditional,unconditional,healthy,unhealthy,12
conditional,unconditional,identified,unidentified,12
conditional,unconditional,intended,unintended,12
conditional,unconditional,interrupted,uninterrupted,12
conditional,unconditional,known,unknown,12
conditional,unconditional,lawful,unlawful,12
conditional,unconditional,lucky,unlucky,12
conditional,unconditional,noticed,unnoticed,12
conditional,unconditional,paid,unpaid,12
conditional,unconditional,pleasant,unpleasant,12
conditional,unconditional,popular,unpopular,12
conditional,unconditional,predictable,unpredictable,12
conditional,unconditional,published,unpublished,12
conditional,unconditional,realistic,unrealistic,12
conditional,unconditional,reasonable,unreasonable,12
conditional,unconditional,related,unrelated,12
conditional,unconditional,reliable,unreliable,12
conditional,unconditional,resolved,unresolved,12
conditional,unconditional,restricted,unrestricted,12
conditional,unconditional,satisfactory,unsatisfactory,12
conditional,unconditional,specified,unspecified,12
conditional,unconditional,successful,unsuccessful,12
conditional,unconditional,suitable,unsuitable,12
conditional,unconditional,sustainable,unsustainable,12
conditional,unconditional,used,unused,12
conditional,unconditional,usual,unusual,12
conditional,unconditional,veiled,unveiled,12
conditional,unconditional,wanted,unwanted,12
conscious,unconscious,controlled,uncontrolled,12
conscious,unconscious,desirable,undesirable,12
conscious,unconscious,employed,unemployed,12
conscious,unconscious,expected,unexpected,12
conscious,unconscious,finished,unfinished,12
conscious,unconscious,forgettable,unforgettable,12
conscious,unconscious,fortunate,unfortunate,12
conscious,unconscious,happy,unhappy,12
conscious,unconscious,healthy,unhealthy,12
conscious,unconscious,identified,unidentified,12
conscious,unconscious,intended,unintended,12
conscious,unconscious,interrupted,uninterrupted,12
conscious,unconscious,known,unknown,12
conscious,unconscious,lawful,unlawful,12
conscious,unconscious,lucky,unlucky,12
conscious,unconscious,noticed,unnoticed,12
conscious,unconscious,paid,unpaid,12
conscious,unconscious,pleasant,unpleasant,12
conscious,unconscious,popular,unpopular,12
conscious,unconscious,predictable,unpredictable,12
conscious,unconscious,published,unpublished,12
conscious,unconscious,realistic,unrealistic,12
conscious,unconscious,reasonable,unreasonable,12
conscious,unconscious,related,unrelated,12
conscious,unconscious,reliable,unreliable,12
conscious,unconscious,resolved,unresolved,12
conscious,unconscious,restricted,unrestricted,12
conscious,unconscious,satisfactory,unsatisfactory,12
conscious,unconscious,specified,unspecified,12
conscious,unconscious,successful,unsuccessful,12
conscious,unconscious,suitable,unsuitable,12
conscious,unconscious,sustainable,unsustainable,12
conscious,unconscious,used,unused,12
conscious,unconscious,usual,unusual,12
conscious,unconscious,veiled,unveiled,12
conscious,unconscious,wanted,unwanted,12
controlled,uncontrolled,desirable,undesirable,12
controlled,uncontrolled,employed,unemployed,12
controlled,uncontrolled,expected,unexpected,12
controlled,uncontrolled,finished,unfinished,12
controlled,uncontrolled,forgettable,unforgettable,12
controlled,uncontrolled,fortunate,unfortunate,12
controlled,uncontrolled,happy,unhappy,12
controlled,uncontrolled,healthy,unhealthy,12
controlled,uncontrolled,identified,unidentified,12
controlled,uncontrolled,intended,unintended,12
controlled,uncontrolled,interrupted,uninterrupted,12
controlled,uncontrolled,known,unknown,12
controlled,uncontrolled,lawful,unlawful,12
controlled,uncontrolled,lucky,unlucky,12
controlled,uncontrolled,noticed,unnoticed,12
controlled,uncontrolled,paid,unpaid,12
controlled,uncontrolled,pleasant,unpleasant,12
controlled,uncontrolled,popular,unpopular,12
controlled,uncontrolled,predictable,unpredictable,12
controlled,uncontrolled,published,unpublished,12
controlled,uncontrolled,realistic,unrealistic,12
controlled,uncontrolled,reasonable,unreasonable,12
controlled,uncontrolled,related,unrelated,12
controlled,uncontrolled,reliable,unreliable,12
controlled,uncontrolled,resolved,unresolved,12
controlled,uncontrolled,restricted,unrestricted,12
controlled,uncontrolled,satisfactory,unsatisfactory,12
controlled,uncontrolled,specified,unspecified,12
controlled,uncontrolled,successful,unsuccessful,12
controlled,uncontrolled,suitable,unsuitable,12
controlled,uncontrolled,sustainable,unsustainable,12
controlled,uncontrolled,used,unused,12
controlled,uncontrolled,usual,unusual,12
controlled,uncontrolled,veiled,unveiled,12
controlled,uncontrolled,wanted,unwanted,12
desirable,undesirable,employed,unemployed,12
desirable,undesirable,expected,unexpected,12
desirable,undesirable,finished,unfinished,12
desirable,undesirable,forgettable,unforgettable,12
desirable,undesirable,fortunate,unfortunate,12
desirable,undesirable,happy,unhappy,12
desirable,undesirable,healthy,unhealthy,12
desirable,undesirable,identified,unidentified,12
desirable,undesirable,intended,unintended,12
desirable,undesirable,interrupted,uninterrupted,12
desirable,undesirable,known,unknown,12
desirable,undesirable,lawful,unlawful,12
desirable,undesirable,lucky,unlucky,12
desirable,undesirable,noticed,unnoticed,12
desirable,undesirable,paid,unpaid,12
desirable,undesirable,pleasant,unpleasant,12
desirable,undesirable,popular,unpopular,12
desirable,undesirable,predictable,unpredictable,12
desirable,undesirable,published,unpublished,12
desirable,undesirable,realistic,unrealistic,12
desirable,undesirable,reasonable,unreasonable,12
desirable,undesirable,related,unrelated,12
desirable,undesirable,reliable,unreliable,12
desirable,undesirable,resolved,unresolved,12
desirable,undesirable,restricted,unrestricted,12
desirable,undesirable,satisfactory,unsatisfactory,12
desirable,undesirable,specified,unspecified,12
desirable,undesirable,successful,unsuccessful,12
desirable,undesirable,suitable,unsuitable,12
desirable,undesirable,sustainable,unsustainable,12
desirable,undesirable,used,unused,12
desirable,undesirable,usual,unusual,12
desirable,undesirable,veiled,unveiled,12
desirable,undesirable,wanted,unwanted,12
employed,unemployed,expected,unexpected,12
employed,unemployed,finished,unfinished,12
employed,unemployed,forgettable,unforgettable,12
employed,unemployed,fortunate,unfortunate,12
employed,unemployed,happy,unhappy,12
employed,unemployed,healthy,unhealthy,12
employed,unemployed,identified,unidentified,12
employed,unemployed,intended,unintended,12
employed,unemployed,interrupted,uninterrupted,12
employed,unemployed,known,unknown,12
employed,unemployed,lawful,unlawful,12
employed,unemployed,lucky,unlucky,12
employed,unemployed,noticed,unnoticed,12
employed,unemployed,paid,unpaid,12
employed,unemployed,pleasant,unpleasant,12
employed,unemployed,popular,unpopular,12
employed,unemployed,predictable,unpredictable,12
employed,unemployed,published,unpublished,12
employed,unemployed,realistic,unrealistic,12
employed,unemployed,reasonable,unreasonable,12
employed,unemployed,related,unrelated,12
employed,unemployed,reliable,unreliable,12
employed,unemployed,resolved,unresolved,12
employed,unemployed,restricted,unrestricted,12
employed,unemployed,satisfactory,unsatisfactory,12
employed,unemployed,specified,unspecified,12
employed,unemployed,successful,unsuccessful,12
employed,unemployed,suitable,unsuitable,12
employed,unemployed,sustainable,unsustainable,12
employed,unemployed,used,unused,12
employed,unemployed,usual,unusual,12
employed,unemployed,veiled,unveiled,12
employed,unemployed,wanted,unwanted,12
expected,unexpected,finished,unfinished,12
expected,unexpected,forgettable,unforgettable,12
expected,unexpected,fortunate,unfortunate,12
expected,unexpected,happy,unhappy,12
expected,unexpected,healthy,unhealthy,12
expected,unexpected,identified,unidentified,12
expected,unexpected,intended,unintended,12
