after,before,ahead,behind,40
backward,forward,dynamic,static,40
backward,forward,employ,dismiss,40
backward,forward,exit,entrance,40
backward,forward,fall,rise,40
backward,forward,first,last,40
backward,forward,forget,remember,40
backward,forward,forward,backward,40
backward,forward,front,back,40
backward,forward,in,out,40
backward,forward,inbound,outbound,40
backward,forward,inhale,exhale,40
backward,forward,input,output,40
backward,forward,inside,outside,40
backward,forward,interior,exterior,40
backward,forward,internal,external,40
backward,forward,inverse,reverse,40
backward,forward,mortal,immortal,40
backward,forward,occupied,vacant,40
backward,forward,off,on,40
backward,forward,out,in,40
backward,forward,outward,upward,40
backward,forward,over,under,40
backward,forward,previously,subsequently,40
backward,forward,proceed,retreat,40
backward,forward,rise,sink,40
backward,forward,south,north,40
backward,forward,southeast,southwest,40
backward,forward,submerge,emerge,40
backward,forward,top,bottom,40
backward,forward,toward,away,40
backward,forward,true,false,40
backward,forward,under,over,40
backward,forward,up,down,40
backward,forward,uphill,downhill,40
backward,forward,west,east,40
before,after,beginning,end,40
before,after,below,above,40
before,after,climb,descend,40
before,after,dead,alive,40
before,after,decrement,increment,40
before,after,descend,ascend,40
before,after,dive,emerge,40
before,after,down,up,40
before,after,downslope,upslope,40
before,after,drop,lift,40
before,after,dynamic,static,40
before,after,employ,dismiss,40
before,after,exit,entrance,40
before,after,fall,rise,40
before,after,first,last,40
before,after,forget,remember,40
before,after,forward,backward,40
before,after,front,back,40
before,after,in,out,40
before,after,inbound,outbound,40
before,after,inhale,exhale,40
before,after,input,output,40
before,after,inside,outside,40
before,after,interior,exterior,40
before,after,internal,external,40
before,after,inverse,reverse,40
before,after,mortal,immortal,40
before,after,occupied,vacant,40
before,after,off,on,40
before,after,out,in,40
before,after,outward,upward,40
before,after,over,under,40
before,after,previously,subsequently,40
before,after,proceed,retreat,40
before,after,rise,sink,40
before,after,south,north,40
before,after,southeast,southwest,40
before,after,submerge,emerge,40
before,after,top,bottom,40
before,after,toward,away,40
before,after,true,false,40
before,after,under,over,40
before,after,up,down,40
before,after,uphill,downhill,40
before,after,west,east,40
beginning,end,below,above,40
beginning,end,climb,descend,40
beginning,end,dead,alive,40
beginning,end,decrement,increment,40
beginning,end,descend,ascend,40
beginning,end,dive,emerge,40
beginning,end,down,up,40
beginning,end,downslope,upslope,40
beginning,end,drop,lift,40
beginning,end,dynamic,static,40
beginning,end,employ,dismiss,40
beginning,end,exit,entrance,40
beginning,end,fall,rise,40
beginning,end,first,last,40
beginning,end,forget,remember,40
beginning,end,forward,backward,40
beginning,end,front,back,40
beginning,end,in,out,40
beginning,end,inbound,outbound,40
beginning,end,inhale,exhale,40
beginning,end,input,output,40
beginning,end,inside,outside,40
beginning,end,interior,exterior,40
beginning,end,internal,external,40
beginning,end,inverse,reverse,40
beginning,end,mortal,immortal,40
beginning,end,occupied,vacant,40
beginning,end,off,on,40
beginning,end,out,in,40
beginning,end,outward,upward,40
beginning,end,over,under,40
beginning,end,previously,subsequently,40
beginning,end,proceed,retreat,40
beginning,end,rise,sink,40
beginning,end,south,north,40
beginning,end,southeast,southwest,40
beginning,end,submerge,emerge,40
beginning,end,top,bottom,40
beginning,end,toward,away,40
beginning,end,true,false,40
beginning,end,under,over,40
beginning,end,up,down,40
beginning,end,uphill,downhill,40
beginning,end,west,east,40
below,above,climb,descend,40
below,above,dead,alive,40
below,above,decrement,increment,40
below,above,descend,ascend,40
below,above,dive,emerge,40
below,above,down,up,40
below,above,downslope,upslope,40
below,above,drop,lift,40
below,above,dynamic,static,40
below,above,employ,dismiss,40
below,above,exit,entrance,40
below,above,fall,rise,40
below,above,first,last,40
below,above,forget,remember,40
below,above,forward,backward,40
below,above,front,back,40
below,above,in,out,40
below,above,inbound,outbound,40
below,above,inhale,exhale,40
below,above,input,output,40
below,above,inside,outside,40
below,above,interior,exterior,40
below,above,internal,external,40
below,above,inverse,reverse,40
below,above,mortal,immortal,40
below,above,occupied,vacant,40
below,above,off,on,40
below,above,out,in,40
below,above,outward,upward,40
below,above,over,under,40
below,above,previously,subsequently,40
below,above,proceed,retreat,40
below,above,rise,sink,40
below,above,south,north,40
below,above,southeast,southwest,40
below,above,submerge,emerge,40
below,above,top,bottom,40
below,above,toward,away,40
below,above,true,false,40
below,above,under,over,40
below,above,up,down,40
below,above,uphill,downhill,40
below,above,west,east,40
climb,descend,dead,alive,40
climb,descend,decrement,increment,40
climb,descend,descend,ascend,40
climb,descend,dive,emerge,40
climb,descend,down,up,40
climb,descend,downslope,upslope,40
climb,descend,drop,lift,40
climb,descend,dynamic,static,40
climb,descend,employ,dismiss,40
climb,descend,exit,entrance,40
climb,descend,fall,rise,40
climb,descend,first,last,40
climb,descend,forget,remember,40
climb,descend,forward,backward,40
climb,descend,front,back,40
climb,descend,in,out,40
climb,descend,inbound,outbound,40
climb,descend,inhale,exhale,40
climb,descend,input,output,40
climb,descend,inside,outside,40
climb,descend,interior,exterior,40
climb,descend,internal,external,40
climb,descend,inverse,reverse,40
climb,descend,mortal,immortal,40
climb,descend,occupied,vacant,40
climb,descend,off,on,40
climb,descend,out,in,40
climb,descend,outward,upward,40
climb,descend,over,under,40
climb,descend,previously,subsequently,40
climb,descend,proceed,retreat,40
climb,descend,rise,sink,40
climb,descend,south,north,40
climb,descend,southeast,southwest,40
climb,descend,submerge,emerge,40
climb,descend,top,bottom,40
climb,descend,toward,away,40
climb,descend,true,false,40
climb,descend,under,over,40
climb,descend,up,down,40
climb,descend,uphill,downhill,40
climb,descend,west,east,40
dead,alive,decrement,increment,40
dead,alive,descend,ascend,40
dead,alive,dive,emerge,40
dead,alive,down,up,40
dead,alive,downslope,upslope,40
dead,alive,drop,lift,40
dead,alive,dynamic,static,40
dead,alive,employ,dismiss,40
dead,alive,exit,entrance,40
dead,alive,fall,rise,40
dead,alive,first,last,40
dead,alive,forget,remember,40
dead,alive,forward,backward,40
dead,alive,front,back,40
dead,alive,in,out,40
dead,alive,inbound,outbound,40
dead,alive,inhale,exhale,40
dead,alive,input,output,40
dead,alive,inside,outside,40
dead,alive,interior,exterior,40
dead,alive,internal,external,40
dead,alive,inverse,reverse,40
dead,alive,mortal,immortal,40
dead,alive,occupied,vacant,40
dead,alive,off,on,40
dead,alive,out,in,40
dead,alive,outward,upward,40
dead,alive,over,under,40
dead,alive,previously,subsequently,40
dead,alive,proceed,retreat,40
dead,alive,rise,sink,40
dead,alive,south,north,40
dead,alive,southeast,southwest,40
dead,alive,submerge,emerge,40
dead,alive,top,bottom,40
dead,alive,toward,away,40
dead,alive,true,false,40
dead,alive,under,over,40
dead,alive,up,down,40
dead,alive,uphill,downhill,40
dead,alive,west,east,40
decrement,increment,descend,ascend,40
decrement,increment,dive,emerge,40
decrement,increment,down,up,40
decrement,increment,downslope,upslope,40
decrement,increment,drop,lift,40
decrement,increment,dynamic,static,40
decrement,increment,employ,dismiss,40
decrement,increment,exit,entrance,40
decrement,increment,fall,rise,40
decrement,increment,first,last,40
decrement,increment,forget,remember,40
decrement,increment,forward,backward,40
decrement,increment,front,back,40
decrement,increment,in,out,40
decrement,increment,inbound,outbound,40
decrement,increment,inhale,exhale,40
decrement,increment,input,output,40
decrement,increment,inside,outside,40
decrement,increment,interior,exterior,40
decrement,increment,internal,external,40
decrement,increment,inverse,reverse,40
decrement,increment,mortal,immortal,40
decrement,increment,occupied,vacant,40
decrement,increment,off,on,40
decrement,increment,out,in,40
decrement,increment,outward,upward,40
decrement,increment,over,under,40
decrement,increment,previously,subsequently,40
decrement,increment,proceed,retreat,40
decrement,increment,rise,sink,40
decrement,increment,south,north,40
decrement,increment,southeast,southwest,40
decrement,increment,submerge,emerge,40
decrement,increment,top,bottom,40
decrement,increment,toward,away,40
decrement,increment,true,false,40
decrement,increment,under,over,40
decrement,increment,up,down,40
decrement,increment,uphill,downhill,40
decrement,increment,west,east,40
descend,ascend,dive,emerge,40
descend,ascend,down,up,40
descend,ascend,downslope,upslope,40
descend,ascend,drop,lift,40
descend,ascend,dynamic,static,40
descend,ascend,employ,dismiss,40
descend,ascend,exit,entrance,40
descend,ascend,fall,rise,40
descend,ascend,first,last,40
descend,ascend,forget,remember,40
descend,ascend,forward,backward,40
descend,ascend,front,back,40
descend,ascend,in,out,40
descend,ascend,inbound,outbound,40
descend,ascend,inhale,exhale,40
descend,ascend,input,output,40
descend,ascend,inside,outside,40
descend,ascend,interior,exterior,40
descend,ascend,internal,external,40
descend,ascend,inverse,reverse,40
descend,ascend,mortal,immortal,40
descend,ascend,occupied,vacant,40
descend,ascend,off,on,40
descend,ascend,out,in,40
descend,ascend,outward,upward,40
descend,ascend,over,under,40
descend,ascend,previously,subsequently,40
descend,ascend,proceed,retreat,40
descend,ascend,rise,sink,40
descend,ascend,south,north,40
descend,ascend,southeast,southwest,40
descend,ascend,submerge,emerge,40
descend,ascend,top,bottom,40
descend,ascend,toward,away,40
descend,ascend,true,false,40
descend,ascend,under,over,40
descend,ascend,up,down,40
descend,ascend,uphill,downhill,40
descend,ascend,west,east,40
dive,emerge,down,up,40
dive,emerge,downslope,upslope,40
dive,emerge,drop,lift,40
dive,emerge,dynamic,static,40
dive,emerge,employ,dismiss,40
dive,emerge,exit,entrance,40
dive,emerge,fall,rise,40
dive,emerge,first,last,40
dive,emerge,forget,remember,40
dive,emerge,forward,backward,40
dive,emerge,front,back,40
dive,emerge,in,out,40
dive,emerge,inbound,outbound,40
dive,emerge,inhale,exhale,40
dive,emerge,input,output,40
dive,emerge,inside,outside,40
dive,emerge,interior,exterior,40
dive,emerge,internal,external,40
dive,emerge,inverse,reverse,40
dive,emerge,mortal,immortal,40
dive,emerge,occupied,vacant,40
dive,emerge,off,on,40
dive,emerge,out,in,40
dive,emerge,outward,upward,40
dive,emerge,over,under,40
dive,emerge,previously,subsequently,40
dive,emerge,proceed,retreat,40
dive,emerge,rise,sink,40
dive,emerge,south,north,40
dive,emerge,southeast,southwest,40
dive,emerge,submerge,emerge,40
dive,emerge,top,bottom,40
dive,emerge,toward,away,40
dive,emerge,true,false,40
dive,emerge,under,over,40
dive,emerge,up,down,40
dive,emerge,uphill,downhill,40
dive,emerge,west,east,40
down,up,downslope,upslope,40
down,up,drop,lift,40
down,up,dynamic,static,40
down,up,employ,dismiss,40
down,up,exit,entrance,40
down,up,fall,rise,40
down,up,first,last,40
down,up,forget,remember,40
down,up,forward,backward,40
down,up,front,back,40
down,up,in,out,40
down,up,inbound,outbound,40
down,up,inhale,exhale,40
down,up,input,output,40
down,up,inside,outside,40
down,up,interior,exterior,40
down,up,internal,external,40
down,up,inverse,reverse,40
down,up,mortal,immortal,40
down,up,occupied,vacant,40
down,up,off,on,40
down,up,out,in,40
down,up,outward,upward,40
down,up,over,under,40
down,up,previously,subsequently,40
down,up,proceed,retreat,40
down,up,rise,sink,40
down,up,south,north,40
down,up,southeast,southwest,40
down,up,submerge,emerge,40
down,up,top,bottom,40
down,up,toward,away,40
down,up,true,false,40
down,up,under,over,40
down,up,up,down,40
down,up,uphill,downhill,40
down,up,west,east,40
downslope,upslope,drop,lift,40
downslope,upslope,dynamic,static,40
downslope,upslope,employ,dismiss,40
downslope,upslope,exit,entrance,40
downslope,upslope,fall,rise,40
downslope,upslope,first,last,40
downslope,upslope,forget,remember,40
downslope,upslope,forward,backward,40
downslope,upslope,front,back,40
downslope,upslope,in,out,40
downslope,upslope,inbound,outbound,40
downslope,upslope,inhale,exhale,40
downslope,upslope,input,output,40
downslope,upslope,inside,outside,40
downslope,upslope,interior,exterior,40
downslope,upslope,internal,external,40
downslope,upslope,inverse,reverse,40
downslope,upslope,mortal,immortal,40
downslope,upslope,occupied,vacant,40
downslope,upslope,off,on,40
downslope,upslope,out,in,40
downslope,upslope,outward,upward,40
downslope,upslope,over,under,40
downslope,upslope,previously,subsequently,40
downslope,upslope,proceed,retreat,40
downslope,upslope,rise,sink,40
downslope,upslope,south,north,40
downslope,upslope,southeast,southwest,40
downslope,upslope,submerge,emerge,40
downslope,upslope,top,bottom,40
downslope,upslope,toward,away,40
downslope,upslope,true,false,40
downslope,upslope,under,over,40
downslope,upslope,up,down,40
downslope,upslope,uphill,downhill,40
downslope,upslope,west,east,40
drop,lift,dynamic,static,40
drop,lift,employ,dismiss,40
drop,lift,exit,entrance,40
drop,lift,fall,rise,40
drop,lift,first,last,40
drop,lift,forget,remember,40
drop,lift,forward,backward,40
drop,lift,front,back,40
drop,lift,in,out,40
drop,lift,inbound,outbound,40
drop,lift,inhale,exhale,40
drop,lift,input,output,40
drop,lift,inside,outside,40
drop,lift,interior,exterior,40
drop,lift,internal,external,40
drop,lift,inverse,reverse,40
drop,lift,mortal,immortal,40
drop,lift,occupied,vacant,40
drop,lift,off,on,40
drop,lift,out,in,40
drop,lift,outward,upward,40
drop,lift,over,under,40
drop,lift,previously,subsequently,40
drop,lift,proceed,retreat,40
drop,lift,rise,sink,40
drop,lift,south,north,40
drop,lift,southeast,southwest,40
drop,lift,submerge,emerge,40
drop,lift,top,bottom,40
drop,lift,toward,away,40
drop,lift,true,false,40
drop,lift,under,over,40
drop,lift,up,down,40
drop,lift,uphill,downhill,40
drop,lift,west,east,40
dynamic,static,employ,dismiss,40
dynamic,static,exit,entrance,40
dynamic,static,fall,rise,40
dynamic,static,first,last,40
dynamic,static,forget,remember,40
dynamic,static,forward,backward,40
dynamic,static,front,back,40
dynamic,static,in,out,40
dynamic,static,inbound,outbound,40
dynamic,static,inhale,exhale,40
dynamic,static,input,output,40
dynamic,static,inside,outside,40
dynamic,static,interior,exterior,40
dynamic,static,internal,external,40
dynamic,static,inverse,reverse,40
dynamic,static,mortal,immortal,40
dynamic,static,occupied,vacant,40
dynamic,static,off,on,40
dynamic,static,out,in,40
dynamic,static,outward,upward,40
dynamic,static,over,under,40
dynamic,static,previously,subsequently,40
dynamic,static,proceed,retreat,40
dynamic,static,rise,sink,40
dynamic,static,south,north,40
dynamic,static,southeast,southwest,40
dynamic,static,submerge,emerge,40
dynamic,static,top,bottom,40
dynamic,static,toward,away,40
dynamic,static,true,false,40
dynamic,static,under,over,40
dynamic,static,up,down,40
dynamic,static,uphill,downhill,40
dynamic,static,west,east,40
employ,dismiss,exit,entrance,40
employ,dismiss,fall,rise,40
employ,dismiss,first,last,40
employ,dismiss,forget,remember,40
employ,dismiss,forward,backward,40
employ,dismiss,front,back,40
employ,dismiss,in,out,40
employ,dismiss,inbound,outbound,40
employ,dismiss,inhale,exhale,40
employ,dismiss,input,output,40
employ,dismiss,inside,outside,40
employ,dismiss,interior,exterior,40
employ,dismiss,internal,external,40
employ,dismiss,inverse,reverse,40
employ,dismiss,mortal,immortal,40
employ,dismiss,occupied,vacant,40
employ,dismiss,off,on,40
employ,dismiss,out,in,40
employ,dismiss,outward,upward,40
employ,dismiss,over,under,40
employ,dismiss,previously,subsequently,40
employ,dismiss,proceed,retreat,40
employ,dismiss,rise,sink,40
employ,dismiss,south,north,40
employ,dismiss,southeast,southwest,40
employ,dismiss,submerge,emerge,40
employ,dismiss,top,bottom,40
employ,dismiss,toward,away,40
employ,dismiss,true,false,40
employ,dismiss,under,over,40
employ,dismiss,up,down,40
employ,dismiss,uphill,downhill,40
employ,dismiss,west,east,40
exit,entrance,fall,rise,40
exit,entrance,first,last,40
exit,entrance,forget,remember,40
exit,entrance,forward,backward,40
exit,entrance,front,back,40
exit,entrance,in,out,40
exit,entrance,inbound,outbound,40
exit,entrance,inhale,exhale,40
exit,entrance,input,output,40
exit,entrance,inside,outside,40
exit,entrance,interior,exterior,40
exit,entrance,internal,external,40
exit,entrance,inverse,reverse,40
exit,entrance,mortal,immortal,40
exit,entrance,occupied,vacant,40
exit,entrance,off,on,40
exit,entrance,out,in,40
exit,entrance,outward,upward,40
exit,entrance,over,under,40
exit,entrance,previously,subsequently,40
exit,entrance,proceed,retreat,40
exit,entrance,rise,sink,40
exit,entrance,south,north,40
exit,entrance,southeast,southwest,40
exit,entrance,submerge,emerge,40
exit,entrance,top,bottom,40
exit,entrance,toward,away,40
exit,entrance,true,false,40
exit,entrance,under,over,40
exit,entrance,up,down,40
exit,entrance,uphill,downhill,40
exit,entrance,west,east,40
fall,rise,first,last,40
fall,rise,forget,remember,40
fall,rise,forward,backward,40
fall,rise,front,back,40
fall,rise,in,out,40
fall,rise,inbound,outbound,40
fall,rise,inhale,exhale,40
fall,rise,input,output,40
fall,rise,inside,outside,40
fall,rise,interior,exterior,40
fall,rise,internal,external,40
fall,rise,inverse,reverse,40
fall,rise,mortal,immortal,40
fall,rise,occupied,vacant,40
fall,rise,off,on,40
fall,rise,out,in,40
fall,rise,outward,upward,40
fall,rise,over,under,40
fall,rise,previously,subsequently,40
fall,rise,proceed,retreat,40
fall,rise,rise,sink,40
fall,rise,south,north,40
fall,rise,southeast,southwest,40
fall,rise,submerge,emerge,40
fall,rise,top,bottom,40
fall,rise,toward,away,40
fall,rise,true,false,40
fall,rise,under,over,40
fall,rise,up,down,40
fall,rise,uphill,downhill,40
fall,rise,west,east,40
first,last,forget,remember,40
first,last,forward,backward,40
first,last,front,back,40
first,last,in,out,40
first,last,inbound,outbound,40
first,last,inhale,exhale,40
first,last,input,output,40
first,last,inside,outside,40
first,last,interior,exterior,40
first,last,internal,external,40
first,last,inverse,reverse,40
first,last,mortal,immortal,40
first,last,occupied,vacant,40
first,last,off,on,40
first,last,out,in,40
first,last,outward,upward,40
first,last,over,under,40
first,last,previously,subsequently,40
first,last,proceed,retreat,40
first,last,rise,sink,40
first,last,south,north,40
first,last,southeast,southwest,40
first,last,submerge,emerge,40
first,last,top,bottom,40
first,last,toward,away,40
first,last,true,false,40
first,last,under,over,40
first,last,up,down,40
first,last,uphill,downhill,40
first,last,west,east,40
forget,remember,forward,backward,40
forget,remember,front,back,40
forget,remember,in,out,40
forget,remember,inbound,outbound,40
forget,remember,inhale,exhale,40
forget,remember,input,output,40
forget,remember,inside,outside,40
forget,remember,interior,exterior,40
forget,remember,internal,external,40
forget,remember,inverse,reverse,40
forget,remember,mortal,immortal,40
forget,remember,occupied,vacant,40
forget,remember,off,on,40
forget,remember,out,in,40
forget,remember,outward,upward,40
forget,remember,over,under,40
forget,remember,previously,subsequently,40
forget,remember,proceed,retreat,40
forget,remember,rise,sink,40
forget,remember,south,north,40
forget,remember,southeast,southwest,40
forget,remember,submerge,emerge,40
forget,remember,top,bottom,40
forget,remember,toward,away,40
forget,remember,true,false,40
forget,remember,under,over,40
forget,remember,up,down,40
forget,remember,uphill,downhill,40
forget,remember,west,east,40
forward,backward,front,back,40
forward,backward,in,out,40
forward,backward,inbound,outbound,40
forward,backward,inhale,exhale,40
forward,backward,input,output,40
forward,backward,inside,outside,40
forward,backward,interior,exterior,40
forward,backward,internal,external,40
forward,backward,inverse,reverse,40
forward,backward,mortal,immortal,40
forward,backward,occupied,vacant,40
forward,backward,off,on,40
forward,backward,out,in,40
forward,backward,outward,upward,40
forward,backward,over,under,40
forward,backward,previously,subsequently,40
forward,backward,proceed,retreat,40
forward,backward,rise,sink,40
forward,backward,south,north,40
forward,backward,southeast,southwest,40
forward,backward,submerge,emerge,40
forward,backward,top,bottom,40
forward,backward,toward,away,40
forward,backward,true,false,40
forward,backward,under,over,40
forward,backward,up,down,40
forward,backward,uphill,downhill,40
forward,backward,west,east,40
front,back,in,out,40
front,back,inbound,outbound,40
front,back,inhale,exhale,40
front,back,input,output,40
front,back,inside,outside,40
front,back,interior,exterior,40
front,back,internal,external,40
front,back,inverse,reverse,40
front,back,mortal,immortal,40
front,back,occupied,vacant,40
front,back,off,on,40
front,back,out,in,40
front,back,outward,upward,40
front,back,over,under,40
front,back,previously,subsequently,40
front,back,proceed,retreat,40
front,back,rise,sink,40
front,back,south,north,40
front,back,southeast,southwest,40
front,back,submerge,emerge,40
front,back,top,bottom,40
front,back,toward,away,40
front,back,true,false,40
front,back,under,over,40
front,back,up,down,40
front,back,uphill,downhill,40
front,back,west,east,40
in,out,inbound,outbound,40
in,out,inhale,exhale,40
in,out,input,output,40
in,out,inside,outside,40
in,out,interior,exterior,40
in,out,internal,external,40
in,out,inverse,reverse,40
in,out,mortal,immortal,40
in,out,occupied,vacant,40
in,out,off,on,40
in,out,out,in,40
in,out,outward,upward,40
in,out,over,under,40
in,out,previously,subsequently,40
in,out,proceed,retreat,40
in,out,rise,sink,40
in,out,south,north,40
in,out,southeast,southwest,40
in,out,submerge,emerge,40
in,out,top,bottom,40
in,out,toward,away,40
in,out,true,false,40
in,out,under,over,40
in,out,up,down,40
in,out,uphill,downhill,40
in,out,west,east,40
inbound,outbound,inhale,exhale,40
inbound,outbound,input,output,40
inbound,outbound,inside,outside,40
inbound,outbound,interior,exterior,40
inbound,outbound,internal,external,40
inbound,outbound,inverse,reverse,40
inbound,outbound,mortal,immortal,40
inbound,outbound,occupied,vacant,40
inbound,outbound,off,on,40
inbound,outbound,out,in,40
inbound,outbound,outward,upward,40
inbound,outbound,over,under,40
inbound,outbound,previously,subsequently,40
inbound,outbound,proceed,retreat,40
inbound,outbound,rise,sink,40
inbound,outbound,south,north,40
inbound,outbound,southeast,southwest,40
inbound,outbound,submerge,emerge,40
inbound,outbound,top,bottom,40
inbound,outbound,toward,away,40
inbound,outbound,true,false,40
inbound,outbound,under,over,40
inbound,outbound,up,down,40
inbound,outbound,uphill,downhill,40
inbound,outbound,west,east,40
inhale,exhale,input,output,40
inhale,exhale,inside,outside,40
inhale,exhale,interior,exterior,40
inhale,exhale,internal,external,40
inhale,exhale,inverse,reverse,40
inhale,exhale,mortal,immortal,40
inhale,exhale,occupied,vacant,40
inhale,exhale,off,on,40
inhale,exhale,out,in,40
inhale,exhale,outward,upward,40
inhale,exhale,over,under,40
inhale,exhale,previously,subsequently,40
inhale,exhale,proceed,retreat,40
inhale,exhale,rise,sink,40
inhale,exhale,south,north,40
inhale,exhale,southeast,southwest,40
inhale,exhale,submerge,emerge,40
inhale,exhale,top,bottom,40
inhale,exhale,toward,away,40
inhale,exhale,true,false,40
inhale,exhale,under,over,40
inhale,exhale,up,down,40
inhale,exhale,uphill,downhill,40
inhale,exhale,west,east,40
input,output,inside,outside,40
input,output,interior,exterior,40
input,output,internal,external,40
input,output,inverse,reverse,40
input,output,mortal,immortal,40
input,output,occupied,vacant,40
input,output,off,on,40
input,output,out,in,40
input,output,outward,upward,40
input,output,over,under,40
input,output,previously,subsequently,40
input,output,proceed,retreat,40
input,output,rise,sink,40
input,output,south,north,40
input,output,southeast,southwest,40
input,output,submerge,emerge,40
input,output,top,bottom,40
input,output,toward,away,40
input,output,true,false,40
input,output,under,over,40
input,output,up,down,40
input,output,uphill,downhill,40
input,output,west,east,40
inside,outside,interior,exterior,40
inside,outside,internal,external,40
inside,outside,inverse,reverse,40
inside,outside,mortal,immortal,40
inside,outside,occupied,vacant,40
inside,outside,off,on,40
inside,outside,out,in,40
inside,outside,outward,upward,40
inside,outside,over,under,40
inside,outside,previously,subsequently,40
inside,outside,proceed,retreat,40
inside,outside,rise,sink,40
inside,outside,south,north,40
inside,outside,southeast,southwest,40
inside,outside,submerge,emerge,40
inside,outside,top,bottom,40
inside,outside,toward,away,40
inside,outside,true,false,40
inside,outside,under,over,40
inside,outside,up,down,40
inside,outside,uphill,downhill,40
inside,outside,west,east,40
interior,exterior,internal,external,40
interior,exterior,inverse,reverse,40
interior,exterior,mortal,immortal,40
interior,exterior,occupied,vacant,40
interior,exterior,off,on,40
interior,exterior,out,in,40
