able,unable,abundant,scarce,39
beautiful,ugly,energetic,lethargic,39
beautiful,ugly,familiar,unfamiliar,39
beautiful,ugly,fat,thin,39
beautiful,ugly,full,empty,39
beautiful,ugly,gaseous,solid,39
beautiful,ugly,generous,stingy,39
beautiful,ugly,happy,sad,39
beautiful,ugly,hard,soft,39
beautiful,ugly,hot,cold,39
beautiful,ugly,interesting,uninteresting,39
beautiful,ugly,large,small,39
beautiful,ugly,long,short,39
beautiful,ugly,lumpy,flat,39
beautiful,ugly,noisy,silent,39
beautiful,ugly,normal,abnormal,39
beautiful,ugly,organized,unorganized,39
beautiful,ugly,pale,tanned,39
beautiful,ugly,rich,poor,39
beautiful,ugly,sane,crazy,39
beautiful,ugly,short,tall,39
beautiful,ugly,simple,difficult,39
beautiful,ugly,sincere,insincere,39
beautiful,ugly,slow,fast,39
beautiful,ugly,sweet,sour,39
beautiful,ugly,tasty,tasteless,39
beautiful,ugly,tight,loose,39
beautiful,ugly,warm,cool,39
beautiful,ugly,white,black,39
beautiful,ugly,wide,narrow,39
beautiful,ugly,willing,unwilling,39
beautiful,ugly,young,old,39
big,small,bright,pale,39
big,small,cheap,expensive,39
big,small,clean,dirty,39
big,small,clear,vague,39
big,small,close,distant,39
big,small,colorful,colorless,39
big,small,common,rare,39
big,small,competent,incompetent,39
big,small,concerned,unconcerned,39
big,small,cooked,raw,39
big,small,dangerous,safe,39
big,small,decisive,hesitating,39
big,small,dry,wet,39
big,small,energetic,lethargic,39
big,small,familiar,unfamiliar,39
big,small,fat,thin,39
big,small,full,empty,39
big,small,gaseous,solid,39
big,small,generous,stingy,39
big,small,happy,sad,39
big,small,hard,soft,39
big,small,hot,cold,39
big,small,interesting,uninteresting,39
big,small,large,small,39
big,small,long,short,39
big,small,lumpy,flat,39
big,small,noisy,silent,39
big,small,normal,abnormal,39
big,small,organized,unorganized,39
big,small,pale,tanned,39
big,small,rich,poor,39
big,small,sane,crazy,39
big,small,short,tall,39
big,small,simple,difficult,39
big,small,sincere,insincere,39
big,small,slow,fast,39
big,small,sweet,sour,39
big,small,tasty,tasteless,39
big,small,tight,loose,39
big,small,warm,cool,39
big,small,white,black,39
big,small,wide,narrow,39
big,small,willing,unwilling,39
big,small,young,old,39
bright,pale,cheap,expensive,39
bright,pale,clean,dirty,39
bright,pale,clear,vague,39
bright,pale,close,distant,39
bright,pale,colorful,colorless,39
bright,pale,common,rare,39
bright,pale,competent,incompetent,39
bright,pale,concerned,unconcerned,39
bright,pale,cooked,raw,39
bright,pale,dangerous,safe,39
bright,pale,decisive,hesitating,39
bright,pale,dry,wet,39
bright,pale,energetic,lethargic,39
bright,pale,familiar,unfamiliar,39
bright,pale,fat,thin,39
bright,pale,full,empty,39
bright,pale,gaseous,solid,39
bright,pale,generous,stingy,39
bright,pale,happy,sad,39
bright,pale,hard,soft,39
bright,pale,hot,cold,39
bright,pale,interesting,uninteresting,39
bright,pale,large,small,39
bright,pale,long,short,39
bright,pale,lumpy,flat,39
bright,pale,noisy,silent,39
bright,pale,normal,abnormal,39
bright,pale,organized,unorganized,39
bright,pale,pale,tanned,39
bright,pale,rich,poor,39
bright,pale,sane,crazy,39
bright,pale,short,tall,39
bright,pale,simple,difficult,39
bright,pale,sincere,insincere,39
bright,pale,slow,fast,39
bright,pale,sweet,sour,39
bright,pale,tasty,tasteless,39
bright,pale,tight,loose,39
bright,pale,warm,cool,39
bright,pale,white,black,39
bright,pale,wide,narrow,39
bright,pale,willing,unwilling,39
bright,pale,young,old,39
cheap,expensive,clean,dirty,39
cheap,expensive,clear,vague,39
cheap,expensive,close,distant,39
cheap,expensive,colorful,colorless,39
cheap,expensive,common,rare,39
cheap,expensive,competent,incompetent,39
cheap,expensive,concerned,unconcerned,39
cheap,expensive,cooked,raw,39
cheap,expensive,dangerous,safe,39
cheap,expensive,decisive,hesitating,39
cheap,expensive,dry,wet,39
cheap,expensive,energetic,lethargic,39
cheap,expensive,familiar,unfamiliar,39
cheap,expensive,fat,thin,39
cheap,expensive,full,empty,39
cheap,expensive,gaseous,solid,39
cheap,expensive,generous,stingy,39
cheap,expensive,happy,sad,39
cheap,expensive,hard,soft,39
cheap,expensive,hot,cold,39
cheap,expensive,interesting,uninteresting,39
cheap,expensive,large,small,39
cheap,expensive,long,short,39
cheap,expensive,lumpy,flat,39
cheap,expensive,noisy,silent,39
cheap,expensive,normal,abnormal,39
cheap,expensive,organized,unorganized,39
cheap,expensive,pale,tanned,39
cheap,expensive,rich,poor,39
cheap,expensive,sane,crazy,39
cheap,expensive,short,tall,39
cheap,expensive,simple,difficult,39
cheap,expensive,sincere,insincere,39
cheap,expensive,slow,fast,39
cheap,expensive,sweet,sour,39
cheap,expensive,tasty,tasteless,39
cheap,expensive,tight,loose,39
cheap,expensive,warm,cool,39
cheap,expensive,white,black,39
cheap,expensive,wide,narrow,39
cheap,expensive,willing,unwilling,39
cheap,expensive,young,old,39
clean,dirty,clear,vague,39
clean,dirty,close,distant,39
clean,dirty,colorful,colorless,39
clean,dirty,common,rare,39
clean,dirty,competent,incompetent,39
clean,dirty,concerned,unconcerned,39
clean,dirty,cooked,raw,39
clean,dirty,dangerous,safe,39
clean,dirty,decisive,hesitating,39
clean,dirty,dry,wet,39
clean,dirty,energetic,lethargic,39
clean,dirty,familiar,unfamiliar,39
clean,dirty,fat,thin,39
clean,dirty,full,empty,39
clean,dirty,gaseous,solid,39
clean,dirty,generous,stingy,39
clean,dirty,happy,sad,39
clean,dirty,hard,soft,39
clean,dirty,hot,cold,39
clean,dirty,interesting,uninteresting,39
clean,dirty,large,small,39
clean,dirty,long,short,39
clean,dirty,lumpy,flat,39
clean,dirty,noisy,silent,39
clean,dirty,normal,abnormal,39
clean,dirty,organized,unorganized,39
clean,dirty,pale,tanned,39
clean,dirty,rich,poor,39
clean,dirty,sane,crazy,39
clean,dirty,short,tall,39
clean,dirty,simple,difficult,39
clean,dirty,sincere,insincere,39
clean,dirty,slow,fast,39
clean,dirty,sweet,sour,39
clean,dirty,tasty,tasteless,39
clean,dirty,tight,loose,39
clean,dirty,warm,cool,39
clean,dirty,white,black,39
clean,dirty,wide,narrow,39
clean,dirty,willing,unwilling,39
clean,dirty,young,old,39
clear,vague,close,distant,39
clear,vague,colorful,colorless,39
clear,vague,common,rare,39
clear,vague,competent,incompetent,39
clear,vague,concerned,unconcerned,39
clear,vague,cooked,raw,39
clear,vague,dangerous,safe,39
clear,vague,decisive,hesitating,39
clear,vague,dry,wet,39
clear,vague,energetic,lethargic,39
clear,vague,familiar,unfamiliar,39
clear,vague,fat,thin,39
clear,vague,full,empty,39
clear,vague,gaseous,solid,39
clear,vague,generous,stingy,39
clear,vague,happy,sad,39
clear,vague,hard,soft,39
clear,vague,hot,cold,39
clear,vague,interesting,uninteresting,39
clear,vague,large,small,39
clear,vague,long,short,39
clear,vague,lumpy,flat,39
clear,vague,noisy,silent,39
clear,vague,normal,abnormal,39
clear,vague,organized,unorganized,39
clear,vague,pale,tanned,39
clear,vague,rich,poor,39
clear,vague,sane,crazy,39
clear,vague,short,tall,39
clear,vague,simple,difficult,39
clear,vague,sincere,insincere,39
clear,vague,slow,fast,39
clear,vague,sweet,sour,39
clear,vague,tasty,tasteless,39
clear,vague,tight,loose,39
clear,vague,warm,cool,39
clear,vague,white,black,39
clear,vague,wide,narrow,39
clear,vague,willing,unwilling,39
clear,vague,young,old,39
close,distant,colorful,colorless,39
close,distant,common,rare,39
close,distant,competent,incompetent,39
close,distant,concerned,unconcerned,39
close,distant,cooked,raw,39
close,distant,dangerous,safe,39
close,distant,decisive,hesitating,39
close,distant,dry,wet,39
close,distant,energetic,lethargic,39
close,distant,familiar,unfamiliar,39
close,distant,fat,thin,39
close,distant,full,empty,39
close,distant,gaseous,solid,39
close,distant,generous,stingy,39
close,distant,happy,sad,39
close,distant,hard,soft,39
close,distant,hot,cold,39
close,distant,interesting,uninteresting,39
close,distant,large,small,39
close,distant,long,short,39
close,distant,lumpy,flat,39
close,distant,noisy,silent,39
close,distant,normal,abnormal,39
close,distant,organized,unorganized,39
close,distant,pale,tanned,39
close,distant,rich,poor,39
close,distant,sane,crazy,39
close,distant,short,tall,39
close,distant,simple,difficult,39
close,distant,sincere,insincere,39
close,distant,slow,fast,39
close,distant,sweet,sour,39
close,distant,tasty,tasteless,39
close,distant,tight,loose,39
close,distant,warm,cool,39
close,distant,white,black,39
close,distant,wide,narrow,39
close,distant,willing,unwilling,39
close,distant,young,old,39
colorful,colorless,common,rare,39
colorful,colorless,competent,incompetent,39
colorful,colorless,concerned,unconcerned,39
colorful,colorless,cooked,raw,39
colorful,colorless,dangerous,safe,39
colorful,colorless,decisive,hesitating,39
colorful,colorless,dry,wet,39
colorful,colorless,energetic,lethargic,39
colorful,colorless,familiar,unfamiliar,39
colorful,colorless,fat,thin,39
colorful,colorless,full,empty,39
colorful,colorless,gaseous,solid,39
colorful,colorless,generous,stingy,39
colorful,colorless,happy,sad,39
colorful,colorless,hard,soft,39
colorful,colorless,hot,cold,39
colorful,colorless,interesting,uninteresting,39
colorful,colorless,large,small,39
colorful,colorless,long,short,39
colorful,colorless,lumpy,flat,39
colorful,colorless,noisy,silent,39
colorful,colorless,normal,abnormal,39
colorful,colorless,organized,unorganized,39
colorful,colorless,pale,tanned,39
colorful,colorless,rich,poor,39
colorful,colorless,sane,crazy,39
colorful,colorless,short,tall,39
colorful,colorless,simple,difficult,39
colorful,colorless,sincere,insincere,39
colorful,colorless,slow,fast,39
colorful,colorless,sweet,sour,39
colorful,colorless,tasty,tasteless,39
colorful,colorless,tight,loose,39
colorful,colorless,warm,cool,39
colorful,colorless,white,black,39
colorful,colorless,wide,narrow,39
colorful,colorless,willing,unwilling,39
colorful,colorless,young,old,39
common,rare,competent,incompetent,39
common,rare,concerned,unconcerned,39
common,rare,cooked,raw,39
common,rare,dangerous,safe,39
common,rare,decisive,hesitating,39
common,rare,dry,wet,39
common,rare,energetic,lethargic,39
common,rare,familiar,unfamiliar,39
common,rare,fat,thin,39
common,rare,full,empty,39
common,rare,gaseous,solid,39
common,rare,generous,stingy,39
common,rare,happy,sad,39
common,rare,hard,soft,39
common,rare,hot,cold,39
common,rare,interesting,uninteresting,39
common,rare,large,small,39
common,rare,long,short,39
common,rare,lumpy,flat,39
common,rare,noisy,silent,39
common,rare,normal,abnormal,39
common,rare,organized,unorganized,39
common,rare,pale,tanned,39
common,rare,rich,poor,39
common,rare,sane,crazy,39
common,rare,short,tall,39
common,rare,simple,difficult,39
common,rare,sincere,insincere,39
common,rare,slow,fast,39
common,rare,sweet,sour,39
common,rare,tasty,tasteless,39
common,rare,tight,loose,39
common,rare,warm,cool,39
common,rare,white,black,39
common,rare,wide,narrow,39
common,rare,willing,unwilling,39
common,rare,young,old,39
competent,incompetent,concerned,unconcerned,39
competent,incompetent,cooked,raw,39
competent,incompetent,dangerous,safe,39
competent,incompetent,decisive,hesitating,39
competent,incompetent,dry,wet,39
competent,incompetent,energetic,lethargic,39
competent,incompetent,familiar,unfamiliar,39
competent,incompetent,fat,thin,39
competent,incompetent,full,empty,39
competent,incompetent,gaseous,solid,39
competent,incompetent,generous,stingy,39
competent,incompetent,happy,sad,39
competent,incompetent,hard,soft,39
competent,incompetent,hot,cold,39
competent,incompetent,interesting,uninteresting,39
competent,incompetent,large,small,39
competent,incompetent,long,short,39
competent,incompetent,lumpy,flat,39
competent,incompetent,noisy,silent,39
competent,incompetent,normal,abnormal,39
competent,incompetent,organized,unorganized,39
competent,incompetent,pale,tanned,39
competent,incompetent,rich,poor,39
competent,incompetent,sane,crazy,39
competent,incompetent,short,tall,39
competent,incompetent,simple,difficult,39
competent,incompetent,sincere,insincere,39
competent,incompetent,slow,fast,39
competent,incompetent,sweet,sour,39
competent,incompetent,tasty,tasteless,39
competent,incompetent,tight,loose,39
competent,incompetent,warm,cool,39
competent,incompetent,white,black,39
competent,incompetent,wide,narrow,39
competent,incompetent,willing,unwilling,39
competent,incompetent,young,old,39
concerned,unconcerned,cooked,raw,39
concerned,unconcerned,dangerous,safe,39
concerned,unconcerned,decisive,hesitating,39
concerned,unconcerned,dry,wet,39
concerned,unconcerned,energetic,lethargic,39
concerned,unconcerned,familiar,unfamiliar,39
concerned,unconcerned,fat,thin,39
concerned,unconcerned,full,empty,39
concerned,unconcerned,gaseous,solid,39
concerned,unconcerned,generous,stingy,39
concerned,unconcerned,happy,sad,39
concerned,unconcerned,hard,soft,39
concerned,unconcerned,hot,cold,39
concerned,unconcerned,interesting,uninteresting,39
concerned,unconcerned,large,small,39
concerned,unconcerned,long,short,39
concerned,unconcerned,lumpy,flat,39
concerned,unconcerned,noisy,silent,39
concerned,unconcerned,normal,abnormal,39
concerned,unconcerned,organized,unorganized,39
concerned,unconcerned,pale,tanned,39
concerned,unconcerned,rich,poor,39
concerned,unconcerned,sane,crazy,39
concerned,unconcerned,short,tall,39
concerned,unconcerned,simple,difficult,39
concerned,unconcerned,sincere,insincere,39
concerned,unconcerned,slow,fast,39
concerned,unconcerned,sweet,sour,39
concerned,unconcerned,tasty,tasteless,39
concerned,unconcerned,tight,loose,39
concerned,unconcerned,warm,cool,39
concerned,unconcerned,white,black,39
concerned,unconcerned,wide,narrow,39
concerned,unconcerned,willing,unwilling,39
concerned,unconcerned,young,old,39
cooked,raw,dangerous,safe,39
cooked,raw,decisive,hesitating,39
cooked,raw,dry,wet,39
cooked,raw,energetic,lethargic,39
cooked,raw,familiar,unfamiliar,39
cooked,raw,fat,thin,39
cooked,raw,full,empty,39
cooked,raw,gaseous,solid,39
cooked,raw,generous,stingy,39
cooked,raw,happy,sad,39
cooked,raw,hard,soft,39
cooked,raw,hot,cold,39
cooked,raw,interesting,uninteresting,39
cooked,raw,large,small,39
cooked,raw,long,short,39
cooked,raw,lumpy,flat,39
cooked,raw,noisy,silent,39
cooked,raw,normal,abnormal,39
cooked,raw,organized,unorganized,39
cooked,raw,pale,tanned,39
cooked,raw,rich,poor,39
cooked,raw,sane,crazy,39
cooked,raw,short,tall,39
cooked,raw,simple,difficult,39
cooked,raw,sincere,insincere,39
cooked,raw,slow,fast,39
cooked,raw,sweet,sour,39
cooked,raw,tasty,tasteless,39
cooked,raw,tight,loose,39
cooked,raw,warm,cool,39
cooked,raw,white,black,39
cooked,raw,wide,narrow,39
cooked,raw,willing,unwilling,39
cooked,raw,young,old,39
dangerous,safe,decisive,hesitating,39
dangerous,safe,dry,wet,39
dangerous,safe,energetic,lethargic,39
dangerous,safe,familiar,unfamiliar,39
dangerous,safe,fat,thin,39
dangerous,safe,full,empty,39
dangerous,safe,gaseous,solid,39
dangerous,safe,generous,stingy,39
dangerous,safe,happy,sad,39
dangerous,safe,hard,soft,39
dangerous,safe,hot,cold,39
dangerous,safe,interesting,uninteresting,39
dangerous,safe,large,small,39
dangerous,safe,long,short,39
dangerous,safe,lumpy,flat,39
dangerous,safe,noisy,silent,39
dangerous,safe,normal,abnormal,39
dangerous,safe,organized,unorganized,39
dangerous,safe,pale,tanned,39
dangerous,safe,rich,poor,39
dangerous,safe,sane,crazy,39
dangerous,safe,short,tall,39
dangerous,safe,simple,difficult,39
dangerous,safe,sincere,insincere,39
dangerous,safe,slow,fast,39
dangerous,safe,sweet,sour,39
dangerous,safe,tasty,tasteless,39
dangerous,safe,tight,loose,39
dangerous,safe,warm,cool,39
dangerous,safe,white,black,39
dangerous,safe,wide,narrow,39
dangerous,safe,willing,unwilling,39
dangerous,safe,young,old,39
decisive,hesitating,dry,wet,39
decisive,hesitating,energetic,lethargic,39
decisive,hesitating,familiar,unfamiliar,39
decisive,hesitating,fat,thin,39
decisive,hesitating,full,empty,39
decisive,hesitating,gaseous,solid,39
decisive,hesitating,generous,stingy,39
decisive,hesitating,happy,sad,39
decisive,hesitating,hard,soft,39
decisive,hesitating,hot,cold,39
decisive,hesitating,interesting,uninteresting,39
decisive,hesitating,large,small,39
decisive,hesitating,long,short,39
decisive,hesitating,lumpy,flat,39
decisive,hesitating,noisy,silent,39
decisive,hesitating,normal,abnormal,39
decisive,hesitating,organized,unorganized,39
decisive,hesitating,pale,tanned,39
decisive,hesitating,rich,poor,39
decisive,hesitating,sane,crazy,39
decisive,hesitating,short,tall,39
decisive,hesitating,simple,difficult,39
decisive,hesitating,sincere,insincere,39
decisive,hesitating,slow,fast,39
decisive,hesitating,sweet,sour,39
decisive,hesitating,tasty,tasteless,39
decisive,hesitating,tight,loose,39
decisive,hesitating,warm,cool,39
decisive,hesitating,white,black,39
decisive,hesitating,wide,narrow,39
decisive,hesitating,willing,unwilling,39
decisive,hesitating,young,old,39
dry,wet,energetic,lethargic,39
dry,wet,familiar,unfamiliar,39
dry,wet,fat,thin,39
dry,wet,full,empty,39
dry,wet,gaseous,solid,39
dry,wet,generous,stingy,39
dry,wet,happy,sad,39
dry,wet,hard,soft,39
dry,wet,hot,cold,39
dry,wet,interesting,uninteresting,39
dry,wet,large,small,39
dry,wet,long,short,39
dry,wet,lumpy,flat,39
dry,wet,noisy,silent,39
dry,wet,normal,abnormal,39
dry,wet,organized,unorganized,39
dry,wet,pale,tanned,39
dry,wet,rich,poor,39
dry,wet,sane,crazy,39
dry,wet,short,tall,39
dry,wet,simple,difficult,39
dry,wet,sincere,insincere,39
dry,wet,slow,fast,39
dry,wet,sweet,sour,39
dry,wet,tasty,tasteless,39
dry,wet,tight,loose,39
dry,wet,warm,cool,39
dry,wet,white,black,39
dry,wet,wide,narrow,39
dry,wet,willing,unwilling,39
dry,wet,young,old,39
energetic,lethargic,familiar,unfamiliar,39
energetic,lethargic,fat,thin,39
energetic,lethargic,full,empty,39
energetic,lethargic,gaseous,solid,39
energetic,lethargic,generous,stingy,39
energetic,lethargic,happy,sad,39
energetic,lethargic,hard,soft,39
energetic,lethargic,hot,cold,39
energetic,lethargic,interesting,uninteresting,39
energetic,lethargic,large,small,39
energetic,lethargic,long,short,39
energetic,lethargic,lumpy,flat,39
energetic,lethargic,noisy,silent,39
energetic,lethargic,normal,abnormal,39
energetic,lethargic,organized,unorganized,39
energetic,lethargic,pale,tanned,39
energetic,lethargic,rich,poor,39
energetic,lethargic,sane,crazy,39
energetic,lethargic,short,tall,39
energetic,lethargic,simple,difficult,39
energetic,lethargic,sincere,insincere,39
energetic,lethargic,slow,fast,39
energetic,lethargic,sweet,sour,39
energetic,lethargic,tasty,tasteless,39
energetic,lethargic,tight,loose,39
energetic,lethargic,warm,cool,39
energetic,lethargic,white,black,39
energetic,lethargic,wide,narrow,39
energetic,lethargic,willing,unwilling,39
energetic,lethargic,young,old,39
familiar,unfamiliar,fat,thin,39
familiar,unfamiliar,full,empty,39
familiar,unfamiliar,gaseous,solid,39
familiar,unfamiliar,generous,stingy,39
familiar,unfamiliar,happy,sad,39
familiar,unfamiliar,hard,soft,39
familiar,unfamiliar,hot,cold,39
familiar,unfamiliar,interesting,uninteresting,39
familiar,unfamiliar,large,small,39
familiar,unfamiliar,long,short,39
familiar,unfamiliar,lumpy,flat,39
familiar,unfamiliar,noisy,silent,39
familiar,unfamiliar,normal,abnormal,39
familiar,unfamiliar,organized,unorganized,39
familiar,unfamiliar,pale,tanned,39
familiar,unfamiliar,rich,poor,39
familiar,unfamiliar,sane,crazy,39
familiar,unfamiliar,short,tall,39
familiar,unfamiliar,simple,difficult,39
familiar,unfamiliar,sincere,insincere,39
familiar,unfamiliar,slow,fast,39
familiar,unfamiliar,sweet,sour,39
familiar,unfamiliar,tasty,tasteless,39
familiar,unfamiliar,tight,loose,39
familiar,unfamiliar,warm,cool,39
familiar,unfamiliar,white,black,39
familiar,unfamiliar,wide,narrow,39
familiar,unfamiliar,willing,unwilling,39
familiar,unfamiliar,young,old,39
fat,thin,full,empty,39
fat,thin,gaseous,solid,39
fat,thin,generous,stingy,39
fat,thin,happy,sad,39
fat,thin,hard,soft,39
fat,thin,hot,cold,39
fat,thin,interesting,uninteresting,39
fat,thin,large,small,39
fat,thin,long,short,39
fat,thin,lumpy,flat,39
fat,thin,noisy,silent,39
fat,thin,normal,abnormal,39
fat,thin,organized,unorganized,39
fat,thin,pale,tanned,39
fat,thin,rich,poor,39
fat,thin,sane,crazy,39
fat,thin,short,tall,39
fat,thin,simple,difficult,39
fat,thin,sincere,insincere,39
fat,thin,slow,fast,39
fat,thin,sweet,sour,39
fat,thin,tasty,tasteless,39
fat,thin,tight,loose,39
fat,thin,warm,cool,39
fat,thin,white,black,39
fat,thin,wide,narrow,39
fat,thin,willing,unwilling,39
fat,thin,young,old,39
full,empty,gaseous,solid,39
full,empty,generous,stingy,39
full,empty,happy,sad,39
full,empty,hard,soft,39
full,empty,hot,cold,39
full,empty,interesting,uninteresting,39
full,empty,large,small,39
full,empty,long,short,39
full,empty,lumpy,flat,39
full,empty,noisy,silent,39
full,empty,normal,abnormal,39
full,empty,organized,unorganized,39
full,empty,pale,tanned,39
full,empty,rich,poor,39
full,empty,sane,crazy,39
full,empty,short,tall,39
full,empty,simple,difficult,39
full,empty,sincere,insincere,39
full,empty,slow,fast,39
full,empty,sweet,sour,39
full,empty,tasty,tasteless,39
full,empty,tight,loose,39
full,empty,warm,cool,39
full,empty,white,black,39
full,empty,wide,narrow,39
full,empty,willing,unwilling,39
full,empty,young,old,39
gaseous,solid,generous,stingy,39
gaseous,solid,happy,sad,39
gaseous,solid,hard,soft,39
gaseous,solid,hot,cold,39
gaseous,solid,interesting,uninteresting,39
gaseous,solid,large,small,39
gaseous,solid,long,short,39
gaseous,solid,lumpy,flat,39
gaseous,solid,noisy,silent,39
gaseous,solid,normal,abnormal,39
gaseous,solid,organized,unorganized,39
gaseous,solid,pale,tanned,39
gaseous,solid,rich,poor,39
gaseous,solid,sane,crazy,39
gaseous,solid,short,tall,39
gaseous,solid,simple,difficult,39
gaseous,solid,sincere,insincere,39
gaseous,solid,slow,fast,39
gaseous,solid,sweet,sour,39
gaseous,solid,tasty,tasteless,39
gaseous,solid,tight,loose,39
gaseous,solid,warm,cool,39
gaseous,solid,white,black,39
gaseous,solid,wide,narrow,39
gaseous,solid,willing,unwilling,39
gaseous,solid,young,old,39
generous,stingy,happy,sad,39
generous,stingy,hard,soft,39
generous,stingy,hot,cold,39
generous,stingy,interesting,uninteresting,39
generous,stingy,large,small,39
generous,stingy,long,short,39
generous,stingy,lumpy,flat,39
generous,stingy,noisy,silent,39
generous,stingy,normal,abnormal,39
generous,stingy,organized,unorganized,39
generous,stingy,pale,tanned,39
generous,stingy,rich,poor,39
generous,stingy,sane,crazy,39
generous,stingy,short,tall,39
generous,stingy,simple,difficult,39
generous,stingy,sincere,insincere,39
generous,stingy,slow,fast,39
generous,stingy,sweet,sour,39
generous,stingy,tasty,tasteless,39
generous,stingy,tight,loose,39
generous,stingy,warm,cool,39
generous,stingy,white,black,39
generous,stingy,wide,narrow,39
generous,stingy,willing,unwilling,39
generous,stingy,young,old,39
happy,sad,hard,soft,39
happy,sad,hot,cold,39
