angry,angrier,cheap,cheaper,3
costly,costlier,proud,prouder,3
costly,costlier,pure,purer,3
costly,costlier,risky,riskier,3
costly,costlier,rocky,rockier,3
costly,costlier,rude,ruder,3
costly,costlier,sad,sadder,3
costly,costlier,scary,scarier,3
costly,costlier,sexy,sexier,3
costly,costlier,sticky,stickier,3
costly,costlier,strict,stricter,3
costly,costlier,strong,stronger,3
costly,costlier,subtle,subtler,3
costly,costlier,sunny,sunnier,3
costly,costlier,tasty,tastier,3
costly,costlier,tiny,tinier,3
costly,costlier,tricky,trickier,3
costly,costlier,ugly,uglier,3
costly,costlier,vague,vaguer,3
costly,costlier,vast,vaster,3
costly,costlier,weak,weaker,3
costly,costlier,wealthy,wealthier,3
costly,costlier,weird,weirder,3
cute,cuter,dense,denser,3
cute,cuter,dumb,dumber,3
cute,cuter,fierce,fiercer,3
cute,cuter,handy,handier,3
cute,cuter,happy,happier,3
cute,cuter,hardy,hardier,3
cute,cuter,harsh,harsher,3
cute,cuter,healthy,healthier,3
cute,cuter,hot,hotter,3
cute,cuter,huge,huger,3
cute,cuter,hungry,hungrier,3
cute,cuter,lazy,lazier,3
cute,cuter,lengthy,lengthier,3
cute,cuter,lucky,luckier,3
cute,cuter,mad,madder,3
cute,cuter,merry,merrier,3
cute,cuter,mild,milder,3
cute,cuter,moist,moister,3
cute,cuter,nasty,nastier,3
cute,cuter,neat,neater,3
cute,cuter,nice,nicer,3
cute,cuter,noisy,noisier,3
cute,cuter,proud,prouder,3
cute,cuter,pure,purer,3
cute,cuter,risky,riskier,3
cute,cuter,rocky,rockier,3
cute,cuter,rude,ruder,3
cute,cuter,sad,sadder,3
cute,cuter,scary,scarier,3
cute,cuter,sexy,sexier,3
cute,cuter,sticky,stickier,3
cute,cuter,strict,stricter,3
cute,cuter,strong,stronger,3
cute,cuter,subtle,subtler,3
cute,cuter,sunny,sunnier,3
cute,cuter,tasty,tastier,3
cute,cuter,tiny,tinier,3
cute,cuter,tricky,trickier,3
cute,cuter,ugly,uglier,3
cute,cuter,vague,vaguer,3
cute,cuter,vast,vaster,3
cute,cuter,weak,weaker,3
cute,cuter,wealthy,wealthier,3
cute,cuter,weird,weirder,3
dense,denser,dumb,dumber,3
dense,denser,fierce,fiercer,3
dense,denser,handy,handier,3
dense,denser,happy,happier,3
dense,denser,hardy,hardier,3
dense,denser,harsh,harsher,3
dense,denser,healthy,healthier,3
dense,denser,hot,hotter,3
dense,denser,huge,huger,3
dense,denser,hungry,hungrier,3
dense,denser,lazy,lazier,3
dense,denser,lengthy,lengthier,3
dense,denser,lucky,luckier,3
dense,denser,mad,madder,3
dense,denser,merry,merrier,3
dense,denser,mild,milder,3
dense,denser,moist,moister,3
dense,denser,nasty,nastier,3
dense,denser,neat,neater,3
dense,denser,nice,nicer,3
dense,denser,noisy,noisier,3
dense,denser,proud,prouder,3
dense,denser,pure,purer,3
dense,denser,risky,riskier,3
dense,denser,rocky,rockier,3
dense,denser,rude,ruder,3
dense,denser,sad,sadder,3
dense,denser,scary,scarier,3
dense,denser,sexy,sexier,3
dense,denser,sticky,stickier,3
dense,denser,strict,stricter,3
dense,denser,strong,stronger,3
dense,denser,subtle,subtler,3
dense,denser,sunny,sunnier,3
dense,denser,tasty,tastier,3
dense,denser,tiny,tinier,3
dense,denser,tricky,trickier,3
dense,denser,ugly,uglier,3
dense,denser,vague,vaguer,3
dense,denser,vast,vaster,3
dense,denser,weak,weaker,3
dense,denser,wealthy,wealthier,3
dense,denser,weird,weirder,3
dumb,dumber,fierce,fiercer,3
dumb,dumber,handy,handier,3
dumb,dumber,happy,happier,3
dumb,dumber,hardy,hardier,3
dumb,dumber,harsh,harsher,3
dumb,dumber,healthy,healthier,3
dumb,dumber,hot,hotter,3
dumb,dumber,huge,huger,3
dumb,dumber,hungry,hungrier,3
dumb,dumber,lazy,lazier,3
dumb,dumber,lengthy,lengthier,3
dumb,dumber,lucky,luckier,3
dumb,dumber,mad,madder,3
dumb,dumber,merry,merrier,3
dumb,dumber,mild,milder,3
dumb,dumber,moist,moister,3
dumb,dumber,nasty,nastier,3
dumb,dumber,neat,neater,3
dumb,dumber,nice,nicer,3
dumb,dumber,noisy,noisier,3
dumb,dumber,proud,prouder,3
dumb,dumber,pure,purer,3
dumb,dumber,risky,riskier,3
dumb,dumber,rocky,rockier,3
dumb,dumber,rude,ruder,3
dumb,dumber,sad,sadder,3
dumb,dumber,scary,scarier,3
dumb,dumber,sexy,sexier,3
dumb,dumber,sticky,stickier,3
dumb,dumber,strict,stricter,3
dumb,dumber,strong,stronger,3
dumb,dumber,subtle,subtler,3
dumb,dumber,sunny,sunnier,3
dumb,dumber,tasty,tastier,3
dumb,dumber,tiny,tinier,3
dumb,dumber,tricky,trickier,3
dumb,dumber,ugly,uglier,3
dumb,dumber,vague,vaguer,3
dumb,dumber,vast,vaster,3
dumb,dumber,weak,weaker,3
dumb,dumber,wealthy,wealthier,3
dumb,dumber,weird,weirder,3
fierce,fiercer,handy,handier,3
fierce,fiercer,happy,happier,3
fierce,fiercer,hardy,hardier,3
fierce,fiercer,harsh,harsher,3
fierce,fiercer,healthy,healthier,3
fierce,fiercer,hot,hotter,3
fierce,fiercer,huge,huger,3
fierce,fiercer,hungry,hungrier,3
fierce,fiercer,lazy,lazier,3
fierce,fiercer,lengthy,lengthier,3
fierce,fiercer,lucky,luckier,3
fierce,fiercer,mad,madder,3
fierce,fiercer,merry,merrier,3
fierce,fiercer,mild,milder,3
fierce,fiercer,moist,moister,3
fierce,fiercer,nasty,nastier,3
fierce,fiercer,neat,neater,3
fierce,fiercer,nice,nicer,3
fierce,fiercer,noisy,noisier,3
fierce,fiercer,proud,prouder,3
fierce,fiercer,pure,purer,3
fierce,fiercer,risky,riskier,3
fierce,fiercer,rocky,rockier,3
fierce,fiercer,rude,ruder,3
fierce,fiercer,sad,sadder,3
fierce,fiercer,scary,scarier,3
fierce,fiercer,sexy,sexier,3
fierce,fiercer,sticky,stickier,3
fierce,fiercer,strict,stricter,3
fierce,fiercer,strong,stronger,3
fierce,fiercer,subtle,subtler,3
fierce,fiercer,sunny,sunnier,3
fierce,fiercer,tasty,tastier,3
fierce,fiercer,tiny,tinier,3
fierce,fiercer,tricky,trickier,3
fierce,fiercer,ugly,uglier,3
fierce,fiercer,vague,vaguer,3
fierce,fiercer,vast,vaster,3
fierce,fiercer,weak,weaker,3
fierce,fiercer,wealthy,wealthier,3
fierce,fiercer,weird,weirder,3
handy,handier,happy,happier,3
handy,handier,hardy,hardier,3
handy,handier,harsh,harsher,3
handy,handier,healthy,healthier,3
handy,handier,hot,hotter,3
handy,handier,huge,huger,3
handy,handier,hungry,hungrier,3
handy,handier,lazy,lazier,3
handy,handier,lengthy,lengthier,3
handy,handier,lucky,luckier,3
handy,handier,mad,madder,3
handy,handier,merry,merrier,3
handy,handier,mild,milder,3
handy,handier,moist,moister,3
handy,handier,nasty,nastier,3
handy,handier,neat,neater,3
handy,handier,nice,nicer,3
handy,handier,noisy,noisier,3
handy,handier,proud,prouder,3
handy,handier,pure,purer,3
handy,handier,risky,riskier,3
handy,handier,rocky,rockier,3
handy,handier,rude,ruder,3
handy,handier,sad,sadder,3
handy,handier,scary,scarier,3
handy,handier,sexy,sexier,3
handy,handier,sticky,stickier,3
handy,handier,strict,stricter,3
handy,handier,strong,stronger,3
handy,handier,subtle,subtler,3
handy,handier,sunny,sunnier,3
handy,handier,tasty,tastier,3
handy,handier,tiny,tinier,3
handy,handier,tricky,trickier,3
handy,handier,ugly,uglier,3
handy,handier,vague,vaguer,3
handy,handier,vast,vaster,3
handy,handier,weak,weaker,3
handy,handier,wealthy,wealthier,3
handy,handier,weird,weirder,3
happy,happier,hardy,hardier,3
happy,happier,harsh,harsher,3
happy,happier,healthy,healthier,3
happy,happier,hot,hotter,3
happy,happier,huge,huger,3
happy,happier,hungry,hungrier,3
happy,happier,lazy,lazier,3
happy,happier,lengthy,lengthier,3
happy,happier,lucky,luckier,3
happy,happier,mad,madder,3
happy,happier,merry,merrier,3
happy,happier,mild,milder,3
happy,happier,moist,moister,3
happy,happier,nasty,nastier,3
happy,happier,neat,neater,3
happy,happier,nice,nicer,3
happy,happier,noisy,noisier,3
happy,happier,proud,prouder,3
happy,happier,pure,purer,3
happy,happier,risky,riskier,3
happy,happier,rocky,rockier,3
happy,happier,rude,ruder,3
happy,happier,sad,sadder,3
happy,happier,scary,scarier,3
happy,happier,sexy,sexier,3
happy,happier,sticky,stickier,3
happy,happier,strict,stricter,3
happy,happier,strong,stronger,3
happy,happier,subtle,subtler,3
happy,happier,sunny,sunnier,3
happy,happier,tasty,tastier,3
happy,happier,tiny,tinier,3
happy,happier,tricky,trickier,3
happy,happier,ugly,uglier,3
happy,happier,vague,vaguer,3
happy,happier,vast,vaster,3
happy,happier,weak,weaker,3
happy,happier,wealthy,wealthier,3
happy,happier,weird,weirder,3
hardy,hardier,harsh,harsher,3
hardy,hardier,healthy,healthier,3
hardy,hardier,hot,hotter,3
hardy,hardier,huge,huger,3
hardy,hardier,hungry,hungrier,3
hardy,hardier,lazy,lazier,3
hardy,hardier,lengthy,lengthier,3
hardy,hardier,lucky,luckier,3
hardy,hardier,mad,madder,3
hardy,hardier,merry,merrier,3
hardy,hardier,mild,milder,3
hardy,hardier,moist,moister,3
hardy,hardier,nasty,nastier,3
hardy,hardier,neat,neater,3
hardy,hardier,nice,nicer,3
hardy,hardier,noisy,noisier,3
hardy,hardier,proud,prouder,3
hardy,hardier,pure,purer,3
hardy,hardier,risky,riskier,3
hardy,hardier,rocky,rockier,3
hardy,hardier,rude,ruder,3
hardy,hardier,sad,sadder,3
hardy,hardier,scary,scarier,3
hardy,hardier,sexy,sexier,3
hardy,hardier,sticky,stickier,3
hardy,hardier,strict,stricter,3
hardy,hardier,strong,stronger,3
hardy,hardier,subtle,subtler,3
hardy,hardier,sunny,sunnier,3
hardy,hardier,tasty,tastier,3
hardy,hardier,tiny,tinier,3
hardy,hardier,tricky,trickier,3
hardy,hardier,ugly,uglier,3
hardy,hardier,vague,vaguer,3
hardy,hardier,vast,vaster,3
hardy,hardier,weak,weaker,3
hardy,hardier,wealthy,wealthier,3
hardy,hardier,weird,weirder,3
harsh,harsher,healthy,healthier,3
harsh,harsher,hot,hotter,3
harsh,harsher,huge,huger,3
harsh,harsher,hungry,hungrier,3
harsh,harsher,lazy,lazier,3
harsh,harsher,lengthy,lengthier,3
harsh,harsher,lucky,luckier,3
harsh,harsher,mad,madder,3
harsh,harsher,merry,merrier,3
harsh,harsher,mild,milder,3
harsh,harsher,moist,moister,3
harsh,harsher,nasty,nastier,3
harsh,harsher,neat,neater,3
harsh,harsher,nice,nicer,3
harsh,harsher,noisy,noisier,3
harsh,harsher,proud,prouder,3
harsh,harsher,pure,purer,3
harsh,harsher,risky,riskier,3
harsh,harsher,rocky,rockier,3
harsh,harsher,rude,ruder,3
harsh,harsher,sad,sadder,3
harsh,harsher,scary,scarier,3
harsh,harsher,sexy,sexier,3
harsh,harsher,sticky,stickier,3
harsh,harsher,strict,stricter,3
harsh,harsher,strong,stronger,3
harsh,harsher,subtle,subtler,3
harsh,harsher,sunny,sunnier,3
harsh,harsher,tasty,tastier,3
harsh,harsher,tiny,tinier,3
harsh,harsher,tricky,trickier,3
harsh,harsher,ugly,uglier,3
harsh,harsher,vague,vaguer,3
harsh,harsher,vast,vaster,3
harsh,harsher,weak,weaker,3
harsh,harsher,wealthy,wealthier,3
harsh,harsher,weird,weirder,3
healthy,healthier,hot,hotter,3
healthy,healthier,huge,huger,3
healthy,healthier,hungry,hungrier,3
healthy,healthier,lazy,lazier,3
healthy,healthier,lengthy,lengthier,3
healthy,healthier,lucky,luckier,3
healthy,healthier,mad,madder,3
healthy,healthier,merry,merrier,3
healthy,healthier,mild,milder,3
healthy,healthier,moist,moister,3
healthy,healthier,nasty,nastier,3
healthy,healthier,neat,neater,3
healthy,healthier,nice,nicer,3
healthy,healthier,noisy,noisier,3
healthy,healthier,proud,prouder,3
healthy,healthier,pure,purer,3
healthy,healthier,risky,riskier,3
healthy,healthier,rocky,rockier,3
healthy,healthier,rude,ruder,3
healthy,healthier,sad,sadder,3
healthy,healthier,scary,scarier,3
healthy,healthier,sexy,sexier,3
healthy,healthier,sticky,stickier,3
healthy,healthier,strict,stricter,3
healthy,healthier,strong,stronger,3
healthy,healthier,subtle,subtler,3
healthy,healthier,sunny,sunnier,3
healthy,healthier,tasty,tastier,3
healthy,healthier,tiny,tinier,3
healthy,healthier,tricky,trickier,3
healthy,healthier,ugly,uglier,3
healthy,healthier,vague,vaguer,3
healthy,healthier,vast,vaster,3
healthy,healthier,weak,weaker,3
healthy,healthier,wealthy,wealthier,3
healthy,healthier,weird,weirder,3
hot,hotter,huge,huger,3
hot,hotter,hungry,hungrier,3
hot,hotter,lazy,lazier,3
hot,hotter,lengthy,lengthier,3
hot,hotter,lucky,luckier,3
hot,hotter,mad,madder,3
hot,hotter,merry,merrier,3
hot,hotter,mild,milder,3
hot,hotter,moist,moister,3
hot,hotter,nasty,nastier,3
hot,hotter,neat,neater,3
hot,hotter,nice,nicer,3
hot,hotter,noisy,noisier,3
hot,hotter,proud,prouder,3
hot,hotter,pure,purer,3
hot,hotter,risky,riskier,3
hot,hotter,rocky,rockier,3
hot,hotter,rude,ruder,3
hot,hotter,sad,sadder,3
hot,hotter,scary,scarier,3
hot,hotter,sexy,sexier,3
hot,hotter,sticky,stickier,3
hot,hotter,strict,stricter,3
hot,hotter,strong,stronger,3
hot,hotter,subtle,subtler,3
hot,hotter,sunny,sunnier,3
hot,hotter,tasty,tastier,3
hot,hotter,tiny,tinier,3
hot,hotter,tricky,trickier,3
hot,hotter,ugly,uglier,3
hot,hotter,vague,vaguer,3
hot,hotter,vast,vaster,3
hot,hotter,weak,weaker,3
hot,hotter,wealthy,wealthier,3
hot,hotter,weird,weirder,3
huge,huger,hungry,hungrier,3
huge,huger,lazy,lazier,3
huge,huger,lengthy,lengthier,3
huge,huger,lucky,luckier,3
huge,huger,mad,madder,3
huge,huger,merry,merrier,3
huge,huger,mild,milder,3
huge,huger,moist,moister,3
huge,huger,nasty,nastier,3
huge,huger,neat,neater,3
huge,huger,nice,nicer,3
huge,huger,noisy,noisier,3
huge,huger,proud,prouder,3
huge,huger,pure,purer,3
huge,huger,risky,riskier,3
huge,huger,rocky,rockier,3
huge,huger,rude,ruder,3
huge,huger,sad,sadder,3
huge,huger,scary,scarier,3
huge,huger,sexy,sexier,3
huge,huger,sticky,stickier,3
huge,huger,strict,stricter,3
huge,huger,strong,stronger,3
huge,huger,subtle,subtler,3
huge,huger,sunny,sunnier,3
huge,huger,tasty,tastier,3
huge,huger,tiny,tinier,3
huge,huger,tricky,trickier,3
huge,huger,ugly,uglier,3
huge,huger,vague,vaguer,3
huge,huger,vast,vaster,3
huge,huger,weak,weaker,3
huge,huger,wealthy,wealthier,3
huge,huger,weird,weirder,3
hungry,hungrier,lazy,lazier,3
hungry,hungrier,lengthy,lengthier,3
hungry,hungrier,lucky,luckier,3
hungry,hungrier,mad,madder,3
hungry,hungrier,merry,merrier,3
hungry,hungrier,mild,milder,3
hungry,hungrier,moist,moister,3
hungry,hungrier,nasty,nastier,3
hungry,hungrier,neat,neater,3
hungry,hungrier,nice,nicer,3
hungry,hungrier,noisy,noisier,3
hungry,hungrier,proud,prouder,3
hungry,hungrier,pure,purer,3
hungry,hungrier,risky,riskier,3
hungry,hungrier,rocky,rockier,3
hungry,hungrier,rude,ruder,3
hungry,hungrier,sad,sadder,3
hungry,hungrier,scary,scarier,3
hungry,hungrier,sexy,sexier,3
hungry,hungrier,sticky,stickier,3
hungry,hungrier,strict,stricter,3
hungry,hungrier,strong,stronger,3
hungry,hungrier,subtle,subtler,3
hungry,hungrier,sunny,sunnier,3
hungry,hungrier,tasty,tastier,3
hungry,hungrier,tiny,tinier,3
hungry,hungrier,tricky,trickier,3
hungry,hungrier,ugly,uglier,3
hungry,hungrier,vague,vaguer,3
hungry,hungrier,vast,vaster,3
hungry,hungrier,weak,weaker,3
hungry,hungrier,wealthy,wealthier,3
hungry,hungrier,weird,weirder,3
lazy,lazier,lengthy,lengthier,3
lazy,lazier,lucky,luckier,3
lazy,lazier,mad,madder,3
lazy,lazier,merry,merrier,3
lazy,lazier,mild,milder,3
lazy,lazier,moist,moister,3
lazy,lazier,nasty,nastier,3
lazy,lazier,neat,neater,3
lazy,lazier,nice,nicer,3
lazy,lazier,noisy,noisier,3
lazy,lazier,proud,prouder,3
lazy,lazier,pure,purer,3
lazy,lazier,risky,riskier,3
lazy,lazier,rocky,rockier,3
lazy,lazier,rude,ruder,3
lazy,lazier,sad,sadder,3
lazy,lazier,scary,scarier,3
lazy,lazier,sexy,sexier,3
lazy,lazier,sticky,stickier,3
lazy,lazier,strict,stricter,3
lazy,lazier,strong,stronger,3
lazy,lazier,subtle,subtler,3
lazy,lazier,sunny,sunnier,3
lazy,lazier,tasty,tastier,3
lazy,lazier,tiny,tinier,3
lazy,lazier,tricky,trickier,3
lazy,lazier,ugly,uglier,3
lazy,lazier,vague,vaguer,3
lazy,lazier,vast,vaster,3
lazy,lazier,weak,weaker,3
lazy,lazier,wealthy,wealthier,3
lazy,lazier,weird,weirder,3
lengthy,lengthier,lucky,luckier,3
lengthy,lengthier,mad,madder,3
lengthy,lengthier,merry,merrier,3
lengthy,lengthier,mild,milder,3
lengthy,lengthier,moist,moister,3
lengthy,lengthier,nasty,nastier,3
lengthy,lengthier,neat,neater,3
lengthy,lengthier,nice,nicer,3
lengthy,lengthier,noisy,noisier,3
lengthy,lengthier,proud,prouder,3
lengthy,lengthier,pure,purer,3
lengthy,lengthier,risky,riskier,3
lengthy,lengthier,rocky,rockier,3
lengthy,lengthier,rude,ruder,3
lengthy,lengthier,sad,sadder,3
lengthy,lengthier,scary,scarier,3
lengthy,lengthier,sexy,sexier,3
lengthy,lengthier,sticky,stickier,3
lengthy,lengthier,strict,stricter,3
lengthy,lengthier,strong,stronger,3
lengthy,lengthier,subtle,subtler,3
lengthy,lengthier,sunny,sunnier,3
lengthy,lengthier,tasty,tastier,3
lengthy,lengthier,tiny,tinier,3
lengthy,lengthier,tricky,trickier,3
lengthy,lengthier,ugly,uglier,3
lengthy,lengthier,vague,vaguer,3
lengthy,lengthier,vast,vaster,3
lengthy,lengthier,weak,weaker,3
lengthy,lengthier,wealthy,wealthier,3
lengthy,lengthier,weird,weirder,3
lucky,luckier,mad,madder,3
lucky,luckier,merry,merrier,3
lucky,luckier,mild,milder,3
lucky,luckier,moist,moister,3
lucky,luckier,nasty,nastier,3
lucky,luckier,neat,neater,3
lucky,luckier,nice,nicer,3
lucky,luckier,noisy,noisier,3
lucky,luckier,proud,prouder,3
lucky,luckier,pure,purer,3
lucky,luckier,risky,riskier,3
lucky,luckier,rocky,rockier,3
lucky,luckier,rude,ruder,3
lucky,luckier,sad,sadder,3
lucky,luckier,scary,scarier,3
lucky,luckier,sexy,sexier,3
lucky,luckier,sticky,stickier,3
lucky,luckier,strict,stricter,3
lucky,luckier,strong,stronger,3
lucky,luckier,subtle,subtler,3
lucky,luckier,sunny,sunnier,3
lucky,luckier,tasty,tastier,3
lucky,luckier,tiny,tinier,3
lucky,luckier,tricky,trickier,3
lucky,luckier,ugly,uglier,3
lucky,luckier,vague,vaguer,3
lucky,luckier,vast,vaster,3
lucky,luckier,weak,weaker,3
lucky,luckier,wealthy,wealthier,3
lucky,luckier,weird,weirder,3
mad,madder,merry,merrier,3
mad,madder,mild,milder,3
mad,madder,moist,moister,3
mad,madder,nasty,nastier,3
mad,madder,neat,neater,3
mad,madder,nice,nicer,3
mad,madder,noisy,noisier,3
mad,madder,proud,prouder,3
mad,madder,pure,purer,3
mad,madder,risky,riskier,3
mad,madder,rocky,rockier,3
mad,madder,rude,ruder,3
mad,madder,sad,sadder,3
mad,madder,scary,scarier,3
mad,madder,sexy,sexier,3
mad,madder,sticky,stickier,3
mad,madder,strict,stricter,3
mad,madder,strong,stronger,3
mad,madder,subtle,subtler,3
mad,madder,sunny,sunnier,3
mad,madder,tasty,tastier,3
mad,madder,tiny,tinier,3
mad,madder,tricky,trickier,3
mad,madder,ugly,uglier,3
mad,madder,vague,vaguer,3
mad,madder,vast,vaster,3
mad,madder,weak,weaker,3
mad,madder,wealthy,wealthier,3
mad,madder,weird,weirder,3
merry,merrier,mild,milder,3
merry,merrier,moist,moister,3
