adding,added,agreeing,agreed,9
agreeing,agreed,locating,located,9
agreeing,agreed,losing,lost,9
agreeing,agreed,managing,managed,9
agreeing,agreed,marrying,married,9
agreeing,agreed,operating,operated,9
agreeing,agreed,performing,performed,9
agreeing,agreed,proposing,proposed,9
agreeing,agreed,providing,provided,9
agreeing,agreed,publishing,published,9
agreeing,agreed,receiving,received,9
agreeing,agreed,reducing,reduced,9
agreeing,agreed,relating,related,9
agreeing,agreed,remaining,remained,9
agreeing,agreed,replacing,replaced,9
agreeing,agreed,representing,represented,9
agreeing,agreed,requiring,required,9
agreeing,agreed,sending,sent,9
agreeing,agreed,spending,spent,9
agreeing,agreed,suffering,suffered,9
agreeing,agreed,teaching,taught,9
agreeing,agreed,telling,told,9
agreeing,agreed,understanding,understood,9
agreeing,agreed,uniting,united,9
allowing,allowed,announcing,announced,9
allowing,allowed,appearing,appeared,9
allowing,allowed,applying,applied,9
allowing,allowed,appointing,appointed,9
allowing,allowed,asking,asked,9
allowing,allowed,attending,attended,9
allowing,allowed,becoming,became,9
allowing,allowed,considering,considered,9
allowing,allowed,containing,contained,9
allowing,allowed,continuing,continued,9
allowing,allowed,creating,created,9
allowing,allowed,deciding,decided,9
allowing,allowed,describing,described,9
allowing,allowed,developing,developed,9
allowing,allowed,establishing,established,9
allowing,allowed,existing,existed,9
allowing,allowed,expecting,expected,9
allowing,allowed,failing,failed,9
allowing,allowed,following,followed,9
allowing,allowed,hearing,heard,9
allowing,allowed,improving,improved,9
allowing,allowed,including,included,9
allowing,allowed,introducing,introduced,9
allowing,allowed,involving,involved,9
allowing,allowed,locating,located,9
allowing,allowed,losing,lost,9
allowing,allowed,managing,managed,9
allowing,allowed,marrying,married,9
allowing,allowed,operating,operated,9
allowing,allowed,performing,performed,9
allowing,allowed,proposing,proposed,9
allowing,allowed,providing,provided,9
allowing,allowed,publishing,published,9
allowing,allowed,receiving,received,9
allowing,allowed,reducing,reduced,9
allowing,allowed,relating,related,9
allowing,allowed,remaining,remained,9
allowing,allowed,replacing,replaced,9
allowing,allowed,representing,represented,9
allowing,allowed,requiring,required,9
allowing,allowed,sending,sent,9
allowing,allowed,spending,spent,9
allowing,allowed,suffering,suffered,9
allowing,allowed,teaching,taught,9
allowing,allowed,telling,told,9
allowing,allowed,understanding,understood,9
allowing,allowed,uniting,united,9
announcing,announced,appearing,appeared,9
announcing,announced,applying,applied,9
announcing,announced,appointing,appointed,9
announcing,announced,asking,asked,9
announcing,announced,attending,attended,9
announcing,announced,becoming,became,9
announcing,announced,considering,considered,9
announcing,announced,containing,contained,9
announcing,announced,continuing,continued,9
announcing,announced,creating,created,9
announcing,announced,deciding,decided,9
announcing,announced,describing,described,9
announcing,announced,developing,developed,9
announcing,announced,establishing,established,9
announcing,announced,existing,existed,9
announcing,announced,expecting,expected,9
announcing,announced,failing,failed,9
announcing,announced,following,followed,9
announcing,announced,hearing,heard,9
announcing,announced,improving,improved,9
announcing,announced,including,included,9
announcing,announced,introducing,introduced,9
announcing,announced,involving,involved,9
announcing,announced,locating,located,9
announcing,announced,losing,lost,9
announcing,announced,managing,managed,9
announcing,announced,marrying,married,9
announcing,announced,operating,operated,9
announcing,announced,performing,performed,9
announcing,announced,proposing,proposed,9
announcing,announced,providing,provided,9
announcing,announced,publishing,published,9
announcing,announced,receiving,received,9
announcing,announced,reducing,reduced,9
announcing,announced,relating,related,9
announcing,announced,remaining,remained,9
announcing,announced,replacing,replaced,9
announcing,announced,representing,represented,9
announcing,announced,requiring,required,9
announcing,announced,sending,sent,9
announcing,announced,spending,spent,9
announcing,announced,suffering,suffered,9
announcing,announced,teaching,taught,9
announcing,announced,telling,told,9
announcing,announced,understanding,understood,9
announcing,announced,uniting,united,9
appearing,appeared,applying,applied,9
appearing,appeared,appointing,appointed,9
appearing,appeared,asking,asked,9
appearing,appeared,attending,attended,9
appearing,appeared,becoming,became,9
appearing,appeared,considering,considered,9
appearing,appeared,containing,contained,9
appearing,appeared,continuing,continued,9
appearing,appeared,creating,created,9
appearing,appeared,deciding,decided,9
appearing,appeared,describing,described,9
appearing,appeared,developing,developed,9
appearing,appeared,establishing,established,9
appearing,appeared,existing,existed,9
appearing,appeared,expecting,expected,9
appearing,appeared,failing,failed,9
appearing,appeared,following,followed,9
appearing,appeared,hearing,heard,9
appearing,appeared,improving,improved,9
appearing,appeared,including,included,9
appearing,appeared,introducing,introduced,9
appearing,appeared,involving,involved,9
appearing,appeared,locating,located,9
appearing,appeared,losing,lost,9
appearing,appeared,managing,managed,9
appearing,appeared,marrying,married,9
appearing,appeared,operating,operated,9
appearing,appeared,performing,performed,9
appearing,appeared,proposing,proposed,9
appearing,appeared,providing,provided,9
appearing,appeared,publishing,published,9
appearing,appeared,receiving,received,9
appearing,appeared,reducing,reduced,9
appearing,appeared,relating,related,9
appearing,appeared,remaining,remained,9
appearing,appeared,replacing,replaced,9
appearing,appeared,representing,represented,9
appearing,appeared,requiring,required,9
appearing,appeared,sending,sent,9
appearing,appeared,spending,spent,9
appearing,appeared,suffering,suffered,9
appearing,appeared,teaching,taught,9
appearing,appeared,telling,told,9
appearing,appeared,understanding,understood,9
appearing,appeared,uniting,united,9
applying,applied,appointing,appointed,9
applying,applied,asking,asked,9
applying,applied,attending,attended,9
applying,applied,becoming,became,9
applying,applied,considering,considered,9
applying,applied,containing,contained,9
applying,applied,continuing,continued,9
applying,applied,creating,created,9
applying,applied,deciding,decided,9
applying,applied,describing,described,9
applying,applied,developing,developed,9
applying,applied,establishing,established,9
applying,applied,existing,existed,9
applying,applied,expecting,expected,9
applying,applied,failing,failed,9
applying,applied,following,followed,9
applying,applied,hearing,heard,9
applying,applied,improving,improved,9
applying,applied,including,included,9
applying,applied,introducing,introduced,9
applying,applied,involving,involved,9
applying,applied,locating,located,9
applying,applied,losing,lost,9
applying,applied,managing,managed,9
applying,applied,marrying,married,9
applying,applied,operating,operated,9
applying,applied,performing,performed,9
applying,applied,proposing,proposed,9
applying,applied,providing,provided,9
applying,applied,publishing,published,9
applying,applied,receiving,received,9
applying,applied,reducing,reduced,9
applying,applied,relating,related,9
applying,applied,remaining,remained,9
applying,applied,replacing,replaced,9
applying,applied,representing,represented,9
applying,applied,requiring,required,9
applying,applied,sending,sent,9
applying,applied,spending,spent,9
applying,applied,suffering,suffered,9
applying,applied,teaching,taught,9
applying,applied,telling,told,9
applying,applied,understanding,understood,9
applying,applied,uniting,united,9
appointing,appointed,asking,asked,9
appointing,appointed,attending,attended,9
appointing,appointed,becoming,became,9
appointing,appointed,considering,considered,9
appointing,appointed,containing,contained,9
appointing,appointed,continuing,continued,9
appointing,appointed,creating,created,9
appointing,appointed,deciding,decided,9
appointing,appointed,describing,described,9
appointing,appointed,developing,developed,9
appointing,appointed,establishing,established,9
appointing,appointed,existing,existed,9
appointing,appointed,expecting,expected,9
appointing,appointed,failing,failed,9
appointing,appointed,following,followed,9
appointing,appointed,hearing,heard,9
appointing,appointed,improving,improved,9
appointing,appointed,including,included,9
appointing,appointed,introducing,introduced,9
appointing,appointed,involving,involved,9
appointing,appointed,locating,located,9
appointing,appointed,losing,lost,9
appointing,appointed,managing,managed,9
appointing,appointed,marrying,married,9
appointing,appointed,operating,operated,9
appointing,appointed,performing,performed,9
appointing,appointed,proposing,proposed,9
appointing,appointed,providing,provided,9
appointing,appointed,publishing,published,9
appointing,appointed,receiving,received,9
appointing,appointed,reducing,reduced,9
appointing,appointed,relating,related,9
appointing,appointed,remaining,remained,9
appointing,appointed,replacing,replaced,9
appointing,appointed,representing,represented,9
appointing,appointed,requiring,required,9
appointing,appointed,sending,sent,9
appointing,appointed,spending,spent,9
appointing,appointed,suffering,suffered,9
appointing,appointed,teaching,taught,9
appointing,appointed,telling,told,9
appointing,appointed,understanding,understood,9
appointing,appointed,uniting,united,9
asking,asked,attending,attended,9
asking,asked,becoming,became,9
asking,asked,considering,considered,9
asking,asked,containing,contained,9
asking,asked,continuing,continued,9
asking,asked,creating,created,9
asking,asked,deciding,decided,9
asking,asked,describing,described,9
asking,asked,developing,developed,9
asking,asked,establishing,established,9
asking,asked,existing,existed,9
asking,asked,expecting,expected,9
asking,asked,failing,failed,9
asking,asked,following,followed,9
asking,asked,hearing,heard,9
asking,asked,improving,improved,9
asking,asked,including,included,9
asking,asked,introducing,introduced,9
asking,asked,involving,involved,9
asking,asked,locating,located,9
asking,asked,losing,lost,9
asking,asked,managing,managed,9
asking,asked,marrying,married,9
asking,asked,operating,operated,9
asking,asked,performing,performed,9
asking,asked,proposing,proposed,9
asking,asked,providing,provided,9
asking,asked,publishing,published,9
asking,asked,receiving,received,9
asking,asked,reducing,reduced,9
asking,asked,relating,related,9
asking,asked,remaining,remained,9
asking,asked,replacing,replaced,9
asking,asked,representing,represented,9
asking,asked,requiring,required,9
asking,asked,sending,sent,9
asking,asked,spending,spent,9
asking,asked,suffering,suffered,9
asking,asked,teaching,taught,9
asking,asked,telling,told,9
asking,asked,understanding,understood,9
asking,asked,uniting,united,9
attending,attended,becoming,became,9
attending,attended,considering,considered,9
attending,attended,containing,contained,9
attending,attended,continuing,continued,9
attending,attended,creating,created,9
attending,attended,deciding,decided,9
attending,attended,describing,described,9
attending,attended,developing,developed,9
attending,attended,establishing,established,9
attending,attended,existing,existed,9
attending,attended,expecting,expected,9
attending,attended,failing,failed,9
attending,attended,following,followed,9
attending,attended,hearing,heard,9
attending,attended,improving,improved,9
attending,attended,including,included,9
attending,attended,introducing,introduced,9
attending,attended,involving,involved,9
attending,attended,locating,located,9
attending,attended,losing,lost,9
attending,attended,managing,managed,9
attending,attended,marrying,married,9
attending,attended,operating,operated,9
attending,attended,performing,performed,9
attending,attended,proposing,proposed,9
attending,attended,providing,provided,9
attending,attended,publishing,published,9
attending,attended,receiving,received,9
attending,attended,reducing,reduced,9
attending,attended,relating,related,9
attending,attended,remaining,remained,9
attending,attended,replacing,replaced,9
attending,attended,representing,represented,9
attending,attended,requiring,required,9
attending,attended,sending,sent,9
attending,attended,spending,spent,9
attending,attended,suffering,suffered,9
attending,attended,teaching,taught,9
attending,attended,telling,told,9
attending,attended,understanding,understood,9
attending,attended,uniting,united,9
becoming,became,considering,considered,9
becoming,became,containing,contained,9
becoming,became,continuing,continued,9
becoming,became,creating,created,9
becoming,became,deciding,decided,9
becoming,became,describing,described,9
becoming,became,developing,developed,9
becoming,became,establishing,established,9
becoming,became,existing,existed,9
becoming,became,expecting,expected,9
becoming,became,failing,failed,9
becoming,became,following,followed,9
becoming,became,hearing,heard,9
becoming,became,improving,improved,9
becoming,became,including,included,9
becoming,became,introducing,introduced,9
becoming,became,involving,involved,9
becoming,became,locating,located,9
becoming,became,losing,lost,9
becoming,became,managing,managed,9
becoming,became,marrying,married,9
becoming,became,operating,operated,9
becoming,became,performing,performed,9
becoming,became,proposing,proposed,9
becoming,became,providing,provided,9
becoming,became,publishing,published,9
becoming,became,receiving,received,9
becoming,became,reducing,reduced,9
becoming,became,relating,related,9
becoming,became,remaining,remained,9
becoming,became,replacing,replaced,9
becoming,became,representing,represented,9
becoming,became,requiring,required,9
becoming,became,sending,sent,9
becoming,became,spending,spent,9
becoming,became,suffering,suffered,9
becoming,became,teaching,taught,9
becoming,became,telling,told,9
becoming,became,understanding,understood,9
becoming,became,uniting,united,9
considering,considered,containing,contained,9
considering,considered,continuing,continued,9
considering,considered,creating,created,9
considering,considered,deciding,decided,9
considering,considered,describing,described,9
considering,considered,developing,developed,9
considering,considered,establishing,established,9
considering,considered,existing,existed,9
considering,considered,expecting,expected,9
considering,considered,failing,failed,9
considering,considered,following,followed,9
considering,considered,hearing,heard,9
considering,considered,improving,improved,9
considering,considered,including,included,9
considering,considered,introducing,introduced,9
considering,considered,involving,involved,9
considering,considered,locating,located,9
considering,considered,losing,lost,9
considering,considered,managing,managed,9
considering,considered,marrying,married,9
considering,considered,operating,operated,9
considering,considered,performing,performed,9
considering,considered,proposing,proposed,9
considering,considered,providing,provided,9
considering,considered,publishing,published,9
considering,considered,receiving,received,9
considering,considered,reducing,reduced,9
considering,considered,relating,related,9
considering,considered,remaining,remained,9
considering,considered,replacing,replaced,9
considering,considered,representing,represented,9
considering,considered,requiring,required,9
considering,considered,sending,sent,9
considering,considered,spending,spent,9
considering,considered,suffering,suffered,9
considering,considered,teaching,taught,9
considering,considered,telling,told,9
considering,considered,understanding,understood,9
considering,considered,uniting,united,9
containing,contained,continuing,continued,9
containing,contained,creating,created,9
containing,contained,deciding,decided,9
containing,contained,describing,described,9
containing,contained,developing,developed,9
containing,contained,establishing,established,9
containing,contained,existing,existed,9
containing,contained,expecting,expected,9
containing,contained,failing,failed,9
containing,contained,following,followed,9
containing,contained,hearing,heard,9
containing,contained,improving,improved,9
containing,contained,including,included,9
containing,contained,introducing,introduced,9
containing,contained,involving,involved,9
containing,contained,locating,located,9
containing,contained,losing,lost,9
containing,contained,managing,managed,9
containing,contained,marrying,married,9
containing,contained,operating,operated,9
containing,contained,performing,performed,9
containing,contained,proposing,proposed,9
containing,contained,providing,provided,9
containing,contained,publishing,published,9
containing,contained,receiving,received,9
containing,contained,reducing,reduced,9
containing,contained,relating,related,9
containing,contained,remaining,remained,9
containing,contained,replacing,replaced,9
containing,contained,representing,represented,9
containing,contained,requiring,required,9
containing,contained,sending,sent,9
containing,contained,spending,spent,9
containing,contained,suffering,suffered,9
containing,contained,teaching,taught,9
containing,contained,telling,told,9
containing,contained,understanding,understood,9
containing,contained,uniting,united,9
continuing,continued,creating,created,9
continuing,continued,deciding,decided,9
continuing,continued,describing,described,9
continuing,continued,developing,developed,9
continuing,continued,establishing,established,9
continuing,continued,existing,existed,9
continuing,continued,expecting,expected,9
continuing,continued,failing,failed,9
continuing,continued,following,followed,9
continuing,continued,hearing,heard,9
continuing,continued,improving,improved,9
continuing,continued,including,included,9
continuing,continued,introducing,introduced,9
continuing,continued,involving,involved,9
continuing,continued,locating,located,9
continuing,continued,losing,lost,9
continuing,continued,managing,managed,9
continuing,continued,marrying,married,9
continuing,continued,operating,operated,9
continuing,continued,performing,performed,9
continuing,continued,proposing,proposed,9
continuing,continued,providing,provided,9
continuing,continued,publishing,published,9
continuing,continued,receiving,received,9
continuing,continued,reducing,reduced,9
continuing,continued,relating,related,9
continuing,continued,remaining,remained,9
continuing,continued,replacing,replaced,9
continuing,continued,representing,represented,9
continuing,continued,requiring,required,9
continuing,continued,sending,sent,9
continuing,continued,spending,spent,9
continuing,continued,suffering,suffered,9
continuing,continued,teaching,taught,9
continuing,continued,telling,told,9
continuing,continued,understanding,understood,9
continuing,continued,uniting,united,9
creating,created,deciding,decided,9
creating,created,describing,described,9
creating,created,developing,developed,9
creating,created,establishing,established,9
creating,created,existing,existed,9
creating,created,expecting,expected,9
creating,created,failing,failed,9
creating,created,following,followed,9
creating,created,hearing,heard,9
creating,created,improving,improved,9
creating,created,including,included,9
creating,created,introducing,introduced,9
creating,created,involving,involved,9
creating,created,locating,located,9
creating,created,losing,lost,9
creating,created,managing,managed,9
creating,created,marrying,married,9
creating,created,operating,operated,9
creating,created,performing,performed,9
creating,created,proposing,proposed,9
creating,created,providing,provided,9
creating,created,publishing,published,9
creating,created,receiving,received,9
creating,created,reducing,reduced,9
creating,created,relating,related,9
creating,created,remaining,remained,9
creating,created,replacing,replaced,9
creating,created,representing,represented,9
creating,created,requiring,required,9
creating,created,sending,sent,9
creating,created,spending,spent,9
creating,created,suffering,suffered,9
creating,created,teaching,taught,9
creating,created,telling,told,9
creating,created,understanding,understood,9
creating,created,uniting,united,9
deciding,decided,describing,described,9
deciding,decided,developing,developed,9
deciding,decided,establishing,established,9
deciding,decided,existing,existed,9
deciding,decided,expecting,expected,9
deciding,decided,failing,failed,9
deciding,decided,following,followed,9
deciding,decided,hearing,heard,9
deciding,decided,improving,improved,9
deciding,decided,including,included,9
deciding,decided,introducing,introduced,9
deciding,decided,involving,involved,9
deciding,decided,locating,located,9
deciding,decided,losing,lost,9
deciding,decided,managing,managed,9
deciding,decided,marrying,married,9
deciding,decided,operating,operated,9
deciding,decided,performing,performed,9
deciding,decided,proposing,proposed,9
deciding,decided,providing,provided,9
deciding,decided,publishing,published,9
deciding,decided,receiving,received,9
deciding,decided,reducing,reduced,9
deciding,decided,relating,related,9
deciding,decided,remaining,remained,9
deciding,decided,replacing,replaced,9
deciding,decided,representing,represented,9
deciding,decided,requiring,required,9
deciding,decided,sending,sent,9
deciding,decided,spending,spent,9
deciding,decided,suffering,suffered,9
deciding,decided,teaching,taught,9
deciding,decided,telling,told,9
deciding,decided,understanding,understood,9
deciding,decided,uniting,united,9
describing,described,developing,developed,9
describing,described,establishing,established,9
describing,described,existing,existed,9
describing,described,expecting,expected,9
describing,described,failing,failed,9
describing,described,following,followed,9
describing,described,hearing,heard,9
describing,described,improving,improved,9
describing,described,including,included,9
describing,described,introducing,introduced,9
describing,described,involving,involved,9
describing,described,locating,located,9
describing,described,losing,lost,9
describing,described,managing,managed,9
describing,described,marrying,married,9
describing,described,operating,operated,9
describing,described,performing,performed,9
describing,described,proposing,proposed,9
describing,described,providing,provided,9
describing,described,publishing,published,9
describing,described,receiving,received,9
describing,described,reducing,reduced,9
describing,described,relating,related,9
describing,described,remaining,remained,9
describing,described,replacing,replaced,9
describing,described,representing,represented,9
describing,described,requiring,required,9
describing,described,sending,sent,9
describing,described,spending,spent,9
describing,described,suffering,suffered,9
describing,described,teaching,taught,9
describing,described,telling,told,9
describing,described,understanding,understood,9
describing,described,uniting,united,9
developing,developed,establishing,established,9
developing,developed,existing,existed,9
developing,developed,expecting,expected,9
developing,developed,failing,failed,9
developing,developed,following,followed,9
developing,developed,hearing,heard,9
developing,developed,improving,improved,9
developing,developed,including,included,9
developing,developed,introducing,introduced,9
developing,developed,involving,involved,9
developing,developed,locating,located,9
developing,developed,losing,lost,9
developing,developed,managing,managed,9
developing,developed,marrying,married,9
developing,developed,operating,operated,9
developing,developed,performing,performed,9
developing,developed,proposing,proposed,9
developing,developed,providing,provided,9
developing,developed,publishing,published,9
developing,developed,receiving,received,9
developing,developed,reducing,reduced,9
developing,developed,relating,related,9
developing,developed,remaining,remained,9
developing,developed,replacing,replaced,9
developing,developed,representing,represented,9
developing,developed,requiring,required,9
developing,developed,sending,sent,9
developing,developed,spending,spent,9
developing,developed,suffering,suffered,9
developing,developed,teaching,taught,9
developing,developed,telling,told,9
developing,developed,understanding,understood,9
developing,developed,uniting,united,9
establishing,established,existing,existed,9
establishing,established,expecting,expected,9
establishing,established,failing,failed,9
establishing,established,following,followed,9
establishing,established,hearing,heard,9
establishing,established,improving,improved,9
establishing,established,including,included,9
establishing,established,introducing,introduced,9
establishing,established,involving,involved,9
establishing,established,locating,located,9
establishing,established,losing,lost,9
establishing,established,managing,managed,9
establishing,established,marrying,married,9
establishing,established,operating,operated,9
establishing,established,performing,performed,9
establishing,established,proposing,proposed,9
establishing,established,providing,provided,9
establishing,established,publishing,published,9
establishing,established,receiving,received,9
establishing,established,reducing,reduced,9
establishing,established,relating,related,9
establishing,established,remaining,remained,9
establishing,established,replacing,replaced,9
establishing,established,representing,represented,9
establishing,established,requiring,required,9
establishing,established,sending,sent,9
establishing,established,spending,spent,9
establishing,established,suffering,suffered,9
establishing,established,teaching,taught,9
establishing,established,telling,told,9
establishing,established,understanding,understood,9
establishing,established,uniting,united,9
existing,existed,expecting,expected,9
existing,existed,failing,failed,9
existing,existed,following,followed,9
existing,existed,hearing,heard,9
existing,existed,improving,improved,9
existing,existed,including,included,9
existing,existed,introducing,introduced,9
existing,existed,involving,involved,9
existing,existed,locating,located,9
existing,existed,losing,lost,9
existing,existed,managing,managed,9
existing,existed,marrying,married,9
existing,existed,operating,operated,9
existing,existed,performing,performed,9
existing,existed,proposing,proposed,9
existing,existed,providing,provided,9
existing,existed,publishing,published,9
existing,existed,receiving,received,9
existing,existed,reducing,reduced,9
existing,existed,relating,related,9
existing,existed,remaining,remained,9
existing,existed,replacing,replaced,9
existing,existed,representing,represented,9
existing,existed,requiring,required,9
existing,existed,sending,sent,9
existing,existed,spending,spent,9
existing,existed,suffering,suffered,9
existing,existed,teaching,taught,9
existing,existed,telling,told,9
existing,existed,understanding,understood,9
existing,existed,uniting,united,9
expecting,expected,failing,failed,9
expecting,expected,following,followed,9
expecting,expected,hearing,heard,9
expecting,expected,improving,improved,9
expecting,expected,including,included,9
expecting,expected,introducing,introduced,9
expecting,expected,involving,involved,9
expecting,expected,locating,located,9
expecting,expected,losing,lost,9
expecting,expected,managing,managed,9
expecting,expected,marrying,married,9
expecting,expected,operating,operated,9
expecting,expected,performing,performed,9
expecting,expected,proposing,proposed,9
expecting,expected,providing,provided,9
expecting,expected,publishing,published,9
expecting,expected,receiving,received,9
expecting,expected,reducing,reduced,9
expecting,expected,relating,related,9
expecting,expected,remaining,remained,9
expecting,expected,replacing,replaced,9
expecting,expected,representing,represented,9
expecting,expected,requiring,required,9
expecting,expected,sending,sent,9
expecting,expected,spending,spent,9
expecting,expected,suffering,suffered,9
expecting,expected,teaching,taught,9
expecting,expected,telling,told,9
expecting,expected,understanding,understood,9
expecting,expected,uniting,united,9
failing,failed,following,followed,9
failing,failed,hearing,heard,9
failing,failed,improving,improved,9
failing,failed,including,included,9
failing,failed,introducing,introduced,9
failing,failed,involving,involved,9
failing,failed,locating,located,9
failing,failed,losing,lost,9
failing,failed,managing,managed,9
failing,failed,marrying,married,9
failing,failed,operating,operated,9
failing,failed,performing,performed,9
failing,failed,proposing,proposed,9
failing,failed,providing,provided,9
failing,failed,publishing,published,9
failing,failed,receiving,received,9
failing,failed,reducing,reduced,9
failing,failed,relating,related,9
failing,failed,remaining,remained,9
failing,failed,replacing,replaced,9
failing,failed,representing,represented,9
failing,failed,requiring,required,9
failing,failed,sending,sent,9
failing,failed,spending,spent,9
failing,failed,suffering,suffered,9
failing,failed,teaching,taught,9
failing,failed,telling,told,9
failing,failed,understanding,understood,9
failing,failed,uniting,united,9
following,followed,hearing,heard,9
following,followed,improving,improved,9
following,followed,including,included,9
following,followed,introducing,introduced,9
following,followed,involving,involved,9
following,followed,locating,located,9
following,followed,losing,lost,9
following,followed,managing,managed,9
following,followed,marrying,married,9
following,followed,operating,operated,9
following,followed,performing,performed,9
following,followed,proposing,proposed,9
following,followed,providing,provided,9
following,followed,publishing,published,9
following,followed,receiving,received,9
following,followed,reducing,reduced,9
following,followed,relating,related,9
following,followed,remaining,remained,9
following,followed,replacing,replaced,9
following,followed,representing,represented,9
following,followed,requiring,required,9
following,followed,sending,sent,9
following,followed,spending,spent,9
following,followed,suffering,suffered,9
following,followed,teaching,taught,9
following,followed,telling,told,9
following,followed,understanding,understood,9
following,followed,uniting,united,9
hearing,heard,improving,improved,9
hearing,heard,including,included,9
hearing,heard,introducing,introduced,9
hearing,heard,involving,involved,9
hearing,heard,locating,located,9
hearing,heard,losing,lost,9
hearing,heard,managing,managed,9
hearing,heard,marrying,married,9
hearing,heard,operating,operated,9
hearing,heard,performing,performed,9
hearing,heard,proposing,proposed,9
hearing,heard,providing,provided,9
hearing,heard,publishing,published,9
hearing,heard,receiving,received,9
hearing,heard,reducing,reduced,9
hearing,heard,relating,related,9
hearing,heard,remaining,remained,9
hearing,heard,replacing,replaced,9
hearing,heard,representing,represented,9
hearing,heard,requiring,required,9
hearing,heard,sending,sent,9
hearing,heard,spending,spent,9
hearing,heard,suffering,suffered,9
hearing,heard,teaching,taught,9
hearing,heard,telling,told,9
hearing,heard,understanding,understood,9
hearing,heard,uniting,united,9
improving,improved,including,included,9
improving,improved,introducing,introduced,9
improving,improved,involving,involved,9
improving,improved,locating,located,9
improving,improved,losing,lost,9
improving,improved,managing,managed,9
improving,improved,marrying,married,9
improving,improved,operating,operated,9
improving,improved,performing,performed,9
improving,improved,proposing,proposed,9
improving,improved,providing,provided,9
improving,improved,publishing,published,9
improving,improved,receiving,received,9
improving,improved,reducing,reduced,9
improving,improved,relating,related,9
improving,improved,remaining,remained,9
improving,improved,replacing,replaced,9
improving,improved,representing,represented,9
improving,improved,requiring,required,9
improving,improved,sending,sent,9
improving,improved,spending,spent,9
improving,improved,suffering,suffered,9
improving,improved,teaching,taught,9
improving,improved,telling,told,9
improving,improved,understanding,understood,9
improving,improved,uniting,united,9
including,included,introducing,introduced,9
including,included,involving,involved,9
including,included,locating,located,9
including,included,losing,lost,9
including,included,managing,managed,9
including,included,marrying,married,9
including,included,operating,operated,9
including,included,performing,performed,9
including,included,proposing,proposed,9
including,included,providing,provided,9
including,included,publishing,published,9
including,included,receiving,received,9
including,included,reducing,reduced,9
including,included,relating,related,9
including,included,remaining,remained,9
including,included,replacing,replaced,9
including,included,representing,represented,9
including,included,requiring,required,9
including,included,sending,sent,9
including,included,spending,spent,9
including,included,suffering,suffered,9
including,included,teaching,taught,9
including,included,telling,told,9
including,included,understanding,understood,9
including,included,uniting,united,9
introducing,introduced,involving,involved,9
introducing,introduced,locating,located,9
introducing,introduced,losing,lost,9
introducing,introduced,managing,managed,9
introducing,introduced,marrying,married,9
introducing,introduced,operating,operated,9
introducing,introduced,performing,performed,9
introducing,introduced,proposing,proposed,9
introducing,introduced,providing,provided,9
introducing,introduced,publishing,published,9
introducing,introduced,receiving,received,9
introducing,introduced,reducing,reduced,9
introducing,introduced,relating,related,9
introducing,introduced,remaining,remained,9
introducing,introduced,replacing,replaced,9
introducing,introduced,representing,represented,9
introducing,introduced,requiring,required,9
introducing,introduced,sending,sent,9
introducing,introduced,spending,spent,9
introducing,introduced,suffering,suffered,9
introducing,introduced,teaching,taught,9
introducing,introduced,telling,told,9
introducing,introduced,understanding,understood,9
introducing,introduced,uniting,united,9
