veil,face,cough,illness,20
frown,anger,wave,acknowledgment,20
frown,anger,wink,friendliness,20
frown,anger,yawn,boredom,20
glare,anger,grimace,disgust,20
glare,anger,groan,pain,20
glare,anger,growl,danger,20
glare,anger,handshake,cordiality,20
glare,anger,kiss,love,20
glare,anger,laugh,amusement,20
glare,anger,laughter,amusement,20
glare,anger,lie,dishonesty,20
glare,anger,nod,agreement,20
glare,anger,punch,hatred,20
glare,anger,scream,terror,20
glare,anger,sigh,exhaustion,20
glare,anger,slap,anger,20
glare,anger,snarl,anger,20
glare,anger,tear,sadness,20
glare,anger,tears,sadness,20
glare,anger,wave,acknowledgment,20
glare,anger,wink,friendliness,20
glare,anger,yawn,boredom,20
grimace,disgust,groan,pain,20
grimace,disgust,growl,danger,20
grimace,disgust,handshake,cordiality,20
grimace,disgust,kiss,love,20
grimace,disgust,laugh,amusement,20
grimace,disgust,laughter,amusement,20
grimace,disgust,lie,dishonesty,20
grimace,disgust,nod,agreement,20
grimace,disgust,punch,hatred,20
grimace,disgust,scream,terror,20
grimace,disgust,sigh,exhaustion,20
grimace,disgust,slap,anger,20
grimace,disgust,snarl,anger,20
grimace,disgust,tear,sadness,20
grimace,disgust,tears,sadness,20
grimace,disgust,wave,acknowledgment,20
grimace,disgust,wink,friendliness,20
grimace,disgust,yawn,boredom,20
groan,pain,growl,danger,20
groan,pain,handshake,cordiality,20
groan,pain,kiss,love,20
groan,pain,laugh,amusement,20
groan,pain,laughter,amusement,20
groan,pain,lie,dishonesty,20
groan,pain,nod,agreement,20
groan,pain,punch,hatred,20
groan,pain,scream,terror,20
groan,pain,sigh,exhaustion,20
groan,pain,slap,anger,20
groan,pain,snarl,anger,20
groan,pain,tear,sadness,20
groan,pain,tears,sadness,20
groan,pain,wave,acknowledgment,20
groan,pain,wink,friendliness,20
groan,pain,yawn,boredom,20
growl,danger,handshake,cordiality,20
growl,danger,kiss,love,20
growl,danger,laugh,amusement,20
growl,danger,laughter,amusement,20
growl,danger,lie,dishonesty,20
growl,danger,nod,agreement,20
growl,danger,punch,hatred,20
growl,danger,scream,terror,20
growl,danger,sigh,exhaustion,20
growl,danger,slap,anger,20
growl,danger,snarl,anger,20
growl,danger,tear,sadness,20
growl,danger,tears,sadness,20
growl,danger,wave,acknowledgment,20
growl,danger,wink,friendliness,20
growl,danger,yawn,boredom,20
handshake,cordiality,kiss,love,20
handshake,cordiality,laugh,amusement,20
handshake,cordiality,laughter,amusement,20
handshake,cordiality,lie,dishonesty,20
handshake,cordiality,nod,agreement,20
handshake,cordiality,punch,hatred,20
handshake,cordiality,scream,terror,20
handshake,cordiality,sigh,exhaustion,20
handshake,cordiality,slap,anger,20
handshake,cordiality,snarl,anger,20
handshake,cordiality,tear,sadness,20
handshake,cordiality,tears,sadness,20
handshake,cordiality,wave,acknowledgment,20
handshake,cordiality,wink,friendliness,20
handshake,cordiality,yawn,boredom,20
kiss,love,laugh,amusement,20
kiss,love,laughter,amusement,20
kiss,love,lie,dishonesty,20
kiss,love,nod,agreement,20
kiss,love,punch,hatred,20
kiss,love,scream,terror,20
kiss,love,sigh,exhaustion,20
kiss,love,slap,anger,20
kiss,love,snarl,anger,20
kiss,love,tear,sadness,20
kiss,love,tears,sadness,20
kiss,love,wave,acknowledgment,20
kiss,love,wink,friendliness,20
kiss,love,yawn,boredom,20
laugh,amusement,laughter,amusement,20
laugh,amusement,lie,dishonesty,20
laugh,amusement,nod,agreement,20
laugh,amusement,punch,hatred,20
laugh,amusement,scream,terror,20
laugh,amusement,sigh,exhaustion,20
laugh,amusement,slap,anger,20
laugh,amusement,snarl,anger,20
laugh,amusement,tear,sadness,20
laugh,amusement,tears,sadness,20
laugh,amusement,wave,acknowledgment,20
laugh,amusement,wink,friendliness,20
laugh,amusement,yawn,boredom,20
laughter,amusement,lie,dishonesty,20
laughter,amusement,nod,agreement,20
laughter,amusement,punch,hatred,20
laughter,amusement,scream,terror,20
laughter,amusement,sigh,exhaustion,20
laughter,amusement,slap,anger,20
laughter,amusement,snarl,anger,20
laughter,amusement,tear,sadness,20
laughter,amusement,tears,sadness,20
laughter,amusement,wave,acknowledgment,20
laughter,amusement,wink,friendliness,20
laughter,amusement,yawn,boredom,20
lie,dishonesty,nod,agreement,20
lie,dishonesty,punch,hatred,20
lie,dishonesty,scream,terror,20
lie,dishonesty,sigh,exhaustion,20
lie,dishonesty,slap,anger,20
lie,dishonesty,snarl,anger,20
lie,dishonesty,tear,sadness,20
lie,dishonesty,tears,sadness,20
lie,dishonesty,wave,acknowledgment,20
lie,dishonesty,wink,friendliness,20
lie,dishonesty,yawn,boredom,20
nod,agreement,punch,hatred,20
nod,agreement,scream,terror,20
nod,agreement,sigh,exhaustion,20
nod,agreement,slap,anger,20
nod,agreement,snarl,anger,20
nod,agreement,tear,sadness,20
nod,agreement,tears,sadness,20
nod,agreement,wave,acknowledgment,20
nod,agreement,wink,friendliness,20
nod,agreement,yawn,boredom,20
punch,hatred,scream,terror,20
punch,hatred,sigh,exhaustion,20
punch,hatred,slap,anger,20
punch,hatred,snarl,anger,20
punch,hatred,tear,sadness,20
punch,hatred,tears,sadness,20
punch,hatred,wave,acknowledgment,20
punch,hatred,wink,friendliness,20
punch,hatred,yawn,boredom,20
scream,terror,sigh,exhaustion,20
scream,terror,slap,anger,20
scream,terror,snarl,anger,20
scream,terror,tear,sadness,20
scream,terror,tears,sadness,20
scream,terror,wave,acknowledgment,20
scream,terror,wink,friendliness,20
scream,terror,yawn,boredom,20
sigh,exhaustion,slap,anger,20
sigh,exhaustion,snarl,anger,20
sigh,exhaustion,tear,sadness,20
sigh,exhaustion,tears,sadness,20
sigh,exhaustion,wave,acknowledgment,20
sigh,exhaustion,wink,friendliness,20
sigh,exhaustion,yawn,boredom,20
slap,anger,snarl,anger,20
slap,anger,tear,sadness,20
slap,anger,tears,sadness,20
slap,anger,wave,acknowledgment,20
slap,anger,wink,friendliness,20
slap,anger,yawn,boredom,20
snarl,anger,tear,sadness,20
snarl,anger,tears,sadness,20
snarl,anger,wave,acknowledgment,20
snarl,anger,wink,friendliness,20
snarl,anger,yawn,boredom,20
tear,sadness,tears,sadness,20
tear,sadness,wave,acknowledgment,20
tear,sadness,wink,friendliness,20
tear,sadness,yawn,boredom,20
tears,sadness,wave,acknowledgment,20
tears,sadness,wink,friendliness,20
tears,sadness,yawn,boredom,20
wave,acknowledgment,wink,friendliness,20
wave,acknowledgment,yawn,boredom,20
wink,friendliness,yawn,boredom,20
