wine,drink,administrator,power,2
coward,fear,forgetful,aloof,2
coward,fear,ice,cold,2
coward,fear,idiot,stupidity,2
coward,fear,invalid,illness,2
coward,fear,menopause,emotional,2
coward,fear,millionaire,riches,2
coward,fear,nun,chastity,2
coward,fear,pacifist,peace,2
coward,fear,prisoner,punishment,2
coward,fear,psychotic,insanity,2
coward,fear,saint,holiness,2
coward,fear,scholar,intelligence,2
coward,fear,society,citizen,2
coward,fear,soldier,war,2
coward,fear,star,brightness,2
coward,fear,virgin,purity,2
development,draft,entrepreneur,wealth,2
development,draft,expert,knowledge,2
development,draft,fire,warmth,2
development,draft,forgetful,aloof,2
development,draft,ice,cold,2
development,draft,idiot,stupidity,2
development,draft,invalid,illness,2
development,draft,menopause,emotional,2
development,draft,millionaire,riches,2
development,draft,nun,chastity,2
development,draft,pacifist,peace,2
development,draft,prisoner,punishment,2
development,draft,psychotic,insanity,2
development,draft,saint,holiness,2
development,draft,scholar,intelligence,2
development,draft,society,citizen,2
development,draft,soldier,war,2
development,draft,star,brightness,2
development,draft,virgin,purity,2
entrepreneur,wealth,expert,knowledge,2
entrepreneur,wealth,fire,warmth,2
entrepreneur,wealth,forgetful,aloof,2
entrepreneur,wealth,ice,cold,2
entrepreneur,wealth,idiot,stupidity,2
entrepreneur,wealth,invalid,illness,2
entrepreneur,wealth,menopause,emotional,2
entrepreneur,wealth,millionaire,riches,2
entrepreneur,wealth,nun,chastity,2
entrepreneur,wealth,pacifist,peace,2
entrepreneur,wealth,prisoner,punishment,2
entrepreneur,wealth,psychotic,insanity,2
entrepreneur,wealth,saint,holiness,2
entrepreneur,wealth,scholar,intelligence,2
entrepreneur,wealth,society,citizen,2
entrepreneur,wealth,soldier,war,2
entrepreneur,wealth,star,brightness,2
entrepreneur,wealth,virgin,purity,2
expert,knowledge,fire,warmth,2
expert,knowledge,forgetful,aloof,2
expert,knowledge,ice,cold,2
expert,knowledge,idiot,stupidity,2
expert,knowledge,invalid,illness,2
expert,knowledge,menopause,emotional,2
expert,knowledge,millionaire,riches,2
expert,knowledge,nun,chastity,2
expert,knowledge,pacifist,peace,2
expert,knowledge,prisoner,punishment,2
expert,knowledge,psychotic,insanity,2
expert,knowledge,saint,holiness,2
expert,knowledge,scholar,intelligence,2
expert,knowledge,society,citizen,2
expert,knowledge,soldier,war,2
expert,knowledge,star,brightness,2
expert,knowledge,virgin,purity,2
fire,warmth,forgetful,aloof,2
fire,warmth,ice,cold,2
fire,warmth,idiot,stupidity,2
fire,warmth,invalid,illness,2
fire,warmth,menopause,emotional,2
fire,warmth,millionaire,riches,2
fire,warmth,nun,chastity,2
fire,warmth,pacifist,peace,2
fire,warmth,prisoner,punishment,2
fire,warmth,psychotic,insanity,2
fire,warmth,saint,holiness,2
fire,warmth,scholar,intelligence,2
fire,warmth,society,citizen,2
fire,warmth,soldier,war,2
fire,warmth,star,brightness,2
fire,warmth,virgin,purity,2
forgetful,aloof,ice,cold,2
forgetful,aloof,idiot,stupidity,2
forgetful,aloof,invalid,illness,2
forgetful,aloof,menopause,emotional,2
forgetful,aloof,millionaire,riches,2
forgetful,aloof,nun,chastity,2
forgetful,aloof,pacifist,peace,2
forgetful,aloof,prisoner,punishment,2
forgetful,aloof,psychotic,insanity,2
forgetful,aloof,saint,holiness,2
forgetful,aloof,scholar,intelligence,2
forgetful,aloof,society,citizen,2
forgetful,aloof,soldier,war,2
forgetful,aloof,star,brightness,2
forgetful,aloof,virgin,purity,2
ice,cold,idiot,stupidity,2
ice,cold,invalid,illness,2
ice,cold,menopause,emotional,2
ice,cold,millionaire,riches,2
ice,cold,nun,chastity,2
ice,cold,pacifist,peace,2
ice,cold,prisoner,punishment,2
ice,cold,psychotic,insanity,2
ice,cold,saint,holiness,2
ice,cold,scholar,intelligence,2
ice,cold,society,citizen,2
ice,cold,soldier,war,2
ice,cold,star,brightness,2
ice,cold,virgin,purity,2
idiot,stupidity,invalid,illness,2
idiot,stupidity,menopause,emotional,2
idiot,stupidity,millionaire,riches,2
idiot,stupidity,nun,chastity,2
idiot,stupidity,pacifist,peace,2
idiot,stupidity,prisoner,punishment,2
idiot,stupidity,psychotic,insanity,2
idiot,stupidity,saint,holiness,2
idiot,stupidity,scholar,intelligence,2
idiot,stupidity,society,citizen,2
idiot,stupidity,soldier,war,2
idiot,stupidity,star,brightness,2
idiot,stupidity,virgin,purity,2
invalid,illness,menopause,emotional,2
invalid,illness,millionaire,riches,2
invalid,illness,nun,chastity,2
invalid,illness,pacifist,peace,2
invalid,illness,prisoner,punishment,2
invalid,illness,psychotic,insanity,2
invalid,illness,saint,holiness,2
invalid,illness,scholar,intelligence,2
invalid,illness,society,citizen,2
invalid,illness,soldier,war,2
invalid,illness,star,brightness,2
invalid,illness,virgin,purity,2
menopause,emotional,millionaire,riches,2
menopause,emotional,nun,chastity,2
menopause,emotional,pacifist,peace,2
menopause,emotional,prisoner,punishment,2
menopause,emotional,psychotic,insanity,2
menopause,emotional,saint,holiness,2
menopause,emotional,scholar,intelligence,2
menopause,emotional,society,citizen,2
menopause,emotional,soldier,war,2
menopause,emotional,star,brightness,2
menopause,emotional,virgin,purity,2
millionaire,riches,nun,chastity,2
millionaire,riches,pacifist,peace,2
millionaire,riches,prisoner,punishment,2
millionaire,riches,psychotic,insanity,2
millionaire,riches,saint,holiness,2
millionaire,riches,scholar,intelligence,2
millionaire,riches,society,citizen,2
millionaire,riches,soldier,war,2
millionaire,riches,star,brightness,2
millionaire,riches,virgin,purity,2
nun,chastity,pacifist,peace,2
nun,chastity,prisoner,punishment,2
nun,chastity,psychotic,insanity,2
nun,chastity,saint,holiness,2
nun,chastity,scholar,intelligence,2
nun,chastity,society,citizen,2
nun,chastity,soldier,war,2
nun,chastity,star,brightness,2
nun,chastity,virgin,purity,2
pacifist,peace,prisoner,punishment,2
pacifist,peace,psychotic,insanity,2
pacifist,peace,saint,holiness,2
pacifist,peace,scholar,intelligence,2
pacifist,peace,society,citizen,2
pacifist,peace,soldier,war,2
pacifist,peace,star,brightness,2
pacifist,peace,virgin,purity,2
prisoner,punishment,psychotic,insanity,2
prisoner,punishment,saint,holiness,2
prisoner,punishment,scholar,intelligence,2
prisoner,punishment,society,citizen,2
prisoner,punishment,soldier,war,2
prisoner,punishment,star,brightness,2
prisoner,punishment,virgin,purity,2
psychotic,insanity,saint,holiness,2
psychotic,insanity,scholar,intelligence,2
psychotic,insanity,society,citizen,2
psychotic,insanity,soldier,war,2
psychotic,insanity,star,brightness,2
psychotic,insanity,virgin,purity,2
saint,holiness,scholar,intelligence,2
saint,holiness,society,citizen,2
saint,holiness,soldier,war,2
saint,holiness,star,brightness,2
saint,holiness,virgin,purity,2
scholar,intelligence,society,citizen,2
scholar,intelligence,soldier,war,2
scholar,intelligence,star,brightness,2
scholar,intelligence,virgin,purity,2
society,citizen,soldier,war,2
society,citizen,star,brightness,2
society,citizen,virgin,purity,2
soldier,war,star,brightness,2
soldier,war,virgin,purity,2
star,brightness,virgin,purity,2
