telephone,call,acetaminophen,headache,11
acid,base,preparation,disaster,11
acid,base,rest,exhaustion,11
acid,base,shot,disease,11
acid,base,sleep,exhaustion,11
acid,base,sun,darkness,11
acid,base,swimming,drowning,11
acid,base,vaccine,virus,11
activity,boredom,antibiotic,infection,11
activity,boredom,antibiotics,bacteria,11
activity,boredom,cat,mouse,11
activity,boredom,cure,disease,11
activity,boredom,education,ignorance,11
activity,boredom,fast,slow,11
activity,boredom,food,hunger,11
activity,boredom,fungicide,fungus,11
activity,boredom,good,bad,11
activity,boredom,happy,sad,11
activity,boredom,immunization,disease,11
activity,boredom,insecticide,bugs,11
activity,boredom,knowledge,ignorance,11
activity,boredom,locks,theft,11
activity,boredom,mediation,conflict,11
activity,boredom,medicine,disease,11
activity,boredom,money,poverty,11
activity,boredom,nice,evil,11
activity,boredom,preparation,disaster,11
activity,boredom,rest,exhaustion,11
activity,boredom,shot,disease,11
activity,boredom,sleep,exhaustion,11
activity,boredom,sun,darkness,11
activity,boredom,swimming,drowning,11
activity,boredom,vaccine,virus,11
antibiotic,infection,antibiotics,bacteria,11
antibiotic,infection,cat,mouse,11
antibiotic,infection,cure,disease,11
antibiotic,infection,education,ignorance,11
antibiotic,infection,fast,slow,11
antibiotic,infection,food,hunger,11
antibiotic,infection,fungicide,fungus,11
antibiotic,infection,good,bad,11
antibiotic,infection,happy,sad,11
antibiotic,infection,immunization,disease,11
antibiotic,infection,insecticide,bugs,11
antibiotic,infection,knowledge,ignorance,11
antibiotic,infection,locks,theft,11
antibiotic,infection,mediation,conflict,11
antibiotic,infection,medicine,disease,11
antibiotic,infection,money,poverty,11
antibiotic,infection,nice,evil,11
antibiotic,infection,preparation,disaster,11
antibiotic,infection,rest,exhaustion,11
antibiotic,infection,shot,disease,11
antibiotic,infection,sleep,exhaustion,11
antibiotic,infection,sun,darkness,11
antibiotic,infection,swimming,drowning,11
antibiotic,infection,vaccine,virus,11
antibiotics,bacteria,cat,mouse,11
antibiotics,bacteria,cure,disease,11
antibiotics,bacteria,education,ignorance,11
antibiotics,bacteria,fast,slow,11
antibiotics,bacteria,food,hunger,11
antibiotics,bacteria,fungicide,fungus,11
antibiotics,bacteria,good,bad,11
antibiotics,bacteria,happy,sad,11
antibiotics,bacteria,immunization,disease,11
antibiotics,bacteria,insecticide,bugs,11
antibiotics,bacteria,knowledge,ignorance,11
antibiotics,bacteria,locks,theft,11
antibiotics,bacteria,mediation,conflict,11
antibiotics,bacteria,medicine,disease,11
antibiotics,bacteria,money,poverty,11
antibiotics,bacteria,nice,evil,11
antibiotics,bacteria,preparation,disaster,11
antibiotics,bacteria,rest,exhaustion,11
antibiotics,bacteria,shot,disease,11
antibiotics,bacteria,sleep,exhaustion,11
antibiotics,bacteria,sun,darkness,11
antibiotics,bacteria,swimming,drowning,11
antibiotics,bacteria,vaccine,virus,11
cat,mouse,cure,disease,11
cat,mouse,education,ignorance,11
cat,mouse,fast,slow,11
cat,mouse,food,hunger,11
cat,mouse,fungicide,fungus,11
cat,mouse,good,bad,11
cat,mouse,happy,sad,11
cat,mouse,immunization,disease,11
cat,mouse,insecticide,bugs,11
cat,mouse,knowledge,ignorance,11
cat,mouse,locks,theft,11
cat,mouse,mediation,conflict,11
cat,mouse,medicine,disease,11
cat,mouse,money,poverty,11
cat,mouse,nice,evil,11
cat,mouse,preparation,disaster,11
cat,mouse,rest,exhaustion,11
cat,mouse,shot,disease,11
cat,mouse,sleep,exhaustion,11
cat,mouse,sun,darkness,11
cat,mouse,swimming,drowning,11
cat,mouse,vaccine,virus,11
cure,disease,education,ignorance,11
cure,disease,fast,slow,11
cure,disease,food,hunger,11
cure,disease,fungicide,fungus,11
cure,disease,good,bad,11
cure,disease,happy,sad,11
cure,disease,immunization,disease,11
cure,disease,insecticide,bugs,11
cure,disease,knowledge,ignorance,11
cure,disease,locks,theft,11
cure,disease,mediation,conflict,11
cure,disease,medicine,disease,11
cure,disease,money,poverty,11
cure,disease,nice,evil,11
cure,disease,preparation,disaster,11
cure,disease,rest,exhaustion,11
cure,disease,shot,disease,11
cure,disease,sleep,exhaustion,11
cure,disease,sun,darkness,11
cure,disease,swimming,drowning,11
cure,disease,vaccine,virus,11
education,ignorance,fast,slow,11
education,ignorance,food,hunger,11
education,ignorance,fungicide,fungus,11
education,ignorance,good,bad,11
education,ignorance,happy,sad,11
education,ignorance,immunization,disease,11
education,ignorance,insecticide,bugs,11
education,ignorance,knowledge,ignorance,11
education,ignorance,locks,theft,11
education,ignorance,mediation,conflict,11
education,ignorance,medicine,disease,11
education,ignorance,money,poverty,11
education,ignorance,nice,evil,11
education,ignorance,preparation,disaster,11
education,ignorance,rest,exhaustion,11
education,ignorance,shot,disease,11
education,ignorance,sleep,exhaustion,11
education,ignorance,sun,darkness,11
education,ignorance,swimming,drowning,11
education,ignorance,vaccine,virus,11
fast,slow,food,hunger,11
fast,slow,fungicide,fungus,11
fast,slow,good,bad,11
fast,slow,happy,sad,11
fast,slow,immunization,disease,11
fast,slow,insecticide,bugs,11
fast,slow,knowledge,ignorance,11
fast,slow,locks,theft,11
fast,slow,mediation,conflict,11
fast,slow,medicine,disease,11
fast,slow,money,poverty,11
fast,slow,nice,evil,11
fast,slow,preparation,disaster,11
fast,slow,rest,exhaustion,11
fast,slow,shot,disease,11
fast,slow,sleep,exhaustion,11
fast,slow,sun,darkness,11
fast,slow,swimming,drowning,11
fast,slow,vaccine,virus,11
food,hunger,fungicide,fungus,11
food,hunger,good,bad,11
food,hunger,happy,sad,11
food,hunger,immunization,disease,11
food,hunger,insecticide,bugs,11
food,hunger,knowledge,ignorance,11
food,hunger,locks,theft,11
food,hunger,mediation,conflict,11
food,hunger,medicine,disease,11
food,hunger,money,poverty,11
food,hunger,nice,evil,11
food,hunger,preparation,disaster,11
food,hunger,rest,exhaustion,11
food,hunger,shot,disease,11
food,hunger,sleep,exhaustion,11
food,hunger,sun,darkness,11
food,hunger,swimming,drowning,11
food,hunger,vaccine,virus,11
fungicide,fungus,good,bad,11
fungicide,fungus,happy,sad,11
fungicide,fungus,immunization,disease,11
fungicide,fungus,insecticide,bugs,11
fungicide,fungus,knowledge,ignorance,11
fungicide,fungus,locks,theft,11
fungicide,fungus,mediation,conflict,11
fungicide,fungus,medicine,disease,11
fungicide,fungus,money,poverty,11
fungicide,fungus,nice,evil,11
fungicide,fungus,preparation,disaster,11
fungicide,fungus,rest,exhaustion,11
fungicide,fungus,shot,disease,11
fungicide,fungus,sleep,exhaustion,11
fungicide,fungus,sun,darkness,11
fungicide,fungus,swimming,drowning,11
fungicide,fungus,vaccine,virus,11
good,bad,happy,sad,11
good,bad,immunization,disease,11
good,bad,insecticide,bugs,11
good,bad,knowledge,ignorance,11
good,bad,locks,theft,11
good,bad,mediation,conflict,11
good,bad,medicine,disease,11
good,bad,money,poverty,11
good,bad,nice,evil,11
good,bad,preparation,disaster,11
good,bad,rest,exhaustion,11
good,bad,shot,disease,11
good,bad,sleep,exhaustion,11
good,bad,sun,darkness,11
good,bad,swimming,drowning,11
good,bad,vaccine,virus,11
happy,sad,immunization,disease,11
happy,sad,insecticide,bugs,11
happy,sad,knowledge,ignorance,11
happy,sad,locks,theft,11
happy,sad,mediation,conflict,11
happy,sad,medicine,disease,11
happy,sad,money,poverty,11
happy,sad,nice,evil,11
happy,sad,preparation,disaster,11
happy,sad,rest,exhaustion,11
happy,sad,shot,disease,11
happy,sad,sleep,exhaustion,11
happy,sad,sun,darkness,11
happy,sad,swimming,drowning,11
happy,sad,vaccine,virus,11
immunization,disease,insecticide,bugs,11
immunization,disease,knowledge,ignorance,11
immunization,disease,locks,theft,11
immunization,disease,mediation,conflict,11
immunization,disease,medicine,disease,11
immunization,disease,money,poverty,11
immunization,disease,nice,evil,11
immunization,disease,preparation,disaster,11
immunization,disease,rest,exhaustion,11
immunization,disease,shot,disease,11
immunization,disease,sleep,exhaustion,11
immunization,disease,sun,darkness,11
immunization,disease,swimming,drowning,11
immunization,disease,vaccine,virus,11
insecticide,bugs,knowledge,ignorance,11
insecticide,bugs,locks,theft,11
insecticide,bugs,mediation,conflict,11
insecticide,bugs,medicine,disease,11
insecticide,bugs,money,poverty,11
insecticide,bugs,nice,evil,11
insecticide,bugs,preparation,disaster,11
insecticide,bugs,rest,exhaustion,11
insecticide,bugs,shot,disease,11
insecticide,bugs,sleep,exhaustion,11
insecticide,bugs,sun,darkness,11
insecticide,bugs,swimming,drowning,11
insecticide,bugs,vaccine,virus,11
knowledge,ignorance,locks,theft,11
knowledge,ignorance,mediation,conflict,11
knowledge,ignorance,medicine,disease,11
knowledge,ignorance,money,poverty,11
knowledge,ignorance,nice,evil,11
knowledge,ignorance,preparation,disaster,11
knowledge,ignorance,rest,exhaustion,11
knowledge,ignorance,shot,disease,11
knowledge,ignorance,sleep,exhaustion,11
knowledge,ignorance,sun,darkness,11
knowledge,ignorance,swimming,drowning,11
knowledge,ignorance,vaccine,virus,11
locks,theft,mediation,conflict,11
locks,theft,medicine,disease,11
locks,theft,money,poverty,11
locks,theft,nice,evil,11
locks,theft,preparation,disaster,11
locks,theft,rest,exhaustion,11
locks,theft,shot,disease,11
locks,theft,sleep,exhaustion,11
locks,theft,sun,darkness,11
locks,theft,swimming,drowning,11
locks,theft,vaccine,virus,11
mediation,conflict,medicine,disease,11
mediation,conflict,money,poverty,11
mediation,conflict,nice,evil,11
mediation,conflict,preparation,disaster,11
mediation,conflict,rest,exhaustion,11
mediation,conflict,shot,disease,11
mediation,conflict,sleep,exhaustion,11
mediation,conflict,sun,darkness,11
mediation,conflict,swimming,drowning,11
mediation,conflict,vaccine,virus,11
medicine,disease,money,poverty,11
medicine,disease,nice,evil,11
medicine,disease,preparation,disaster,11
medicine,disease,rest,exhaustion,11
medicine,disease,shot,disease,11
medicine,disease,sleep,exhaustion,11
medicine,disease,sun,darkness,11
medicine,disease,swimming,drowning,11
medicine,disease,vaccine,virus,11
money,poverty,nice,evil,11
money,poverty,preparation,disaster,11
money,poverty,rest,exhaustion,11
money,poverty,shot,disease,11
money,poverty,sleep,exhaustion,11
money,poverty,sun,darkness,11
money,poverty,swimming,drowning,11
money,poverty,vaccine,virus,11
nice,evil,preparation,disaster,11
nice,evil,rest,exhaustion,11
nice,evil,shot,disease,11
nice,evil,sleep,exhaustion,11
nice,evil,sun,darkness,11
nice,evil,swimming,drowning,11
nice,evil,vaccine,virus,11
preparation,disaster,rest,exhaustion,11
preparation,disaster,shot,disease,11
preparation,disaster,sleep,exhaustion,11
preparation,disaster,sun,darkness,11
preparation,disaster,swimming,drowning,11
preparation,disaster,vaccine,virus,11
rest,exhaustion,shot,disease,11
rest,exhaustion,sleep,exhaustion,11
rest,exhaustion,sun,darkness,11
rest,exhaustion,swimming,drowning,11
rest,exhaustion,vaccine,virus,11
shot,disease,sleep,exhaustion,11
shot,disease,sun,darkness,11
shot,disease,swimming,drowning,11
shot,disease,vaccine,virus,11
sleep,exhaustion,sun,darkness,11
sleep,exhaustion,swimming,drowning,11
sleep,exhaustion,vaccine,virus,11
sun,darkness,swimming,drowning,11
sun,darkness,vaccine,virus,11
swimming,drowning,vaccine,virus,11
