textbook,subject,account,history,23
map,topography,sculpture,person,23
map,topography,shadow,object,23
map,topography,sketch,image,23
map,topography,song,emotion,23
menu,chef,movie,screenplay,23
menu,chef,people,city,23
menu,chef,photograph,event,23
menu,chef,photo,landscape,23
menu,chef,profile,face,23
menu,chef,recording,sound,23
menu,chef,replica,artwork,23
menu,chef,sculpture,person,23
menu,chef,shadow,object,23
menu,chef,sketch,image,23
menu,chef,song,emotion,23
movie,screenplay,people,city,23
movie,screenplay,photograph,event,23
movie,screenplay,photo,landscape,23
movie,screenplay,profile,face,23
movie,screenplay,recording,sound,23
movie,screenplay,replica,artwork,23
movie,screenplay,sculpture,person,23
movie,screenplay,shadow,object,23
movie,screenplay,sketch,image,23
movie,screenplay,song,emotion,23
people,city,photograph,event,23
people,city,photo,landscape,23
people,city,profile,face,23
people,city,recording,sound,23
people,city,replica,artwork,23
people,city,sculpture,person,23
people,city,shadow,object,23
people,city,sketch,image,23
people,city,song,emotion,23
photograph,event,photo,landscape,23
photograph,event,profile,face,23
photograph,event,recording,sound,23
photograph,event,replica,artwork,23
photograph,event,sculpture,person,23
photograph,event,shadow,object,23
photograph,event,sketch,image,23
photograph,event,song,emotion,23
photo,landscape,profile,face,23
photo,landscape,recording,sound,23
photo,landscape,replica,artwork,23
photo,landscape,sculpture,person,23
photo,landscape,shadow,object,23
photo,landscape,sketch,image,23
photo,landscape,song,emotion,23
profile,face,recording,sound,23
profile,face,replica,artwork,23
profile,face,sculpture,person,23
profile,face,shadow,object,23
profile,face,sketch,image,23
profile,face,song,emotion,23
recording,sound,replica,artwork,23
recording,sound,sculpture,person,23
recording,sound,shadow,object,23
recording,sound,sketch,image,23
recording,sound,song,emotion,23
replica,artwork,sculpture,person,23
replica,artwork,shadow,object,23
replica,artwork,sketch,image,23
replica,artwork,song,emotion,23
sculpture,person,shadow,object,23
sculpture,person,sketch,image,23
sculpture,person,song,emotion,23
shadow,object,sketch,image,23
shadow,object,song,emotion,23
sketch,image,song,emotion,23
