winner,victory,addict,use,3
boxer,fight,switch,flip,3
boxer,fight,tailor,sew,3
boxer,fight,tree,grow,3
boxer,fight,water,flow,3
chef,cook,cloud,rain,3
chef,cook,computer,compute,3
chef,cook,doctor,cure,3
chef,cook,dog,bark,3
chef,cook,door,close,3
chef,cook,dynamite,explode,3
chef,cook,educator,teach,3
chef,cook,fire,burn,3
chef,cook,fish,swim,3
chef,cook,heart,beat,3
chef,cook,housekeeper,dust,3
chef,cook,ice,melt,3
chef,cook,knife,stab,3
chef,cook,lion,roar,3
chef,cook,musician,play,3
chef,cook,pastor,preach,3
chef,cook,rabbit,hop,3
chef,cook,shovel,dig,3
chef,cook,student,learn,3
chef,cook,sun,shine,3
chef,cook,switch,flip,3
chef,cook,tailor,sew,3
chef,cook,tree,grow,3
chef,cook,water,flow,3
cloud,rain,computer,compute,3
cloud,rain,doctor,cure,3
cloud,rain,dog,bark,3
cloud,rain,door,close,3
cloud,rain,dynamite,explode,3
cloud,rain,educator,teach,3
cloud,rain,fire,burn,3
cloud,rain,fish,swim,3
cloud,rain,heart,beat,3
cloud,rain,housekeeper,dust,3
cloud,rain,ice,melt,3
cloud,rain,knife,stab,3
cloud,rain,lion,roar,3
cloud,rain,musician,play,3
cloud,rain,pastor,preach,3
cloud,rain,rabbit,hop,3
cloud,rain,shovel,dig,3
cloud,rain,student,learn,3
cloud,rain,sun,shine,3
cloud,rain,switch,flip,3
cloud,rain,tailor,sew,3
cloud,rain,tree,grow,3
cloud,rain,water,flow,3
computer,compute,doctor,cure,3
computer,compute,dog,bark,3
computer,compute,door,close,3
computer,compute,dynamite,explode,3
computer,compute,educator,teach,3
computer,compute,fire,burn,3
computer,compute,fish,swim,3
computer,compute,heart,beat,3
computer,compute,housekeeper,dust,3
computer,compute,ice,melt,3
computer,compute,knife,stab,3
computer,compute,lion,roar,3
computer,compute,musician,play,3
computer,compute,pastor,preach,3
computer,compute,rabbit,hop,3
computer,compute,shovel,dig,3
computer,compute,student,learn,3
computer,compute,sun,shine,3
computer,compute,switch,flip,3
computer,compute,tailor,sew,3
computer,compute,tree,grow,3
computer,compute,water,flow,3
doctor,cure,dog,bark,3
doctor,cure,door,close,3
doctor,cure,dynamite,explode,3
doctor,cure,educator,teach,3
doctor,cure,fire,burn,3
doctor,cure,fish,swim,3
doctor,cure,heart,beat,3
doctor,cure,housekeeper,dust,3
doctor,cure,ice,melt,3
doctor,cure,knife,stab,3
doctor,cure,lion,roar,3
doctor,cure,musician,play,3
doctor,cure,pastor,preach,3
doctor,cure,rabbit,hop,3
doctor,cure,shovel,dig,3
doctor,cure,student,learn,3
doctor,cure,sun,shine,3
doctor,cure,switch,flip,3
doctor,cure,tailor,sew,3
doctor,cure,tree,grow,3
doctor,cure,water,flow,3
dog,bark,door,close,3
dog,bark,dynamite,explode,3
dog,bark,educator,teach,3
dog,bark,fire,burn,3
dog,bark,fish,swim,3
dog,bark,heart,beat,3
dog,bark,housekeeper,dust,3
dog,bark,ice,melt,3
dog,bark,knife,stab,3
dog,bark,lion,roar,3
dog,bark,musician,play,3
dog,bark,pastor,preach,3
dog,bark,rabbit,hop,3
dog,bark,shovel,dig,3
dog,bark,student,learn,3
dog,bark,sun,shine,3
dog,bark,switch,flip,3
dog,bark,tailor,sew,3
dog,bark,tree,grow,3
dog,bark,water,flow,3
door,close,dynamite,explode,3
door,close,educator,teach,3
door,close,fire,burn,3
door,close,fish,swim,3
door,close,heart,beat,3
door,close,housekeeper,dust,3
door,close,ice,melt,3
door,close,knife,stab,3
door,close,lion,roar,3
door,close,musician,play,3
door,close,pastor,preach,3
door,close,rabbit,hop,3
door,close,shovel,dig,3
door,close,student,learn,3
door,close,sun,shine,3
door,close,switch,flip,3
door,close,tailor,sew,3
door,close,tree,grow,3
door,close,water,flow,3
dynamite,explode,educator,teach,3
dynamite,explode,fire,burn,3
dynamite,explode,fish,swim,3
dynamite,explode,heart,beat,3
dynamite,explode,housekeeper,dust,3
dynamite,explode,ice,melt,3
dynamite,explode,knife,stab,3
dynamite,explode,lion,roar,3
dynamite,explode,musician,play,3
dynamite,explode,pastor,preach,3
dynamite,explode,rabbit,hop,3
dynamite,explode,shovel,dig,3
dynamite,explode,student,learn,3
dynamite,explode,sun,shine,3
dynamite,explode,switch,flip,3
dynamite,explode,tailor,sew,3
dynamite,explode,tree,grow,3
dynamite,explode,water,flow,3
educator,teach,fire,burn,3
educator,teach,fish,swim,3
educator,teach,heart,beat,3
educator,teach,housekeeper,dust,3
educator,teach,ice,melt,3
educator,teach,knife,stab,3
educator,teach,lion,roar,3
educator,teach,musician,play,3
educator,teach,pastor,preach,3
educator,teach,rabbit,hop,3
educator,teach,shovel,dig,3
educator,teach,student,learn,3
educator,teach,sun,shine,3
educator,teach,switch,flip,3
educator,teach,tailor,sew,3
educator,teach,tree,grow,3
educator,teach,water,flow,3
fire,burn,fish,swim,3
fire,burn,heart,beat,3
fire,burn,housekeeper,dust,3
fire,burn,ice,melt,3
fire,burn,knife,stab,3
fire,burn,lion,roar,3
fire,burn,musician,play,3
fire,burn,pastor,preach,3
fire,burn,rabbit,hop,3
fire,burn,shovel,dig,3
fire,burn,student,learn,3
fire,burn,sun,shine,3
fire,burn,switch,flip,3
fire,burn,tailor,sew,3
fire,burn,tree,grow,3
fire,burn,water,flow,3
fish,swim,heart,beat,3
fish,swim,housekeeper,dust,3
fish,swim,ice,melt,3
fish,swim,knife,stab,3
fish,swim,lion,roar,3
fish,swim,musician,play,3
fish,swim,pastor,preach,3
fish,swim,rabbit,hop,3
fish,swim,shovel,dig,3
fish,swim,student,learn,3
fish,swim,sun,shine,3
fish,swim,switch,flip,3
fish,swim,tailor,sew,3
fish,swim,tree,grow,3
fish,swim,water,flow,3
heart,beat,housekeeper,dust,3
heart,beat,ice,melt,3
heart,beat,knife,stab,3
heart,beat,lion,roar,3
heart,beat,musician,play,3
heart,beat,pastor,preach,3
heart,beat,rabbit,hop,3
heart,beat,shovel,dig,3
heart,beat,student,learn,3
heart,beat,sun,shine,3
heart,beat,switch,flip,3
heart,beat,tailor,sew,3
heart,beat,tree,grow,3
heart,beat,water,flow,3
housekeeper,dust,ice,melt,3
housekeeper,dust,knife,stab,3
housekeeper,dust,lion,roar,3
housekeeper,dust,musician,play,3
housekeeper,dust,pastor,preach,3
housekeeper,dust,rabbit,hop,3
housekeeper,dust,shovel,dig,3
housekeeper,dust,student,learn,3
housekeeper,dust,sun,shine,3
housekeeper,dust,switch,flip,3
housekeeper,dust,tailor,sew,3
housekeeper,dust,tree,grow,3
housekeeper,dust,water,flow,3
ice,melt,knife,stab,3
ice,melt,lion,roar,3
ice,melt,musician,play,3
ice,melt,pastor,preach,3
ice,melt,rabbit,hop,3
ice,melt,shovel,dig,3
ice,melt,student,learn,3
ice,melt,sun,shine,3
ice,melt,switch,flip,3
ice,melt,tailor,sew,3
ice,melt,tree,grow,3
ice,melt,water,flow,3
knife,stab,lion,roar,3
knife,stab,musician,play,3
knife,stab,pastor,preach,3
knife,stab,rabbit,hop,3
knife,stab,shovel,dig,3
knife,stab,student,learn,3
knife,stab,sun,shine,3
knife,stab,switch,flip,3
knife,stab,tailor,sew,3
knife,stab,tree,grow,3
knife,stab,water,flow,3
lion,roar,musician,play,3
lion,roar,pastor,preach,3
lion,roar,rabbit,hop,3
lion,roar,shovel,dig,3
lion,roar,student,learn,3
lion,roar,sun,shine,3
lion,roar,switch,flip,3
lion,roar,tailor,sew,3
lion,roar,tree,grow,3
lion,roar,water,flow,3
musician,play,pastor,preach,3
musician,play,rabbit,hop,3
musician,play,shovel,dig,3
musician,play,student,learn,3
musician,play,sun,shine,3
musician,play,switch,flip,3
musician,play,tailor,sew,3
musician,play,tree,grow,3
musician,play,water,flow,3
pastor,preach,rabbit,hop,3
pastor,preach,shovel,dig,3
pastor,preach,student,learn,3
pastor,preach,sun,shine,3
pastor,preach,switch,flip,3
pastor,preach,tailor,sew,3
pastor,preach,tree,grow,3
pastor,preach,water,flow,3
rabbit,hop,shovel,dig,3
rabbit,hop,student,learn,3
rabbit,hop,sun,shine,3
rabbit,hop,switch,flip,3
rabbit,hop,tailor,sew,3
rabbit,hop,tree,grow,3
rabbit,hop,water,flow,3
shovel,dig,student,learn,3
shovel,dig,sun,shine,3
shovel,dig,switch,flip,3
shovel,dig,tailor,sew,3
shovel,dig,tree,grow,3
shovel,dig,water,flow,3
student,learn,sun,shine,3
student,learn,switch,flip,3
student,learn,tailor,sew,3
student,learn,tree,grow,3
student,learn,water,flow,3
sun,shine,switch,flip,3
sun,shine,tailor,sew,3
sun,shine,tree,grow,3
sun,shine,water,flow,3
switch,flip,tailor,sew,3
switch,flip,tree,grow,3
switch,flip,water,flow,3
tailor,sew,tree,grow,3
tailor,sew,water,flow,3
tree,grow,water,flow,3
