workers,salary,anger,yell,6
carefully,clumsiness,emptiness,fill,6
carefully,clumsiness,fat,exercise,6
carefully,clumsiness,fright,scream,6
carefully,clumsiness,happiness,smile,6
carefully,clumsiness,heat,sweat,6
carefully,clumsiness,joy,skip,6
carefully,clumsiness,loneliness,socialize,6
carefully,clumsiness,murderer,flee,6
carefully,clumsiness,nervousness,sweat,6
carefully,clumsiness,obesity,exercise,6
carefully,clumsiness,pain,treatment,6
carefully,clumsiness,poison,illness,6
carefully,clumsiness,sadness,cry,6
carefully,clumsiness,sick,rest,6
carefully,clumsiness,song,sing,6
carefully,clumsiness,thirst,drink,6
carefully,clumsiness,thirsty,drink,6
clumsiness,carefully,coldness,shiver,6
clumsiness,carefully,danger,flee,6
clumsiness,carefully,dirty,bathe,6
clumsiness,carefully,dizzy,drunk,6
clumsiness,carefully,embarrassed,blush,6
clumsiness,carefully,emptiness,fill,6
clumsiness,carefully,fat,exercise,6
clumsiness,carefully,fright,scream,6
clumsiness,carefully,happiness,smile,6
clumsiness,carefully,heat,sweat,6
clumsiness,carefully,joy,skip,6
clumsiness,carefully,loneliness,socialize,6
clumsiness,carefully,murderer,flee,6
clumsiness,carefully,nervousness,sweat,6
clumsiness,carefully,obesity,exercise,6
clumsiness,carefully,pain,treatment,6
clumsiness,carefully,poison,illness,6
clumsiness,carefully,sadness,cry,6
clumsiness,carefully,sick,rest,6
clumsiness,carefully,song,sing,6
clumsiness,carefully,thirst,drink,6
clumsiness,carefully,thirsty,drink,6
coldness,shiver,danger,flee,6
coldness,shiver,dirty,bathe,6
coldness,shiver,dizzy,drunk,6
coldness,shiver,embarrassed,blush,6
coldness,shiver,emptiness,fill,6
coldness,shiver,fat,exercise,6
coldness,shiver,fright,scream,6
coldness,shiver,happiness,smile,6
coldness,shiver,heat,sweat,6
coldness,shiver,joy,skip,6
coldness,shiver,loneliness,socialize,6
coldness,shiver,murderer,flee,6
coldness,shiver,nervousness,sweat,6
coldness,shiver,obesity,exercise,6
coldness,shiver,pain,treatment,6
coldness,shiver,poison,illness,6
coldness,shiver,sadness,cry,6
coldness,shiver,sick,rest,6
coldness,shiver,song,sing,6
coldness,shiver,thirst,drink,6
coldness,shiver,thirsty,drink,6
danger,flee,dirty,bathe,6
danger,flee,dizzy,drunk,6
danger,flee,embarrassed,blush,6
danger,flee,emptiness,fill,6
danger,flee,fat,exercise,6
danger,flee,fright,scream,6
danger,flee,happiness,smile,6
danger,flee,heat,sweat,6
danger,flee,joy,skip,6
danger,flee,loneliness,socialize,6
danger,flee,murderer,flee,6
danger,flee,nervousness,sweat,6
danger,flee,obesity,exercise,6
danger,flee,pain,treatment,6
danger,flee,poison,illness,6
danger,flee,sadness,cry,6
danger,flee,sick,rest,6
danger,flee,song,sing,6
danger,flee,thirst,drink,6
danger,flee,thirsty,drink,6
dirty,bathe,dizzy,drunk,6
dirty,bathe,embarrassed,blush,6
dirty,bathe,emptiness,fill,6
dirty,bathe,fat,exercise,6
dirty,bathe,fright,scream,6
dirty,bathe,happiness,smile,6
dirty,bathe,heat,sweat,6
dirty,bathe,joy,skip,6
dirty,bathe,loneliness,socialize,6
dirty,bathe,murderer,flee,6
dirty,bathe,nervousness,sweat,6
dirty,bathe,obesity,exercise,6
dirty,bathe,pain,treatment,6
dirty,bathe,poison,illness,6
dirty,bathe,sadness,cry,6
dirty,bathe,sick,rest,6
dirty,bathe,song,sing,6
dirty,bathe,thirst,drink,6
dirty,bathe,thirsty,drink,6
dizzy,drunk,embarrassed,blush,6
dizzy,drunk,emptiness,fill,6
dizzy,drunk,fat,exercise,6
dizzy,drunk,fright,scream,6
dizzy,drunk,happiness,smile,6
dizzy,drunk,heat,sweat,6
dizzy,drunk,joy,skip,6
dizzy,drunk,loneliness,socialize,6
dizzy,drunk,murderer,flee,6
dizzy,drunk,nervousness,sweat,6
dizzy,drunk,obesity,exercise,6
dizzy,drunk,pain,treatment,6
dizzy,drunk,poison,illness,6
dizzy,drunk,sadness,cry,6
dizzy,drunk,sick,rest,6
dizzy,drunk,song,sing,6
dizzy,drunk,thirst,drink,6
dizzy,drunk,thirsty,drink,6
embarrassed,blush,emptiness,fill,6
embarrassed,blush,fat,exercise,6
embarrassed,blush,fright,scream,6
embarrassed,blush,happiness,smile,6
embarrassed,blush,heat,sweat,6
embarrassed,blush,joy,skip,6
embarrassed,blush,loneliness,socialize,6
embarrassed,blush,murderer,flee,6
embarrassed,blush,nervousness,sweat,6
embarrassed,blush,obesity,exercise,6
embarrassed,blush,pain,treatment,6
embarrassed,blush,poison,illness,6
embarrassed,blush,sadness,cry,6
embarrassed,blush,sick,rest,6
embarrassed,blush,song,sing,6
embarrassed,blush,thirst,drink,6
embarrassed,blush,thirsty,drink,6
emptiness,fill,fat,exercise,6
emptiness,fill,fright,scream,6
emptiness,fill,happiness,smile,6
emptiness,fill,heat,sweat,6
emptiness,fill,joy,skip,6
emptiness,fill,loneliness,socialize,6
emptiness,fill,murderer,flee,6
emptiness,fill,nervousness,sweat,6
emptiness,fill,obesity,exercise,6
emptiness,fill,pain,treatment,6
emptiness,fill,poison,illness,6
emptiness,fill,sadness,cry,6
emptiness,fill,sick,rest,6
emptiness,fill,song,sing,6
emptiness,fill,thirst,drink,6
emptiness,fill,thirsty,drink,6
fat,exercise,fright,scream,6
fat,exercise,happiness,smile,6
fat,exercise,heat,sweat,6
fat,exercise,joy,skip,6
fat,exercise,loneliness,socialize,6
fat,exercise,murderer,flee,6
fat,exercise,nervousness,sweat,6
fat,exercise,obesity,exercise,6
fat,exercise,pain,treatment,6
fat,exercise,poison,illness,6
fat,exercise,sadness,cry,6
fat,exercise,sick,rest,6
fat,exercise,song,sing,6
fat,exercise,thirst,drink,6
fat,exercise,thirsty,drink,6
fright,scream,happiness,smile,6
fright,scream,heat,sweat,6
fright,scream,joy,skip,6
fright,scream,loneliness,socialize,6
fright,scream,murderer,flee,6
fright,scream,nervousness,sweat,6
fright,scream,obesity,exercise,6
fright,scream,pain,treatment,6
fright,scream,poison,illness,6
fright,scream,sadness,cry,6
fright,scream,sick,rest,6
fright,scream,song,sing,6
fright,scream,thirst,drink,6
fright,scream,thirsty,drink,6
happiness,smile,heat,sweat,6
happiness,smile,joy,skip,6
happiness,smile,loneliness,socialize,6
happiness,smile,murderer,flee,6
happiness,smile,nervousness,sweat,6
happiness,smile,obesity,exercise,6
happiness,smile,pain,treatment,6
happiness,smile,poison,illness,6
happiness,smile,sadness,cry,6
happiness,smile,sick,rest,6
happiness,smile,song,sing,6
happiness,smile,thirst,drink,6
happiness,smile,thirsty,drink,6
heat,sweat,joy,skip,6
heat,sweat,loneliness,socialize,6
heat,sweat,murderer,flee,6
heat,sweat,nervousness,sweat,6
heat,sweat,obesity,exercise,6
heat,sweat,pain,treatment,6
heat,sweat,poison,illness,6
heat,sweat,sadness,cry,6
heat,sweat,sick,rest,6
heat,sweat,song,sing,6
heat,sweat,thirst,drink,6
heat,sweat,thirsty,drink,6
joy,skip,loneliness,socialize,6
joy,skip,murderer,flee,6
joy,skip,nervousness,sweat,6
joy,skip,obesity,exercise,6
joy,skip,pain,treatment,6
joy,skip,poison,illness,6
joy,skip,sadness,cry,6
joy,skip,sick,rest,6
joy,skip,song,sing,6
joy,skip,thirst,drink,6
joy,skip,thirsty,drink,6
loneliness,socialize,murderer,flee,6
loneliness,socialize,nervousness,sweat,6
loneliness,socialize,obesity,exercise,6
loneliness,socialize,pain,treatment,6
loneliness,socialize,poison,illness,6
loneliness,socialize,sadness,cry,6
loneliness,socialize,sick,rest,6
loneliness,socialize,song,sing,6
loneliness,socialize,thirst,drink,6
loneliness,socialize,thirsty,drink,6
murderer,flee,nervousness,sweat,6
murderer,flee,obesity,exercise,6
murderer,flee,pain,treatment,6
murderer,flee,poison,illness,6
murderer,flee,sadness,cry,6
murderer,flee,sick,rest,6
murderer,flee,song,sing,6
murderer,flee,thirst,drink,6
murderer,flee,thirsty,drink,6
nervousness,sweat,obesity,exercise,6
nervousness,sweat,pain,treatment,6
nervousness,sweat,poison,illness,6
nervousness,sweat,sadness,cry,6
nervousness,sweat,sick,rest,6
nervousness,sweat,song,sing,6
nervousness,sweat,thirst,drink,6
nervousness,sweat,thirsty,drink,6
obesity,exercise,pain,treatment,6
obesity,exercise,poison,illness,6
obesity,exercise,sadness,cry,6
obesity,exercise,sick,rest,6
obesity,exercise,song,sing,6
obesity,exercise,thirst,drink,6
obesity,exercise,thirsty,drink,6
pain,treatment,poison,illness,6
pain,treatment,sadness,cry,6
pain,treatment,sick,rest,6
pain,treatment,song,sing,6
pain,treatment,thirst,drink,6
pain,treatment,thirsty,drink,6
poison,illness,sadness,cry,6
poison,illness,sick,rest,6
poison,illness,song,sing,6
poison,illness,thirst,drink,6
poison,illness,thirsty,drink,6
sadness,cry,sick,rest,6
sadness,cry,song,sing,6
sadness,cry,thirst,drink,6
sadness,cry,thirsty,drink,6
sick,rest,song,sing,6
sick,rest,thirst,drink,6
sick,rest,thirsty,drink,6
song,sing,thirst,drink,6
song,sing,thirsty,drink,6
thirst,drink,thirsty,drink,6
