abuja,nigeria,accra,ghana,2
ankara,asmara,turkey,eritrea,2
ankara,turkey,astana,kazakhstan,2
ankara,athens,turkey,greece,2
ankara,turkey,baghdad,iraq,2
ankara,baku,turkey,azerbaijan,2
ankara,turkey,bamako,mali,2
ankara,bangkok,turkey,thailand,2
ankara,turkey,banjul,gambia,2
ankara,beijing,turkey,china,2
ankara,turkey,beirut,lebanon,2
ankara,belgrade,turkey,serbia,2
ankara,turkey,belmopan,belize,2
ankara,berlin,turkey,germany,2
ankara,turkey,bern,switzerland,2
ankara,bishkek,turkey,kyrgyzstan,2
ankara,turkey,bratislava,slovakia,2
ankara,brussels,turkey,belgium,2
ankara,turkey,bucharest,romania,2
ankara,budapest,turkey,hungary,2
ankara,turkey,bujumbura,burundi,2
ankara,cairo,turkey,egypt,2
ankara,turkey,canberra,australia,2
ankara,caracas,turkey,venezuela,2
ankara,turkey,chisinau,moldova,2
ankara,conakry,turkey,guinea,2
ankara,turkey,copenhagen,denmark,2
ankara,dakar,turkey,senegal,2
ankara,turkey,damascus,syria,2
ankara,dhaka,turkey,bangladesh,2
ankara,turkey,doha,qatar,2
ankara,dublin,turkey,ireland,2
ankara,turkey,dushanbe,tajikistan,2
ankara,funafuti,turkey,tuvalu,2
ankara,turkey,gaborone,botswana,2
ankara,georgetown,turkey,guyana,2
ankara,turkey,hanoi,vietnam,2
antananarivo,apia,madagascar,samoa,2
antananarivo,madagascar,ashgabat,turkmenistan,2
antananarivo,asmara,madagascar,eritrea,2
antananarivo,madagascar,astana,kazakhstan,2
antananarivo,athens,madagascar,greece,2
antananarivo,madagascar,baghdad,iraq,2
antananarivo,baku,madagascar,azerbaijan,2
antananarivo,madagascar,bamako,mali,2
antananarivo,bangkok,madagascar,thailand,2
antananarivo,madagascar,banjul,gambia,2
antananarivo,beijing,madagascar,china,2
antananarivo,madagascar,beirut,lebanon,2
antananarivo,belgrade,madagascar,serbia,2
antananarivo,madagascar,belmopan,belize,2
antananarivo,berlin,madagascar,germany,2
antananarivo,madagascar,bern,switzerland,2
antananarivo,bishkek,madagascar,kyrgyzstan,2
antananarivo,madagascar,bratislava,slovakia,2
antananarivo,brussels,madagascar,belgium,2
antananarivo,madagascar,bucharest,romania,2
antananarivo,budapest,madagascar,hungary,2
antananarivo,madagascar,bujumbura,burundi,2
antananarivo,cairo,madagascar,egypt,2
antananarivo,madagascar,canberra,australia,2
antananarivo,caracas,madagascar,venezuela,2
antananarivo,madagascar,chisinau,moldova,2
antananarivo,conakry,madagascar,guinea,2
antananarivo,madagascar,copenhagen,denmark,2
antananarivo,dakar,madagascar,senegal,2
antananarivo,madagascar,damascus,syria,2
antananarivo,dhaka,madagascar,bangladesh,2
antananarivo,madagascar,doha,qatar,2
antananarivo,dublin,madagascar,ireland,2
antananarivo,madagascar,dushanbe,tajikistan,2
antananarivo,funafuti,madagascar,tuvalu,2
antananarivo,madagascar,gaborone,botswana,2
antananarivo,georgetown,madagascar,guyana,2
antananarivo,madagascar,hanoi,vietnam,2
antananarivo,harare,madagascar,zimbabwe,2
apia,samoa,ashgabat,turkmenistan,2
apia,asmara,samoa,eritrea,2
apia,samoa,astana,kazakhstan,2
apia,athens,samoa,greece,2
apia,samoa,baghdad,iraq,2
apia,baku,samoa,azerbaijan,2
apia,samoa,bamako,mali,2
apia,bangkok,samoa,thailand,2
apia,samoa,banjul,gambia,2
apia,beijing,samoa,china,2
apia,samoa,beirut,lebanon,2
apia,belgrade,samoa,serbia,2
apia,samoa,belmopan,belize,2
apia,berlin,samoa,germany,2
apia,samoa,bern,switzerland,2
apia,bishkek,samoa,kyrgyzstan,2
apia,samoa,bratislava,slovakia,2
apia,brussels,samoa,belgium,2
apia,samoa,bucharest,romania,2
apia,budapest,samoa,hungary,2
apia,samoa,bujumbura,burundi,2
apia,cairo,samoa,egypt,2
apia,samoa,canberra,australia,2
apia,caracas,samoa,venezuela,2
apia,samoa,chisinau,moldova,2
apia,conakry,samoa,guinea,2
apia,samoa,copenhagen,denmark,2
apia,dakar,samoa,senegal,2
apia,samoa,damascus,syria,2
apia,dhaka,samoa,bangladesh,2
apia,samoa,doha,qatar,2
apia,dublin,samoa,ireland,2
apia,samoa,dushanbe,tajikistan,2
apia,funafuti,samoa,tuvalu,2
apia,samoa,gaborone,botswana,2
apia,georgetown,samoa,guyana,2
apia,samoa,hanoi,vietnam,2
apia,harare,samoa,zimbabwe,2
apia,samoa,havana,cuba,2
ashgabat,asmara,turkmenistan,eritrea,2
ashgabat,turkmenistan,astana,kazakhstan,2
ashgabat,athens,turkmenistan,greece,2
ashgabat,turkmenistan,baghdad,iraq,2
ashgabat,baku,turkmenistan,azerbaijan,2
ashgabat,turkmenistan,bamako,mali,2
ashgabat,bangkok,turkmenistan,thailand,2
ashgabat,turkmenistan,banjul,gambia,2
ashgabat,beijing,turkmenistan,china,2
ashgabat,turkmenistan,beirut,lebanon,2
ashgabat,belgrade,turkmenistan,serbia,2
ashgabat,turkmenistan,belmopan,belize,2
ashgabat,berlin,turkmenistan,germany,2
ashgabat,turkmenistan,bern,switzerland,2
ashgabat,bishkek,turkmenistan,kyrgyzstan,2
ashgabat,turkmenistan,bratislava,slovakia,2
ashgabat,brussels,turkmenistan,belgium,2
ashgabat,turkmenistan,bucharest,romania,2
ashgabat,budapest,turkmenistan,hungary,2
ashgabat,turkmenistan,bujumbura,burundi,2
ashgabat,cairo,turkmenistan,egypt,2
ashgabat,turkmenistan,canberra,australia,2
ashgabat,caracas,turkmenistan,venezuela,2
ashgabat,turkmenistan,chisinau,moldova,2
ashgabat,conakry,turkmenistan,guinea,2
ashgabat,turkmenistan,copenhagen,denmark,2
ashgabat,dakar,turkmenistan,senegal,2
ashgabat,turkmenistan,damascus,syria,2
ashgabat,dhaka,turkmenistan,bangladesh,2
ashgabat,turkmenistan,doha,qatar,2
ashgabat,dublin,turkmenistan,ireland,2
ashgabat,turkmenistan,dushanbe,tajikistan,2
ashgabat,funafuti,turkmenistan,tuvalu,2
ashgabat,turkmenistan,gaborone,botswana,2
ashgabat,georgetown,turkmenistan,guyana,2
ashgabat,turkmenistan,hanoi,vietnam,2
ashgabat,harare,turkmenistan,zimbabwe,2
ashgabat,turkmenistan,havana,cuba,2
ashgabat,helsinki,turkmenistan,finland,2
asmara,eritrea,astana,kazakhstan,2
asmara,athens,eritrea,greece,2
asmara,eritrea,baghdad,iraq,2
asmara,baku,eritrea,azerbaijan,2
asmara,eritrea,bamako,mali,2
asmara,bangkok,eritrea,thailand,2
asmara,eritrea,banjul,gambia,2
asmara,beijing,eritrea,china,2
asmara,eritrea,beirut,lebanon,2
asmara,belgrade,eritrea,serbia,2
asmara,eritrea,belmopan,belize,2
asmara,berlin,eritrea,germany,2
asmara,eritrea,bern,switzerland,2
asmara,bishkek,eritrea,kyrgyzstan,2
asmara,eritrea,bratislava,slovakia,2
asmara,brussels,eritrea,belgium,2
asmara,eritrea,bucharest,romania,2
asmara,budapest,eritrea,hungary,2
asmara,eritrea,bujumbura,burundi,2
asmara,cairo,eritrea,egypt,2
asmara,eritrea,canberra,australia,2
asmara,caracas,eritrea,venezuela,2
asmara,eritrea,chisinau,moldova,2
asmara,conakry,eritrea,guinea,2
asmara,eritrea,copenhagen,denmark,2
asmara,dakar,eritrea,senegal,2
asmara,eritrea,damascus,syria,2
asmara,dhaka,eritrea,bangladesh,2
asmara,eritrea,doha,qatar,2
asmara,dublin,eritrea,ireland,2
asmara,eritrea,dushanbe,tajikistan,2
asmara,funafuti,eritrea,tuvalu,2
asmara,eritrea,gaborone,botswana,2
asmara,georgetown,eritrea,guyana,2
asmara,eritrea,hanoi,vietnam,2
asmara,harare,eritrea,zimbabwe,2
asmara,eritrea,havana,cuba,2
asmara,helsinki,eritrea,finland,2
asmara,eritrea,islamabad,pakistan,2
astana,athens,kazakhstan,greece,2
astana,kazakhstan,baghdad,iraq,2
astana,baku,kazakhstan,azerbaijan,2
astana,kazakhstan,bamako,mali,2
astana,bangkok,kazakhstan,thailand,2
astana,kazakhstan,banjul,gambia,2
astana,beijing,kazakhstan,china,2
astana,kazakhstan,beirut,lebanon,2
astana,belgrade,kazakhstan,serbia,2
astana,kazakhstan,belmopan,belize,2
astana,berlin,kazakhstan,germany,2
astana,kazakhstan,bern,switzerland,2
astana,bishkek,kazakhstan,kyrgyzstan,2
astana,kazakhstan,bratislava,slovakia,2
astana,brussels,kazakhstan,belgium,2
astana,kazakhstan,bucharest,romania,2
astana,budapest,kazakhstan,hungary,2
astana,kazakhstan,bujumbura,burundi,2
astana,cairo,kazakhstan,egypt,2
astana,kazakhstan,canberra,australia,2
astana,caracas,kazakhstan,venezuela,2
astana,kazakhstan,chisinau,moldova,2
astana,conakry,kazakhstan,guinea,2
astana,kazakhstan,copenhagen,denmark,2
astana,dakar,kazakhstan,senegal,2
astana,kazakhstan,damascus,syria,2
astana,dhaka,kazakhstan,bangladesh,2
astana,kazakhstan,doha,qatar,2
astana,dublin,kazakhstan,ireland,2
astana,kazakhstan,dushanbe,tajikistan,2
astana,funafuti,kazakhstan,tuvalu,2
astana,kazakhstan,gaborone,botswana,2
astana,georgetown,kazakhstan,guyana,2
astana,kazakhstan,hanoi,vietnam,2
astana,harare,kazakhstan,zimbabwe,2
astana,kazakhstan,havana,cuba,2
astana,helsinki,kazakhstan,finland,2
astana,kazakhstan,islamabad,pakistan,2
astana,jakarta,kazakhstan,indonesia,2
athens,greece,baghdad,iraq,2
athens,baku,greece,azerbaijan,2
athens,greece,bamako,mali,2
athens,bangkok,greece,thailand,2
athens,greece,banjul,gambia,2
athens,beijing,greece,china,2
athens,greece,beirut,lebanon,2
athens,belgrade,greece,serbia,2
athens,greece,belmopan,belize,2
athens,berlin,greece,germany,2
athens,greece,bern,switzerland,2
athens,bishkek,greece,kyrgyzstan,2
athens,greece,bratislava,slovakia,2
athens,brussels,greece,belgium,2
athens,greece,bucharest,romania,2
athens,budapest,greece,hungary,2
athens,greece,bujumbura,burundi,2
athens,cairo,greece,egypt,2
athens,greece,canberra,australia,2
athens,caracas,greece,venezuela,2
athens,greece,chisinau,moldova,2
athens,conakry,greece,guinea,2
athens,greece,copenhagen,denmark,2
athens,dakar,greece,senegal,2
athens,greece,damascus,syria,2
athens,dhaka,greece,bangladesh,2
athens,greece,doha,qatar,2
athens,dublin,greece,ireland,2
athens,greece,dushanbe,tajikistan,2
athens,funafuti,greece,tuvalu,2
athens,greece,gaborone,botswana,2
athens,georgetown,greece,guyana,2
athens,greece,hanoi,vietnam,2
athens,harare,greece,zimbabwe,2
athens,greece,havana,cuba,2
athens,helsinki,greece,finland,2
athens,greece,islamabad,pakistan,2
athens,jakarta,greece,indonesia,2
athens,greece,kabul,afghanistan,2
baghdad,baku,iraq,azerbaijan,2
baghdad,iraq,bamako,mali,2
baghdad,bangkok,iraq,thailand,2
baghdad,iraq,banjul,gambia,2
baghdad,beijing,iraq,china,2
baghdad,iraq,beirut,lebanon,2
baghdad,belgrade,iraq,serbia,2
baghdad,iraq,belmopan,belize,2
baghdad,berlin,iraq,germany,2
baghdad,iraq,bern,switzerland,2
baghdad,bishkek,iraq,kyrgyzstan,2
baghdad,iraq,bratislava,slovakia,2
baghdad,brussels,iraq,belgium,2
baghdad,iraq,bucharest,romania,2
baghdad,budapest,iraq,hungary,2
baghdad,iraq,bujumbura,burundi,2
baghdad,cairo,iraq,egypt,2
baghdad,iraq,canberra,australia,2
baghdad,caracas,iraq,venezuela,2
baghdad,iraq,chisinau,moldova,2
baghdad,conakry,iraq,guinea,2
baghdad,iraq,copenhagen,denmark,2
baghdad,dakar,iraq,senegal,2
baghdad,iraq,damascus,syria,2
baghdad,dhaka,iraq,bangladesh,2
baghdad,iraq,doha,qatar,2
baghdad,dublin,iraq,ireland,2
baghdad,iraq,dushanbe,tajikistan,2
baghdad,funafuti,iraq,tuvalu,2
baghdad,iraq,gaborone,botswana,2
baghdad,georgetown,iraq,guyana,2
baghdad,iraq,hanoi,vietnam,2
baghdad,harare,iraq,zimbabwe,2
baghdad,iraq,havana,cuba,2
baghdad,helsinki,iraq,finland,2
baghdad,iraq,islamabad,pakistan,2
baghdad,jakarta,iraq,indonesia,2
baghdad,iraq,kabul,afghanistan,2
baghdad,kampala,iraq,uganda,2
baku,azerbaijan,bamako,mali,2
baku,bangkok,azerbaijan,thailand,2
baku,azerbaijan,banjul,gambia,2
baku,beijing,azerbaijan,china,2
baku,azerbaijan,beirut,lebanon,2
baku,belgrade,azerbaijan,serbia,2
baku,azerbaijan,belmopan,belize,2
baku,berlin,azerbaijan,germany,2
baku,azerbaijan,bern,switzerland,2
baku,bishkek,azerbaijan,kyrgyzstan,2
baku,azerbaijan,bratislava,slovakia,2
baku,brussels,azerbaijan,belgium,2
baku,azerbaijan,bucharest,romania,2
baku,budapest,azerbaijan,hungary,2
baku,azerbaijan,bujumbura,burundi,2
baku,cairo,azerbaijan,egypt,2
baku,azerbaijan,canberra,australia,2
baku,caracas,azerbaijan,venezuela,2
baku,azerbaijan,chisinau,moldova,2
baku,conakry,azerbaijan,guinea,2
baku,azerbaijan,copenhagen,denmark,2
baku,dakar,azerbaijan,senegal,2
baku,azerbaijan,damascus,syria,2
baku,dhaka,azerbaijan,bangladesh,2
baku,azerbaijan,doha,qatar,2
baku,dublin,azerbaijan,ireland,2
baku,azerbaijan,dushanbe,tajikistan,2
baku,funafuti,azerbaijan,tuvalu,2
baku,azerbaijan,gaborone,botswana,2
baku,georgetown,azerbaijan,guyana,2
baku,azerbaijan,hanoi,vietnam,2
baku,harare,azerbaijan,zimbabwe,2
baku,azerbaijan,havana,cuba,2
baku,helsinki,azerbaijan,finland,2
baku,azerbaijan,islamabad,pakistan,2
baku,jakarta,azerbaijan,indonesia,2
baku,azerbaijan,kabul,afghanistan,2
baku,kampala,azerbaijan,uganda,2
baku,azerbaijan,kathmandu,nepal,2
bamako,bangkok,mali,thailand,2
bamako,mali,banjul,gambia,2
bamako,beijing,mali,china,2
bamako,mali,beirut,lebanon,2
bamako,belgrade,mali,serbia,2
bamako,mali,belmopan,belize,2
bamako,berlin,mali,germany,2
bamako,mali,bern,switzerland,2
bamako,bishkek,mali,kyrgyzstan,2
bamako,mali,bratislava,slovakia,2
bamako,brussels,mali,belgium,2
bamako,mali,bucharest,romania,2
bamako,budapest,mali,hungary,2
bamako,mali,bujumbura,burundi,2
bamako,cairo,mali,egypt,2
bamako,mali,canberra,australia,2
bamako,caracas,mali,venezuela,2
bamako,mali,chisinau,moldova,2
bamako,conakry,mali,guinea,2
bamako,mali,copenhagen,denmark,2
bamako,dakar,mali,senegal,2
bamako,mali,damascus,syria,2
bamako,dhaka,mali,bangladesh,2
bamako,mali,doha,qatar,2
bamako,dublin,mali,ireland,2
bamako,mali,dushanbe,tajikistan,2
bamako,funafuti,mali,tuvalu,2
bamako,mali,gaborone,botswana,2
bamako,georgetown,mali,guyana,2
bamako,mali,hanoi,vietnam,2
bamako,harare,mali,zimbabwe,2
bamako,mali,havana,cuba,2
bamako,helsinki,mali,finland,2
bamako,mali,islamabad,pakistan,2
bamako,jakarta,mali,indonesia,2
bamako,mali,kabul,afghanistan,2
bamako,kampala,mali,uganda,2
bamako,mali,kathmandu,nepal,2
bamako,khartoum,mali,sudan,2
bangkok,thailand,banjul,gambia,2
bangkok,beijing,thailand,china,2
bangkok,thailand,beirut,lebanon,2
bangkok,belgrade,thailand,serbia,2
bangkok,thailand,belmopan,belize,2
bangkok,berlin,thailand,germany,2
bangkok,thailand,bern,switzerland,2
bangkok,bishkek,thailand,kyrgyzstan,2
bangkok,thailand,bratislava,slovakia,2
bangkok,brussels,thailand,belgium,2
bangkok,thailand,bucharest,romania,2
bangkok,budapest,thailand,hungary,2
bangkok,thailand,bujumbura,burundi,2
bangkok,cairo,thailand,egypt,2
bangkok,thailand,canberra,australia,2
bangkok,caracas,thailand,venezuela,2
bangkok,thailand,chisinau,moldova,2
bangkok,conakry,thailand,guinea,2
bangkok,thailand,copenhagen,denmark,2
bangkok,dakar,thailand,senegal,2
bangkok,thailand,damascus,syria,2
bangkok,dhaka,thailand,bangladesh,2
bangkok,thailand,doha,qatar,2
bangkok,dublin,thailand,ireland,2
bangkok,thailand,dushanbe,tajikistan,2
bangkok,funafuti,thailand,tuvalu,2
bangkok,thailand,gaborone,botswana,2
bangkok,georgetown,thailand,guyana,2
bangkok,thailand,hanoi,vietnam,2
bangkok,harare,thailand,zimbabwe,2
bangkok,thailand,havana,cuba,2
bangkok,helsinki,thailand,finland,2
bangkok,thailand,islamabad,pakistan,2
bangkok,jakarta,thailand,indonesia,2
bangkok,thailand,kabul,afghanistan,2
bangkok,kampala,thailand,uganda,2
bangkok,thailand,kathmandu,nepal,2
bangkok,khartoum,thailand,sudan,2
bangkok,thailand,kiev,ukraine,2
banjul,beijing,gambia,china,2
banjul,gambia,beirut,lebanon,2
banjul,belgrade,gambia,serbia,2
banjul,gambia,belmopan,belize,2
banjul,berlin,gambia,germany,2
banjul,gambia,bern,switzerland,2
banjul,bishkek,gambia,kyrgyzstan,2
banjul,gambia,bratislava,slovakia,2
banjul,brussels,gambia,belgium,2
banjul,gambia,bucharest,romania,2
banjul,budapest,gambia,hungary,2
banjul,gambia,bujumbura,burundi,2
banjul,cairo,gambia,egypt,2
banjul,gambia,canberra,australia,2
banjul,caracas,gambia,venezuela,2
banjul,gambia,chisinau,moldova,2
banjul,conakry,gambia,guinea,2
banjul,gambia,copenhagen,denmark,2
banjul,dakar,gambia,senegal,2
banjul,gambia,damascus,syria,2
banjul,dhaka,gambia,bangladesh,2
banjul,gambia,doha,qatar,2
banjul,dublin,gambia,ireland,2
banjul,gambia,dushanbe,tajikistan,2
banjul,funafuti,gambia,tuvalu,2
banjul,gambia,gaborone,botswana,2
banjul,georgetown,gambia,guyana,2
banjul,gambia,hanoi,vietnam,2
banjul,harare,gambia,zimbabwe,2
banjul,gambia,havana,cuba,2
banjul,helsinki,gambia,finland,2
banjul,gambia,islamabad,pakistan,2
banjul,jakarta,gambia,indonesia,2
banjul,gambia,kabul,afghanistan,2
banjul,kampala,gambia,uganda,2
banjul,gambia,kathmandu,nepal,2
banjul,khartoum,gambia,sudan,2
banjul,gambia,kiev,ukraine,2
banjul,kigali,gambia,rwanda,2
beijing,china,beirut,lebanon,2
beijing,belgrade,china,serbia,2
beijing,china,belmopan,belize,2
beijing,berlin,china,germany,2
beijing,china,bern,switzerland,2
beijing,bishkek,china,kyrgyzstan,2
beijing,china,bratislava,slovakia,2
beijing,brussels,china,belgium,2
beijing,china,bucharest,romania,2
beijing,budapest,china,hungary,2
beijing,china,bujumbura,burundi,2
beijing,cairo,china,egypt,2
beijing,china,canberra,australia,2
beijing,caracas,china,venezuela,2
beijing,china,chisinau,moldova,2
beijing,conakry,china,guinea,2
beijing,china,copenhagen,denmark,2
beijing,dakar,china,senegal,2
beijing,china,damascus,syria,2
beijing,dhaka,china,bangladesh,2
beijing,china,doha,qatar,2
beijing,dublin,china,ireland,2
beijing,china,dushanbe,tajikistan,2
beijing,funafuti,china,tuvalu,2
beijing,china,gaborone,botswana,2
beijing,georgetown,china,guyana,2
beijing,china,hanoi,vietnam,2
beijing,harare,china,zimbabwe,2
beijing,china,havana,cuba,2
beijing,helsinki,china,finland,2
beijing,china,islamabad,pakistan,2
beijing,jakarta,china,indonesia,2
beijing,china,kabul,afghanistan,2
beijing,kampala,china,uganda,2
beijing,china,kathmandu,nepal,2
beijing,khartoum,china,sudan,2
beijing,china,kiev,ukraine,2
beijing,kigali,china,rwanda,2
beijing,china,kingston,jamaica,2
beirut,belgrade,lebanon,serbia,2
beirut,lebanon,belmopan,belize,2
beirut,berlin,lebanon,germany,2
beirut,lebanon,bern,switzerland,2
beirut,bishkek,lebanon,kyrgyzstan,2
beirut,lebanon,bratislava,slovakia,2
beirut,brussels,lebanon,belgium,2
beirut,lebanon,bucharest,romania,2
beirut,budapest,lebanon,hungary,2
beirut,lebanon,bujumbura,burundi,2
beirut,cairo,lebanon,egypt,2
beirut,lebanon,canberra,australia,2
beirut,caracas,lebanon,venezuela,2
beirut,lebanon,chisinau,moldova,2
beirut,conakry,lebanon,guinea,2
beirut,lebanon,copenhagen,denmark,2
beirut,dakar,lebanon,senegal,2
beirut,lebanon,damascus,syria,2
beirut,dhaka,lebanon,bangladesh,2
beirut,lebanon,doha,qatar,2
beirut,dublin,lebanon,ireland,2
beirut,lebanon,dushanbe,tajikistan,2
beirut,funafuti,lebanon,tuvalu,2
beirut,lebanon,gaborone,botswana,2
beirut,georgetown,lebanon,guyana,2
beirut,lebanon,hanoi,vietnam,2
beirut,harare,lebanon,zimbabwe,2
beirut,lebanon,havana,cuba,2
beirut,helsinki,lebanon,finland,2
beirut,lebanon,islamabad,pakistan,2
beirut,jakarta,lebanon,indonesia,2
beirut,lebanon,kabul,afghanistan,2
beirut,kampala,lebanon,uganda,2
beirut,lebanon,kathmandu,nepal,2
beirut,khartoum,lebanon,sudan,2
beirut,lebanon,kiev,ukraine,2
beirut,kigali,lebanon,rwanda,2
beirut,lebanon,kingston,jamaica,2
beirut,libreville,lebanon,gabon,2
belgrade,serbia,belmopan,belize,2
belgrade,berlin,serbia,germany,2
belgrade,serbia,bern,switzerland,2
belgrade,bishkek,serbia,kyrgyzstan,2
belgrade,serbia,bratislava,slovakia,2
belgrade,brussels,serbia,belgium,2
belgrade,serbia,bucharest,romania,2
belgrade,budapest,serbia,hungary,2
belgrade,serbia,bujumbura,burundi,2
belgrade,cairo,serbia,egypt,2
belgrade,serbia,canberra,australia,2
belgrade,caracas,serbia,venezuela,2
belgrade,serbia,chisinau,moldova,2
belgrade,conakry,serbia,guinea,2
belgrade,serbia,copenhagen,denmark,2
belgrade,dakar,serbia,senegal,2
belgrade,serbia,damascus,syria,2
belgrade,dhaka,serbia,bangladesh,2
belgrade,serbia,doha,qatar,2
belgrade,dublin,serbia,ireland,2
