algeria,dinar,angola,kwanza,3
canada,dollar,iran,rial,3
canada,japan,dollar,yen,3
canada,dollar,korea,won,3
canada,latvia,dollar,lats,3
canada,dollar,lithuania,litas,3
canada,macedonia,dollar,denar,3
canada,dollar,malaysia,ringgit,3
canada,mexico,dollar,peso,3
canada,dollar,nigeria,naira,3
canada,poland,dollar,zloty,3
canada,dollar,romania,leu,3
canada,russia,dollar,ruble,3
canada,dollar,sweden,krona,3
canada,thailand,dollar,baht,3
canada,dollar,ukraine,hryvnia,3
canada,vietnam,dollar,dong,3
croatia,kuna,denmark,krone,3
croatia,europe,kuna,euro,3
croatia,kuna,hungary,forint,3
croatia,india,kuna,rupee,3
croatia,kuna,iran,rial,3
croatia,japan,kuna,yen,3
croatia,kuna,korea,won,3
croatia,latvia,kuna,lats,3
croatia,kuna,lithuania,litas,3
croatia,macedonia,kuna,denar,3
croatia,kuna,malaysia,ringgit,3
croatia,mexico,kuna,peso,3
croatia,kuna,nigeria,naira,3
croatia,poland,kuna,zloty,3
croatia,kuna,romania,leu,3
croatia,russia,kuna,ruble,3
croatia,kuna,sweden,krona,3
croatia,thailand,kuna,baht,3
croatia,kuna,ukraine,hryvnia,3
croatia,usa,kuna,dollar,3
croatia,kuna,vietnam,dong,3
denmark,europe,krone,euro,3
denmark,krone,hungary,forint,3
denmark,india,krone,rupee,3
denmark,krone,iran,rial,3
denmark,japan,krone,yen,3
denmark,krone,korea,won,3
denmark,latvia,krone,lats,3
denmark,krone,lithuania,litas,3
denmark,macedonia,krone,denar,3
denmark,krone,malaysia,ringgit,3
denmark,mexico,krone,peso,3
denmark,krone,nigeria,naira,3
denmark,poland,krone,zloty,3
denmark,krone,romania,leu,3
denmark,russia,krone,ruble,3
denmark,krone,sweden,krona,3
denmark,thailand,krone,baht,3
denmark,krone,ukraine,hryvnia,3
denmark,usa,krone,dollar,3
denmark,krone,vietnam,dong,3
europe,hungary,euro,forint,3
europe,euro,india,rupee,3
europe,iran,euro,rial,3
europe,euro,japan,yen,3
europe,korea,euro,won,3
europe,euro,latvia,lats,3
europe,lithuania,euro,litas,3
europe,euro,macedonia,denar,3
europe,malaysia,euro,ringgit,3
europe,euro,mexico,peso,3
europe,nigeria,euro,naira,3
europe,euro,poland,zloty,3
europe,romania,euro,leu,3
europe,euro,russia,ruble,3
europe,sweden,euro,krona,3
europe,euro,thailand,baht,3
europe,ukraine,euro,hryvnia,3
europe,euro,usa,dollar,3
europe,vietnam,euro,dong,3
hungary,forint,india,rupee,3
hungary,iran,forint,rial,3
hungary,forint,japan,yen,3
hungary,korea,forint,won,3
hungary,forint,latvia,lats,3
hungary,lithuania,forint,litas,3
hungary,forint,macedonia,denar,3
hungary,malaysia,forint,ringgit,3
hungary,forint,mexico,peso,3
hungary,nigeria,forint,naira,3
hungary,forint,poland,zloty,3
hungary,romania,forint,leu,3
hungary,forint,russia,ruble,3
hungary,sweden,forint,krona,3
hungary,forint,thailand,baht,3
hungary,ukraine,forint,hryvnia,3
hungary,forint,usa,dollar,3
hungary,vietnam,forint,dong,3
india,rupee,iran,rial,3
india,japan,rupee,yen,3
india,rupee,korea,won,3
india,latvia,rupee,lats,3
india,rupee,lithuania,litas,3
india,macedonia,rupee,denar,3
india,rupee,malaysia,ringgit,3
india,mexico,rupee,peso,3
india,rupee,nigeria,naira,3
india,poland,rupee,zloty,3
india,rupee,romania,leu,3
india,russia,rupee,ruble,3
india,rupee,sweden,krona,3
india,thailand,rupee,baht,3
india,rupee,ukraine,hryvnia,3
india,usa,rupee,dollar,3
india,rupee,vietnam,dong,3
iran,japan,rial,yen,3
iran,rial,korea,won,3
iran,latvia,rial,lats,3
iran,rial,lithuania,litas,3
iran,macedonia,rial,denar,3
iran,rial,malaysia,ringgit,3
iran,mexico,rial,peso,3
iran,rial,nigeria,naira,3
iran,poland,rial,zloty,3
iran,rial,romania,leu,3
iran,russia,rial,ruble,3
iran,rial,sweden,krona,3
iran,thailand,rial,baht,3
iran,rial,ukraine,hryvnia,3
iran,usa,rial,dollar,3
iran,rial,vietnam,dong,3
japan,korea,yen,won,3
japan,yen,latvia,lats,3
japan,lithuania,yen,litas,3
japan,yen,macedonia,denar,3
japan,malaysia,yen,ringgit,3
japan,yen,mexico,peso,3
japan,nigeria,yen,naira,3
japan,yen,poland,zloty,3
japan,romania,yen,leu,3
japan,yen,russia,ruble,3
japan,sweden,yen,krona,3
japan,yen,thailand,baht,3
japan,ukraine,yen,hryvnia,3
japan,yen,usa,dollar,3
japan,vietnam,yen,dong,3
korea,won,latvia,lats,3
korea,lithuania,won,litas,3
korea,won,macedonia,denar,3
korea,malaysia,won,ringgit,3
korea,won,mexico,peso,3
korea,nigeria,won,naira,3
korea,won,poland,zloty,3
korea,romania,won,leu,3
korea,won,russia,ruble,3
korea,sweden,won,krona,3
korea,won,thailand,baht,3
korea,ukraine,won,hryvnia,3
korea,won,usa,dollar,3
korea,vietnam,won,dong,3
latvia,lats,lithuania,litas,3
latvia,macedonia,lats,denar,3
latvia,lats,malaysia,ringgit,3
latvia,mexico,lats,peso,3
latvia,lats,nigeria,naira,3
latvia,poland,lats,zloty,3
latvia,lats,romania,leu,3
latvia,russia,lats,ruble,3
latvia,lats,sweden,krona,3
latvia,thailand,lats,baht,3
latvia,lats,ukraine,hryvnia,3
latvia,usa,lats,dollar,3
latvia,lats,vietnam,dong,3
lithuania,macedonia,litas,denar,3
lithuania,litas,malaysia,ringgit,3
lithuania,mexico,litas,peso,3
lithuania,litas,nigeria,naira,3
lithuania,poland,litas,zloty,3
lithuania,litas,romania,leu,3
lithuania,russia,litas,ruble,3
lithuania,litas,sweden,krona,3
lithuania,thailand,litas,baht,3
lithuania,litas,ukraine,hryvnia,3
lithuania,usa,litas,dollar,3
lithuania,litas,vietnam,dong,3
macedonia,malaysia,denar,ringgit,3
macedonia,denar,mexico,peso,3
macedonia,nigeria,denar,naira,3
macedonia,denar,poland,zloty,3
macedonia,romania,denar,leu,3
macedonia,denar,russia,ruble,3
macedonia,sweden,denar,krona,3
macedonia,denar,thailand,baht,3
macedonia,ukraine,denar,hryvnia,3
macedonia,denar,usa,dollar,3
macedonia,vietnam,denar,dong,3
malaysia,ringgit,mexico,peso,3
malaysia,nigeria,ringgit,naira,3
malaysia,ringgit,poland,zloty,3
malaysia,romania,ringgit,leu,3
malaysia,ringgit,russia,ruble,3
malaysia,sweden,ringgit,krona,3
malaysia,ringgit,thailand,baht,3
malaysia,ukraine,ringgit,hryvnia,3
malaysia,ringgit,usa,dollar,3
malaysia,vietnam,ringgit,dong,3
mexico,peso,nigeria,naira,3
mexico,poland,peso,zloty,3
mexico,peso,romania,leu,3
mexico,russia,peso,ruble,3
mexico,peso,sweden,krona,3
mexico,thailand,peso,baht,3
mexico,peso,ukraine,hryvnia,3
mexico,usa,peso,dollar,3
mexico,peso,vietnam,dong,3
nigeria,poland,naira,zloty,3
nigeria,naira,romania,leu,3
nigeria,russia,naira,ruble,3
nigeria,naira,sweden,krona,3
nigeria,thailand,naira,baht,3
nigeria,naira,ukraine,hryvnia,3
nigeria,usa,naira,dollar,3
nigeria,naira,vietnam,dong,3
poland,romania,zloty,leu,3
poland,zloty,russia,ruble,3
poland,sweden,zloty,krona,3
poland,zloty,thailand,baht,3
poland,ukraine,zloty,hryvnia,3
poland,zloty,usa,dollar,3
poland,vietnam,zloty,dong,3
romania,leu,russia,ruble,3
romania,sweden,leu,krona,3
romania,leu,thailand,baht,3
romania,ukraine,leu,hryvnia,3
romania,leu,usa,dollar,3
romania,vietnam,leu,dong,3
russia,ruble,sweden,krona,3
russia,thailand,ruble,baht,3
russia,ruble,ukraine,hryvnia,3
russia,usa,ruble,dollar,3
russia,ruble,vietnam,dong,3
sweden,thailand,krona,baht,3
sweden,krona,ukraine,hryvnia,3
sweden,usa,krona,dollar,3
sweden,krona,vietnam,dong,3
thailand,ukraine,baht,hryvnia,3
thailand,baht,usa,dollar,3
thailand,vietnam,baht,dong,3
ukraine,hryvnia,usa,dollar,3
ukraine,vietnam,hryvnia,dong,3
usa,dollar,vietnam,dong,3
