boy,girl,brother,sister,5
prince,princess,stepbrother,stepsister,5
prince,stepfather,princess,stepmother,5
prince,princess,stepson,stepdaughter,5
prince,uncle,princess,aunt,5
son,daughter,sons,daughters,5
son,stepbrother,daughter,stepsister,5
son,daughter,stepfather,stepmother,5
son,stepson,daughter,stepdaughter,5
son,daughter,uncle,aunt,5
sons,stepbrother,daughters,stepsister,5
sons,daughters,stepfather,stepmother,5
sons,stepson,daughters,stepdaughter,5
sons,daughters,uncle,aunt,5
stepbrother,stepfather,stepsister,stepmother,5
stepbrother,stepsister,stepson,stepdaughter,5
stepbrother,uncle,stepsister,aunt,5
stepfather,stepmother,stepson,stepdaughter,5
stepfather,uncle,stepmother,aunt,5
stepson,stepdaughter,uncle,aunt,5
