dancing,danced,decreasing,decreased,12
describing,hiding,described,hid,12
describing,described,hitting,hit,12
describing,implementing,described,implemented,12
describing,described,increasing,increased,12
describing,jumping,described,jumped,12
describing,described,knowing,knew,12
describing,listening,described,listened,12
describing,described,looking,looked,12
describing,moving,described,moved,12
describing,described,paying,paid,12
describing,playing,described,played,12
describing,described,predicting,predicted,12
describing,reading,described,read,12
describing,described,running,ran,12
describing,saying,described,said,12
describing,described,screaming,screamed,12
describing,seeing,described,saw,12
describing,described,selling,sold,12
describing,shrinking,described,shrank,12
describing,described,singing,sang,12
describing,sitting,described,sat,12
describing,described,sleeping,slept,12
describing,slowing,described,slowed,12
describing,described,spending,spent,12
describing,striking,described,struck,12
describing,described,swimming,swam,12
describing,taking,described,took,12
describing,described,thinking,thought,12
describing,vanishing,described,vanished,12
describing,described,walking,walked,12
describing,writing,described,wrote,12
enhancing,enhanced,falling,fell,12
enhancing,feeding,enhanced,fed,12
enhancing,enhanced,flying,flew,12
enhancing,generating,enhanced,generated,12
enhancing,enhanced,going,went,12
enhancing,hiding,enhanced,hid,12
enhancing,enhanced,hitting,hit,12
enhancing,implementing,enhanced,implemented,12
enhancing,enhanced,increasing,increased,12
enhancing,jumping,enhanced,jumped,12
enhancing,enhanced,knowing,knew,12
enhancing,listening,enhanced,listened,12
enhancing,enhanced,looking,looked,12
enhancing,moving,enhanced,moved,12
enhancing,enhanced,paying,paid,12
enhancing,playing,enhanced,played,12
enhancing,enhanced,predicting,predicted,12
enhancing,reading,enhanced,read,12
enhancing,enhanced,running,ran,12
enhancing,saying,enhanced,said,12
enhancing,enhanced,screaming,screamed,12
enhancing,seeing,enhanced,saw,12
enhancing,enhanced,selling,sold,12
enhancing,shrinking,enhanced,shrank,12
enhancing,enhanced,singing,sang,12
enhancing,sitting,enhanced,sat,12
enhancing,enhanced,sleeping,slept,12
enhancing,slowing,enhanced,slowed,12
enhancing,enhanced,spending,spent,12
enhancing,striking,enhanced,struck,12
enhancing,enhanced,swimming,swam,12
enhancing,taking,enhanced,took,12
enhancing,enhanced,thinking,thought,12
enhancing,vanishing,enhanced,vanished,12
enhancing,enhanced,walking,walked,12
enhancing,writing,enhanced,wrote,12
falling,fell,feeding,fed,12
falling,flying,fell,flew,12
falling,fell,generating,generated,12
falling,going,fell,went,12
falling,fell,hiding,hid,12
falling,hitting,fell,hit,12
falling,fell,implementing,implemented,12
falling,increasing,fell,increased,12
falling,fell,jumping,jumped,12
falling,knowing,fell,knew,12
falling,fell,listening,listened,12
falling,looking,fell,looked,12
falling,fell,moving,moved,12
falling,paying,fell,paid,12
falling,fell,playing,played,12
falling,predicting,fell,predicted,12
falling,fell,reading,read,12
falling,running,fell,ran,12
falling,fell,saying,said,12
falling,screaming,fell,screamed,12
falling,fell,seeing,saw,12
falling,selling,fell,sold,12
falling,fell,shrinking,shrank,12
falling,singing,fell,sang,12
falling,fell,sitting,sat,12
falling,sleeping,fell,slept,12
falling,fell,slowing,slowed,12
falling,spending,fell,spent,12
falling,fell,striking,struck,12
falling,swimming,fell,swam,12
falling,fell,taking,took,12
falling,thinking,fell,thought,12
falling,fell,vanishing,vanished,12
falling,walking,fell,walked,12
falling,fell,writing,wrote,12
feeding,flying,fed,flew,12
feeding,fed,generating,generated,12
feeding,going,fed,went,12
feeding,fed,hiding,hid,12
feeding,hitting,fed,hit,12
feeding,fed,implementing,implemented,12
feeding,increasing,fed,increased,12
feeding,fed,jumping,jumped,12
feeding,knowing,fed,knew,12
feeding,fed,listening,listened,12
feeding,looking,fed,looked,12
feeding,fed,moving,moved,12
feeding,paying,fed,paid,12
feeding,fed,playing,played,12
feeding,predicting,fed,predicted,12
feeding,fed,reading,read,12
feeding,running,fed,ran,12
feeding,fed,saying,said,12
feeding,screaming,fed,screamed,12
feeding,fed,seeing,saw,12
feeding,selling,fed,sold,12
feeding,fed,shrinking,shrank,12
feeding,singing,fed,sang,12
feeding,fed,sitting,sat,12
feeding,sleeping,fed,slept,12
feeding,fed,slowing,slowed,12
feeding,spending,fed,spent,12
feeding,fed,striking,struck,12
feeding,swimming,fed,swam,12
feeding,fed,taking,took,12
feeding,thinking,fed,thought,12
feeding,fed,vanishing,vanished,12
feeding,walking,fed,walked,12
feeding,fed,writing,wrote,12
flying,generating,flew,generated,12
flying,flew,going,went,12
flying,hiding,flew,hid,12
flying,flew,hitting,hit,12
flying,implementing,flew,implemented,12
flying,flew,increasing,increased,12
flying,jumping,flew,jumped,12
flying,flew,knowing,knew,12
flying,listening,flew,listened,12
flying,flew,looking,looked,12
flying,moving,flew,moved,12
flying,flew,paying,paid,12
flying,playing,flew,played,12
flying,flew,predicting,predicted,12
flying,reading,flew,read,12
flying,flew,running,ran,12
flying,saying,flew,said,12
flying,flew,screaming,screamed,12
flying,seeing,flew,saw,12
flying,flew,selling,sold,12
flying,shrinking,flew,shrank,12
flying,flew,singing,sang,12
flying,sitting,flew,sat,12
flying,flew,sleeping,slept,12
flying,slowing,flew,slowed,12
flying,flew,spending,spent,12
flying,striking,flew,struck,12
flying,flew,swimming,swam,12
flying,taking,flew,took,12
flying,flew,thinking,thought,12
flying,vanishing,flew,vanished,12
flying,flew,walking,walked,12
flying,writing,flew,wrote,12
generating,generated,going,went,12
generating,hiding,generated,hid,12
generating,generated,hitting,hit,12
generating,implementing,generated,implemented,12
generating,generated,increasing,increased,12
generating,jumping,generated,jumped,12
generating,generated,knowing,knew,12
generating,listening,generated,listened,12
generating,generated,looking,looked,12
generating,moving,generated,moved,12
generating,generated,paying,paid,12
generating,playing,generated,played,12
generating,generated,predicting,predicted,12
generating,reading,generated,read,12
generating,generated,running,ran,12
generating,saying,generated,said,12
generating,generated,screaming,screamed,12
generating,seeing,generated,saw,12
generating,generated,selling,sold,12
generating,shrinking,generated,shrank,12
generating,generated,singing,sang,12
generating,sitting,generated,sat,12
generating,generated,sleeping,slept,12
generating,slowing,generated,slowed,12
generating,generated,spending,spent,12
generating,striking,generated,struck,12
generating,generated,swimming,swam,12
generating,taking,generated,took,12
generating,generated,thinking,thought,12
generating,vanishing,generated,vanished,12
generating,generated,walking,walked,12
generating,writing,generated,wrote,12
going,went,hiding,hid,12
going,hitting,went,hit,12
going,went,implementing,implemented,12
going,increasing,went,increased,12
going,went,jumping,jumped,12
going,knowing,went,knew,12
going,went,listening,listened,12
going,looking,went,looked,12
going,went,moving,moved,12
going,paying,went,paid,12
going,went,playing,played,12
going,predicting,went,predicted,12
going,went,reading,read,12
going,running,went,ran,12
going,went,saying,said,12
going,screaming,went,screamed,12
going,went,seeing,saw,12
going,selling,went,sold,12
going,went,shrinking,shrank,12
going,singing,went,sang,12
going,went,sitting,sat,12
going,sleeping,went,slept,12
going,went,slowing,slowed,12
going,spending,went,spent,12
going,went,striking,struck,12
going,swimming,went,swam,12
going,went,taking,took,12
going,thinking,went,thought,12
going,went,vanishing,vanished,12
going,walking,went,walked,12
going,went,writing,wrote,12
hiding,hitting,hid,hit,12
hiding,hid,implementing,implemented,12
hiding,increasing,hid,increased,12
hiding,hid,jumping,jumped,12
hiding,knowing,hid,knew,12
hiding,hid,listening,listened,12
hiding,looking,hid,looked,12
hiding,hid,moving,moved,12
hiding,paying,hid,paid,12
hiding,hid,playing,played,12
hiding,predicting,hid,predicted,12
hiding,hid,reading,read,12
hiding,running,hid,ran,12
hiding,hid,saying,said,12
hiding,screaming,hid,screamed,12
hiding,hid,seeing,saw,12
hiding,selling,hid,sold,12
hiding,hid,shrinking,shrank,12
hiding,singing,hid,sang,12
hiding,hid,sitting,sat,12
hiding,sleeping,hid,slept,12
hiding,hid,slowing,slowed,12
hiding,spending,hid,spent,12
hiding,hid,striking,struck,12
hiding,swimming,hid,swam,12
hiding,hid,taking,took,12
hiding,thinking,hid,thought,12
hiding,hid,vanishing,vanished,12
hiding,walking,hid,walked,12
hiding,hid,writing,wrote,12
hitting,implementing,hit,implemented,12
hitting,hit,increasing,increased,12
hitting,jumping,hit,jumped,12
hitting,hit,knowing,knew,12
hitting,listening,hit,listened,12
hitting,hit,looking,looked,12
hitting,moving,hit,moved,12
hitting,hit,paying,paid,12
hitting,playing,hit,played,12
hitting,hit,predicting,predicted,12
hitting,reading,hit,read,12
hitting,hit,running,ran,12
hitting,saying,hit,said,12
hitting,hit,screaming,screamed,12
hitting,seeing,hit,saw,12
hitting,hit,selling,sold,12
hitting,shrinking,hit,shrank,12
hitting,hit,singing,sang,12
hitting,sitting,hit,sat,12
hitting,hit,sleeping,slept,12
hitting,slowing,hit,slowed,12
hitting,hit,spending,spent,12
hitting,striking,hit,struck,12
hitting,hit,swimming,swam,12
hitting,taking,hit,took,12
hitting,hit,thinking,thought,12
hitting,vanishing,hit,vanished,12
hitting,hit,walking,walked,12
hitting,writing,hit,wrote,12
implementing,implemented,increasing,increased,12
implementing,jumping,implemented,jumped,12
implementing,implemented,knowing,knew,12
implementing,listening,implemented,listened,12
implementing,implemented,looking,looked,12
implementing,moving,implemented,moved,12
implementing,implemented,paying,paid,12
implementing,playing,implemented,played,12
implementing,implemented,predicting,predicted,12
implementing,reading,implemented,read,12
implementing,implemented,running,ran,12
implementing,saying,implemented,said,12
implementing,implemented,screaming,screamed,12
implementing,seeing,implemented,saw,12
implementing,implemented,selling,sold,12
implementing,shrinking,implemented,shrank,12
implementing,implemented,singing,sang,12
implementing,sitting,implemented,sat,12
implementing,implemented,sleeping,slept,12
implementing,slowing,implemented,slowed,12
implementing,implemented,spending,spent,12
implementing,striking,implemented,struck,12
implementing,implemented,swimming,swam,12
implementing,taking,implemented,took,12
implementing,implemented,thinking,thought,12
implementing,vanishing,implemented,vanished,12
implementing,implemented,walking,walked,12
implementing,writing,implemented,wrote,12
increasing,increased,jumping,jumped,12
increasing,knowing,increased,knew,12
increasing,increased,listening,listened,12
increasing,looking,increased,looked,12
increasing,increased,moving,moved,12
increasing,paying,increased,paid,12
increasing,increased,playing,played,12
increasing,predicting,increased,predicted,12
increasing,increased,reading,read,12
increasing,running,increased,ran,12
increasing,increased,saying,said,12
increasing,screaming,increased,screamed,12
increasing,increased,seeing,saw,12
increasing,selling,increased,sold,12
increasing,increased,shrinking,shrank,12
increasing,singing,increased,sang,12
increasing,increased,sitting,sat,12
increasing,sleeping,increased,slept,12
increasing,increased,slowing,slowed,12
increasing,spending,increased,spent,12
increasing,increased,striking,struck,12
increasing,swimming,increased,swam,12
increasing,increased,taking,took,12
increasing,thinking,increased,thought,12
increasing,increased,vanishing,vanished,12
increasing,walking,increased,walked,12
increasing,increased,writing,wrote,12
jumping,knowing,jumped,knew,12
jumping,jumped,listening,listened,12
jumping,looking,jumped,looked,12
jumping,jumped,moving,moved,12
jumping,paying,jumped,paid,12
jumping,jumped,playing,played,12
jumping,predicting,jumped,predicted,12
jumping,jumped,reading,read,12
jumping,running,jumped,ran,12
jumping,jumped,saying,said,12
jumping,screaming,jumped,screamed,12
jumping,jumped,seeing,saw,12
jumping,selling,jumped,sold,12
jumping,jumped,shrinking,shrank,12
jumping,singing,jumped,sang,12
jumping,jumped,sitting,sat,12
jumping,sleeping,jumped,slept,12
jumping,jumped,slowing,slowed,12
jumping,spending,jumped,spent,12
jumping,jumped,striking,struck,12
jumping,swimming,jumped,swam,12
jumping,jumped,taking,took,12
jumping,thinking,jumped,thought,12
jumping,jumped,vanishing,vanished,12
jumping,walking,jumped,walked,12
jumping,jumped,writing,wrote,12
knowing,listening,knew,listened,12
knowing,knew,looking,looked,12
knowing,moving,knew,moved,12
knowing,knew,paying,paid,12
knowing,playing,knew,played,12
knowing,knew,predicting,predicted,12
knowing,reading,knew,read,12
knowing,knew,running,ran,12
knowing,saying,knew,said,12
knowing,knew,screaming,screamed,12
knowing,seeing,knew,saw,12
knowing,knew,selling,sold,12
knowing,shrinking,knew,shrank,12
knowing,knew,singing,sang,12
knowing,sitting,knew,sat,12
knowing,knew,sleeping,slept,12
knowing,slowing,knew,slowed,12
knowing,knew,spending,spent,12
knowing,striking,knew,struck,12
knowing,knew,swimming,swam,12
knowing,taking,knew,took,12
knowing,knew,thinking,thought,12
knowing,vanishing,knew,vanished,12
knowing,knew,walking,walked,12
knowing,writing,knew,wrote,12
listening,listened,looking,looked,12
listening,moving,listened,moved,12
listening,listened,paying,paid,12
listening,playing,listened,played,12
listening,listened,predicting,predicted,12
listening,reading,listened,read,12
listening,listened,running,ran,12
listening,saying,listened,said,12
listening,listened,screaming,screamed,12
listening,seeing,listened,saw,12
listening,listened,selling,sold,12
listening,shrinking,listened,shrank,12
listening,listened,singing,sang,12
listening,sitting,listened,sat,12
listening,listened,sleeping,slept,12
listening,slowing,listened,slowed,12
listening,listened,spending,spent,12
listening,striking,listened,struck,12
listening,listened,swimming,swam,12
listening,taking,listened,took,12
listening,listened,thinking,thought,12
listening,vanishing,listened,vanished,12
listening,listened,walking,walked,12
listening,writing,listened,wrote,12
looking,looked,moving,moved,12
looking,paying,looked,paid,12
looking,looked,playing,played,12
looking,predicting,looked,predicted,12
looking,looked,reading,read,12
looking,running,looked,ran,12
looking,looked,saying,said,12
looking,screaming,looked,screamed,12
looking,looked,seeing,saw,12
looking,selling,looked,sold,12
looking,looked,shrinking,shrank,12
looking,singing,looked,sang,12
looking,looked,sitting,sat,12
looking,sleeping,looked,slept,12
looking,looked,slowing,slowed,12
looking,spending,looked,spent,12
looking,looked,striking,struck,12
looking,swimming,looked,swam,12
looking,looked,taking,took,12
looking,thinking,looked,thought,12
looking,looked,vanishing,vanished,12
looking,walking,looked,walked,12
looking,looked,writing,wrote,12
moving,paying,moved,paid,12
moving,moved,playing,played,12
moving,predicting,moved,predicted,12
moving,moved,reading,read,12
moving,running,moved,ran,12
moving,moved,saying,said,12
moving,screaming,moved,screamed,12
moving,moved,seeing,saw,12
moving,selling,moved,sold,12
moving,moved,shrinking,shrank,12
moving,singing,moved,sang,12
moving,moved,sitting,sat,12
moving,sleeping,moved,slept,12
moving,moved,slowing,slowed,12
moving,spending,moved,spent,12
moving,moved,striking,struck,12
moving,swimming,moved,swam,12
moving,moved,taking,took,12
moving,thinking,moved,thought,12
moving,moved,vanishing,vanished,12
moving,walking,moved,walked,12
moving,moved,writing,wrote,12
paying,playing,paid,played,12
paying,paid,predicting,predicted,12
paying,reading,paid,read,12
paying,paid,running,ran,12
paying,saying,paid,said,12
paying,paid,screaming,screamed,12
paying,seeing,paid,saw,12
paying,paid,selling,sold,12
paying,shrinking,paid,shrank,12
paying,paid,singing,sang,12
paying,sitting,paid,sat,12
paying,paid,sleeping,slept,12
paying,slowing,paid,slowed,12
paying,paid,spending,spent,12
paying,striking,paid,struck,12
paying,paid,swimming,swam,12
paying,taking,paid,took,12
paying,paid,thinking,thought,12
paying,vanishing,paid,vanished,12
paying,paid,walking,walked,12
paying,writing,paid,wrote,12
playing,played,predicting,predicted,12
playing,reading,played,read,12
playing,played,running,ran,12
playing,saying,played,said,12
playing,played,screaming,screamed,12
playing,seeing,played,saw,12
playing,played,selling,sold,12
playing,shrinking,played,shrank,12
playing,played,singing,sang,12
playing,sitting,played,sat,12
playing,played,sleeping,slept,12
playing,slowing,played,slowed,12
playing,played,spending,spent,12
playing,striking,played,struck,12
playing,played,swimming,swam,12
playing,taking,played,took,12
playing,played,thinking,thought,12
playing,vanishing,played,vanished,12
playing,played,walking,walked,12
playing,writing,played,wrote,12
predicting,predicted,reading,read,12
predicting,running,predicted,ran,12
predicting,predicted,saying,said,12
predicting,screaming,predicted,screamed,12
predicting,predicted,seeing,saw,12
predicting,selling,predicted,sold,12
predicting,predicted,shrinking,shrank,12
predicting,singing,predicted,sang,12
predicting,predicted,sitting,sat,12
predicting,sleeping,predicted,slept,12
predicting,predicted,slowing,slowed,12
predicting,spending,predicted,spent,12
predicting,predicted,striking,struck,12
predicting,swimming,predicted,swam,12
predicting,predicted,taking,took,12
predicting,thinking,predicted,thought,12
predicting,predicted,vanishing,vanished,12
predicting,walking,predicted,walked,12
predicting,predicted,writing,wrote,12
reading,running,read,ran,12
reading,read,saying,said,12
reading,screaming,read,screamed,12
reading,read,seeing,saw,12
reading,selling,read,sold,12
reading,read,shrinking,shrank,12
reading,singing,read,sang,12
reading,read,sitting,sat,12
reading,sleeping,read,slept,12
reading,read,slowing,slowed,12
reading,spending,read,spent,12
reading,read,striking,struck,12
reading,swimming,read,swam,12
reading,read,taking,took,12
reading,thinking,read,thought,12
reading,read,vanishing,vanished,12
reading,walking,read,walked,12
reading,read,writing,wrote,12
running,saying,ran,said,12
running,ran,screaming,screamed,12
running,seeing,ran,saw,12
running,ran,selling,sold,12
running,shrinking,ran,shrank,12
running,ran,singing,sang,12
running,sitting,ran,sat,12
running,ran,sleeping,slept,12
running,slowing,ran,slowed,12
running,ran,spending,spent,12
running,striking,ran,struck,12
running,ran,swimming,swam,12
running,taking,ran,took,12
running,ran,thinking,thought,12
running,vanishing,ran,vanished,12
running,ran,walking,walked,12
running,writing,ran,wrote,12
saying,said,screaming,screamed,12
saying,seeing,said,saw,12
saying,said,selling,sold,12
saying,shrinking,said,shrank,12
saying,said,singing,sang,12
saying,sitting,said,sat,12
saying,said,sleeping,slept,12
saying,slowing,said,slowed,12
saying,said,spending,spent,12
saying,striking,said,struck,12
saying,said,swimming,swam,12
saying,taking,said,took,12
saying,said,thinking,thought,12
saying,vanishing,said,vanished,12
saying,said,walking,walked,12
saying,writing,said,wrote,12
screaming,screamed,seeing,saw,12
screaming,selling,screamed,sold,12
screaming,screamed,shrinking,shrank,12
screaming,singing,screamed,sang,12
screaming,screamed,sitting,sat,12
screaming,sleeping,screamed,slept,12
screaming,screamed,slowing,slowed,12
screaming,spending,screamed,spent,12
screaming,screamed,striking,struck,12
screaming,swimming,screamed,swam,12
screaming,screamed,taking,took,12
screaming,thinking,screamed,thought,12
screaming,screamed,vanishing,vanished,12
screaming,walking,screamed,walked,12
screaming,screamed,writing,wrote,12
seeing,selling,saw,sold,12
seeing,saw,shrinking,shrank,12
seeing,singing,saw,sang,12
seeing,saw,sitting,sat,12
seeing,sleeping,saw,slept,12
seeing,saw,slowing,slowed,12
seeing,spending,saw,spent,12
seeing,saw,striking,struck,12
seeing,swimming,saw,swam,12
seeing,saw,taking,took,12
seeing,thinking,saw,thought,12
seeing,saw,vanishing,vanished,12
seeing,walking,saw,walked,12
seeing,saw,writing,wrote,12
selling,shrinking,sold,shrank,12
selling,sold,singing,sang,12
selling,sitting,sold,sat,12
selling,sold,sleeping,slept,12
selling,slowing,sold,slowed,12
selling,sold,spending,spent,12
selling,striking,sold,struck,12
selling,sold,swimming,swam,12
selling,taking,sold,took,12
selling,sold,thinking,thought,12
selling,vanishing,sold,vanished,12
selling,sold,walking,walked,12
selling,writing,sold,wrote,12
shrinking,shrank,singing,sang,12
shrinking,sitting,shrank,sat,12
shrinking,shrank,sleeping,slept,12
shrinking,slowing,shrank,slowed,12
shrinking,shrank,spending,spent,12
shrinking,striking,shrank,struck,12
shrinking,shrank,swimming,swam,12
shrinking,taking,shrank,took,12
shrinking,shrank,thinking,thought,12
shrinking,vanishing,shrank,vanished,12
shrinking,shrank,walking,walked,12
shrinking,writing,shrank,wrote,12
singing,sang,sitting,sat,12
singing,sleeping,sang,slept,12
singing,sang,slowing,slowed,12
singing,spending,sang,spent,12
singing,sang,striking,struck,12
singing,swimming,sang,swam,12
singing,sang,taking,took,12
singing,thinking,sang,thought,12
singing,sang,vanishing,vanished,12
singing,walking,sang,walked,12
singing,sang,writing,wrote,12
sitting,sleeping,sat,slept,12
sitting,sat,slowing,slowed,12
sitting,spending,sat,spent,12
sitting,sat,striking,struck,12
sitting,swimming,sat,swam,12
sitting,sat,taking,took,12
sitting,thinking,sat,thought,12
sitting,sat,vanishing,vanished,12
sitting,walking,sat,walked,12
sitting,sat,writing,wrote,12
sleeping,slowing,slept,slowed,12
sleeping,slept,spending,spent,12
sleeping,striking,slept,struck,12
sleeping,slept,swimming,swam,12
sleeping,taking,slept,took,12
sleeping,slept,thinking,thought,12
sleeping,vanishing,slept,vanished,12
sleeping,slept,walking,walked,12
sleeping,writing,slept,wrote,12
slowing,slowed,spending,spent,12
slowing,striking,slowed,struck,12
slowing,slowed,swimming,swam,12
slowing,taking,slowed,took,12
slowing,slowed,thinking,thought,12
slowing,vanishing,slowed,vanished,12
slowing,slowed,walking,walked,12
slowing,writing,slowed,wrote,12
spending,spent,striking,struck,12
spending,swimming,spent,swam,12
spending,spent,taking,took,12
spending,thinking,spent,thought,12
spending,spent,vanishing,vanished,12
spending,walking,spent,walked,12
spending,spent,writing,wrote,12
striking,swimming,struck,swam,12
striking,struck,taking,took,12
striking,thinking,struck,thought,12
striking,struck,vanishing,vanished,12
striking,walking,struck,walked,12
striking,struck,writing,wrote,12
swimming,taking,swam,took,12
swimming,swam,thinking,thought,12
swimming,vanishing,swam,vanished,12
swimming,swam,walking,walked,12
swimming,writing,swam,wrote,12
taking,took,thinking,thought,12
taking,vanishing,took,vanished,12
taking,took,walking,walked,12
taking,writing,took,wrote,12
thinking,thought,vanishing,vanished,12
thinking,walking,thought,walked,12
thinking,thought,writing,wrote,12
vanishing,walking,vanished,walked,12
vanishing,vanished,writing,wrote,12
walking,writing,walked,wrote,12
