code,coding,dance,dancing,10
decrease,generate,decreasing,generating,10
decrease,decreasing,go,going,10
decrease,implement,decreasing,implementing,10
decrease,decreasing,increase,increasing,10
decrease,invent,decreasing,inventing,10
decrease,decreasing,jump,jumping,10
decrease,listen,decreasing,listening,10
decrease,decreasing,look,looking,10
decrease,move,decreasing,moving,10
decrease,decreasing,play,playing,10
decrease,predict,decreasing,predicting,10
decrease,decreasing,read,reading,10
decrease,run,decreasing,running,10
decrease,decreasing,say,saying,10
decrease,scream,decreasing,screaming,10
decrease,decreasing,see,seeing,10
decrease,shuffle,decreasing,shuffling,10
decrease,decreasing,sing,singing,10
decrease,sit,decreasing,sitting,10
decrease,decreasing,slow,slowing,10
decrease,swim,decreasing,swimming,10
decrease,decreasing,think,thinking,10
decrease,vanish,decreasing,vanishing,10
decrease,decreasing,walk,walking,10
decrease,write,decreasing,writing,10
describe,describing,discover,discovering,10
describe,enhance,describing,enhancing,10
describe,describing,fly,flying,10
describe,generate,describing,generating,10
describe,describing,go,going,10
describe,implement,describing,implementing,10
describe,describing,increase,increasing,10
describe,invent,describing,inventing,10
describe,describing,jump,jumping,10
describe,listen,describing,listening,10
describe,describing,look,looking,10
describe,move,describing,moving,10
describe,describing,play,playing,10
describe,predict,describing,predicting,10
describe,describing,read,reading,10
describe,run,describing,running,10
describe,describing,say,saying,10
describe,scream,describing,screaming,10
describe,describing,see,seeing,10
describe,shuffle,describing,shuffling,10
describe,describing,sing,singing,10
describe,sit,describing,sitting,10
describe,describing,slow,slowing,10
describe,swim,describing,swimming,10
describe,describing,think,thinking,10
describe,vanish,describing,vanishing,10
describe,describing,walk,walking,10
describe,write,describing,writing,10
discover,discovering,enhance,enhancing,10
discover,fly,discovering,flying,10
discover,discovering,generate,generating,10
discover,go,discovering,going,10
discover,discovering,implement,implementing,10
discover,increase,discovering,increasing,10
discover,discovering,invent,inventing,10
discover,jump,discovering,jumping,10
discover,discovering,listen,listening,10
discover,look,discovering,looking,10
discover,discovering,move,moving,10
discover,play,discovering,playing,10
discover,discovering,predict,predicting,10
discover,read,discovering,reading,10
discover,discovering,run,running,10
discover,say,discovering,saying,10
discover,discovering,scream,screaming,10
discover,see,discovering,seeing,10
discover,discovering,shuffle,shuffling,10
discover,sing,discovering,singing,10
discover,discovering,sit,sitting,10
discover,slow,discovering,slowing,10
discover,discovering,swim,swimming,10
discover,think,discovering,thinking,10
discover,discovering,vanish,vanishing,10
discover,walk,discovering,walking,10
discover,discovering,write,writing,10
enhance,fly,enhancing,flying,10
enhance,enhancing,generate,generating,10
enhance,go,enhancing,going,10
enhance,enhancing,implement,implementing,10
enhance,increase,enhancing,increasing,10
enhance,enhancing,invent,inventing,10
enhance,jump,enhancing,jumping,10
enhance,enhancing,listen,listening,10
enhance,look,enhancing,looking,10
enhance,enhancing,move,moving,10
enhance,play,enhancing,playing,10
enhance,enhancing,predict,predicting,10
enhance,read,enhancing,reading,10
enhance,enhancing,run,running,10
enhance,say,enhancing,saying,10
enhance,enhancing,scream,screaming,10
enhance,see,enhancing,seeing,10
enhance,enhancing,shuffle,shuffling,10
enhance,sing,enhancing,singing,10
enhance,enhancing,sit,sitting,10
enhance,slow,enhancing,slowing,10
enhance,enhancing,swim,swimming,10
enhance,think,enhancing,thinking,10
enhance,enhancing,vanish,vanishing,10
enhance,walk,enhancing,walking,10
enhance,enhancing,write,writing,10
fly,generate,flying,generating,10
fly,flying,go,going,10
fly,implement,flying,implementing,10
fly,flying,increase,increasing,10
fly,invent,flying,inventing,10
fly,flying,jump,jumping,10
fly,listen,flying,listening,10
fly,flying,look,looking,10
fly,move,flying,moving,10
fly,flying,play,playing,10
fly,predict,flying,predicting,10
fly,flying,read,reading,10
fly,run,flying,running,10
fly,flying,say,saying,10
fly,scream,flying,screaming,10
fly,flying,see,seeing,10
fly,shuffle,flying,shuffling,10
fly,flying,sing,singing,10
fly,sit,flying,sitting,10
fly,flying,slow,slowing,10
fly,swim,flying,swimming,10
fly,flying,think,thinking,10
fly,vanish,flying,vanishing,10
fly,flying,walk,walking,10
fly,write,flying,writing,10
generate,generating,go,going,10
generate,implement,generating,implementing,10
generate,generating,increase,increasing,10
generate,invent,generating,inventing,10
generate,generating,jump,jumping,10
generate,listen,generating,listening,10
generate,generating,look,looking,10
generate,move,generating,moving,10
generate,generating,play,playing,10
generate,predict,generating,predicting,10
generate,generating,read,reading,10
generate,run,generating,running,10
generate,generating,say,saying,10
generate,scream,generating,screaming,10
generate,generating,see,seeing,10
generate,shuffle,generating,shuffling,10
generate,generating,sing,singing,10
generate,sit,generating,sitting,10
generate,generating,slow,slowing,10
generate,swim,generating,swimming,10
generate,generating,think,thinking,10
generate,vanish,generating,vanishing,10
generate,generating,walk,walking,10
generate,write,generating,writing,10
go,going,implement,implementing,10
go,increase,going,increasing,10
go,going,invent,inventing,10
go,jump,going,jumping,10
go,going,listen,listening,10
go,look,going,looking,10
go,going,move,moving,10
go,play,going,playing,10
go,going,predict,predicting,10
go,read,going,reading,10
go,going,run,running,10
go,say,going,saying,10
go,going,scream,screaming,10
go,see,going,seeing,10
go,going,shuffle,shuffling,10
go,sing,going,singing,10
go,going,sit,sitting,10
go,slow,going,slowing,10
go,going,swim,swimming,10
go,think,going,thinking,10
go,going,vanish,vanishing,10
go,walk,going,walking,10
go,going,write,writing,10
implement,increase,implementing,increasing,10
implement,implementing,invent,inventing,10
implement,jump,implementing,jumping,10
implement,implementing,listen,listening,10
implement,look,implementing,looking,10
implement,implementing,move,moving,10
implement,play,implementing,playing,10
implement,implementing,predict,predicting,10
implement,read,implementing,reading,10
implement,implementing,run,running,10
implement,say,implementing,saying,10
implement,implementing,scream,screaming,10
implement,see,implementing,seeing,10
implement,implementing,shuffle,shuffling,10
implement,sing,implementing,singing,10
implement,implementing,sit,sitting,10
implement,slow,implementing,slowing,10
implement,implementing,swim,swimming,10
implement,think,implementing,thinking,10
implement,implementing,vanish,vanishing,10
implement,walk,implementing,walking,10
implement,implementing,write,writing,10
increase,invent,increasing,inventing,10
increase,increasing,jump,jumping,10
increase,listen,increasing,listening,10
increase,increasing,look,looking,10
increase,move,increasing,moving,10
increase,increasing,play,playing,10
increase,predict,increasing,predicting,10
increase,increasing,read,reading,10
increase,run,increasing,running,10
increase,increasing,say,saying,10
increase,scream,increasing,screaming,10
increase,increasing,see,seeing,10
increase,shuffle,increasing,shuffling,10
increase,increasing,sing,singing,10
increase,sit,increasing,sitting,10
increase,increasing,slow,slowing,10
increase,swim,increasing,swimming,10
increase,increasing,think,thinking,10
increase,vanish,increasing,vanishing,10
increase,increasing,walk,walking,10
increase,write,increasing,writing,10
invent,inventing,jump,jumping,10
invent,listen,inventing,listening,10
invent,inventing,look,looking,10
invent,move,inventing,moving,10
invent,inventing,play,playing,10
invent,predict,inventing,predicting,10
invent,inventing,read,reading,10
invent,run,inventing,running,10
invent,inventing,say,saying,10
invent,scream,inventing,screaming,10
invent,inventing,see,seeing,10
invent,shuffle,inventing,shuffling,10
invent,inventing,sing,singing,10
invent,sit,inventing,sitting,10
invent,inventing,slow,slowing,10
invent,swim,inventing,swimming,10
invent,inventing,think,thinking,10
invent,vanish,inventing,vanishing,10
invent,inventing,walk,walking,10
invent,write,inventing,writing,10
jump,jumping,listen,listening,10
jump,look,jumping,looking,10
jump,jumping,move,moving,10
jump,play,jumping,playing,10
jump,jumping,predict,predicting,10
jump,read,jumping,reading,10
jump,jumping,run,running,10
jump,say,jumping,saying,10
jump,jumping,scream,screaming,10
jump,see,jumping,seeing,10
jump,jumping,shuffle,shuffling,10
jump,sing,jumping,singing,10
jump,jumping,sit,sitting,10
jump,slow,jumping,slowing,10
jump,jumping,swim,swimming,10
jump,think,jumping,thinking,10
jump,jumping,vanish,vanishing,10
jump,walk,jumping,walking,10
jump,jumping,write,writing,10
listen,look,listening,looking,10
listen,listening,move,moving,10
listen,play,listening,playing,10
listen,listening,predict,predicting,10
listen,read,listening,reading,10
listen,listening,run,running,10
listen,say,listening,saying,10
listen,listening,scream,screaming,10
listen,see,listening,seeing,10
listen,listening,shuffle,shuffling,10
listen,sing,listening,singing,10
listen,listening,sit,sitting,10
listen,slow,listening,slowing,10
listen,listening,swim,swimming,10
listen,think,listening,thinking,10
listen,listening,vanish,vanishing,10
listen,walk,listening,walking,10
listen,listening,write,writing,10
look,move,looking,moving,10
look,looking,play,playing,10
look,predict,looking,predicting,10
look,looking,read,reading,10
look,run,looking,running,10
look,looking,say,saying,10
look,scream,looking,screaming,10
look,looking,see,seeing,10
look,shuffle,looking,shuffling,10
look,looking,sing,singing,10
look,sit,looking,sitting,10
look,looking,slow,slowing,10
look,swim,looking,swimming,10
look,looking,think,thinking,10
look,vanish,looking,vanishing,10
look,looking,walk,walking,10
look,write,looking,writing,10
move,moving,play,playing,10
move,predict,moving,predicting,10
move,moving,read,reading,10
move,run,moving,running,10
move,moving,say,saying,10
move,scream,moving,screaming,10
move,moving,see,seeing,10
move,shuffle,moving,shuffling,10
move,moving,sing,singing,10
move,sit,moving,sitting,10
move,moving,slow,slowing,10
move,swim,moving,swimming,10
move,moving,think,thinking,10
move,vanish,moving,vanishing,10
move,moving,walk,walking,10
move,write,moving,writing,10
play,playing,predict,predicting,10
play,read,playing,reading,10
play,playing,run,running,10
play,say,playing,saying,10
play,playing,scream,screaming,10
play,see,playing,seeing,10
play,playing,shuffle,shuffling,10
play,sing,playing,singing,10
play,playing,sit,sitting,10
play,slow,playing,slowing,10
play,playing,swim,swimming,10
play,think,playing,thinking,10
play,playing,vanish,vanishing,10
play,walk,playing,walking,10
play,playing,write,writing,10
predict,read,predicting,reading,10
predict,predicting,run,running,10
predict,say,predicting,saying,10
predict,predicting,scream,screaming,10
predict,see,predicting,seeing,10
predict,predicting,shuffle,shuffling,10
predict,sing,predicting,singing,10
predict,predicting,sit,sitting,10
predict,slow,predicting,slowing,10
predict,predicting,swim,swimming,10
predict,think,predicting,thinking,10
predict,predicting,vanish,vanishing,10
predict,walk,predicting,walking,10
predict,predicting,write,writing,10
read,run,reading,running,10
read,reading,say,saying,10
read,scream,reading,screaming,10
read,reading,see,seeing,10
read,shuffle,reading,shuffling,10
read,reading,sing,singing,10
read,sit,reading,sitting,10
read,reading,slow,slowing,10
read,swim,reading,swimming,10
read,reading,think,thinking,10
read,vanish,reading,vanishing,10
read,reading,walk,walking,10
read,write,reading,writing,10
run,running,say,saying,10
run,scream,running,screaming,10
run,running,see,seeing,10
run,shuffle,running,shuffling,10
run,running,sing,singing,10
run,sit,running,sitting,10
run,running,slow,slowing,10
run,swim,running,swimming,10
run,running,think,thinking,10
run,vanish,running,vanishing,10
run,running,walk,walking,10
run,write,running,writing,10
say,saying,scream,screaming,10
say,see,saying,seeing,10
say,saying,shuffle,shuffling,10
say,sing,saying,singing,10
say,saying,sit,sitting,10
say,slow,saying,slowing,10
say,saying,swim,swimming,10
say,think,saying,thinking,10
say,saying,vanish,vanishing,10
say,walk,saying,walking,10
say,saying,write,writing,10
scream,see,screaming,seeing,10
scream,screaming,shuffle,shuffling,10
scream,sing,screaming,singing,10
scream,screaming,sit,sitting,10
scream,slow,screaming,slowing,10
scream,screaming,swim,swimming,10
scream,think,screaming,thinking,10
scream,screaming,vanish,vanishing,10
scream,walk,screaming,walking,10
scream,screaming,write,writing,10
see,shuffle,seeing,shuffling,10
see,seeing,sing,singing,10
see,sit,seeing,sitting,10
see,seeing,slow,slowing,10
see,swim,seeing,swimming,10
see,seeing,think,thinking,10
see,vanish,seeing,vanishing,10
see,seeing,walk,walking,10
see,write,seeing,writing,10
shuffle,shuffling,sing,singing,10
shuffle,sit,shuffling,sitting,10
shuffle,shuffling,slow,slowing,10
shuffle,swim,shuffling,swimming,10
shuffle,shuffling,think,thinking,10
shuffle,vanish,shuffling,vanishing,10
shuffle,shuffling,walk,walking,10
shuffle,write,shuffling,writing,10
sing,singing,sit,sitting,10
sing,slow,singing,slowing,10
sing,singing,swim,swimming,10
sing,think,singing,thinking,10
sing,singing,vanish,vanishing,10
sing,walk,singing,walking,10
sing,singing,write,writing,10
sit,slow,sitting,slowing,10
sit,sitting,swim,swimming,10
sit,think,sitting,thinking,10
sit,sitting,vanish,vanishing,10
sit,walk,sitting,walking,10
sit,sitting,write,writing,10
slow,swim,slowing,swimming,10
slow,slowing,think,thinking,10
slow,vanish,slowing,vanishing,10
slow,slowing,walk,walking,10
slow,write,slowing,writing,10
swim,swimming,think,thinking,10
swim,vanish,swimming,vanishing,10
swim,swimming,walk,walking,10
swim,write,swimming,writing,10
think,thinking,vanish,vanishing,10
think,walk,thinking,walking,10
think,thinking,write,writing,10
vanish,walk,vanishing,walking,10
vanish,vanishing,write,writing,10
walk,write,walking,writing,10
