bad,worse,big,bigger,8
deep,deeper,weak,weaker,8
deep,wide,deeper,wider,8
deep,deeper,young,younger,8
easy,fast,easier,faster,8
easy,easier,good,better,8
easy,great,easier,greater,8
easy,easier,hard,harder,8
easy,heavy,easier,heavier,8
easy,easier,high,higher,8
easy,hot,easier,hotter,8
easy,easier,large,larger,8
easy,long,easier,longer,8
easy,easier,loud,louder,8
easy,low,easier,lower,8
easy,easier,new,newer,8
easy,old,easier,older,8
easy,easier,quick,quicker,8
easy,safe,easier,safer,8
easy,easier,sharp,sharper,8
easy,short,easier,shorter,8
easy,easier,simple,simpler,8
easy,slow,easier,slower,8
easy,easier,small,smaller,8
easy,smart,easier,smarter,8
easy,easier,strong,stronger,8
easy,tall,easier,taller,8
easy,easier,tight,tighter,8
easy,tough,easier,tougher,8
easy,easier,warm,warmer,8
easy,weak,easier,weaker,8
easy,easier,wide,wider,8
easy,young,easier,younger,8
fast,faster,good,better,8
fast,great,faster,greater,8
fast,faster,hard,harder,8
fast,heavy,faster,heavier,8
fast,faster,high,higher,8
fast,hot,faster,hotter,8
fast,faster,large,larger,8
fast,long,faster,longer,8
fast,faster,loud,louder,8
fast,low,faster,lower,8
fast,faster,new,newer,8
fast,old,faster,older,8
fast,faster,quick,quicker,8
fast,safe,faster,safer,8
fast,faster,sharp,sharper,8
fast,short,faster,shorter,8
fast,faster,simple,simpler,8
fast,slow,faster,slower,8
fast,faster,small,smaller,8
fast,smart,faster,smarter,8
fast,faster,strong,stronger,8
fast,tall,faster,taller,8
fast,faster,tight,tighter,8
fast,tough,faster,tougher,8
fast,faster,warm,warmer,8
fast,weak,faster,weaker,8
fast,faster,wide,wider,8
fast,young,faster,younger,8
good,better,great,greater,8
good,hard,better,harder,8
good,better,heavy,heavier,8
good,high,better,higher,8
good,better,hot,hotter,8
good,large,better,larger,8
good,better,long,longer,8
good,loud,better,louder,8
good,better,low,lower,8
good,new,better,newer,8
good,better,old,older,8
good,quick,better,quicker,8
good,better,safe,safer,8
good,sharp,better,sharper,8
good,better,short,shorter,8
good,simple,better,simpler,8
good,better,slow,slower,8
good,small,better,smaller,8
good,better,smart,smarter,8
good,strong,better,stronger,8
good,better,tall,taller,8
good,tight,better,tighter,8
good,better,tough,tougher,8
good,warm,better,warmer,8
good,better,weak,weaker,8
good,wide,better,wider,8
good,better,young,younger,8
great,hard,greater,harder,8
great,greater,heavy,heavier,8
great,high,greater,higher,8
great,greater,hot,hotter,8
great,large,greater,larger,8
great,greater,long,longer,8
great,loud,greater,louder,8
great,greater,low,lower,8
great,new,greater,newer,8
great,greater,old,older,8
great,quick,greater,quicker,8
great,greater,safe,safer,8
great,sharp,greater,sharper,8
great,greater,short,shorter,8
great,simple,greater,simpler,8
great,greater,slow,slower,8
great,small,greater,smaller,8
great,greater,smart,smarter,8
great,strong,greater,stronger,8
great,greater,tall,taller,8
great,tight,greater,tighter,8
great,greater,tough,tougher,8
great,warm,greater,warmer,8
great,greater,weak,weaker,8
great,wide,greater,wider,8
great,greater,young,younger,8
hard,heavy,harder,heavier,8
hard,harder,high,higher,8
hard,hot,harder,hotter,8
hard,harder,large,larger,8
hard,long,harder,longer,8
hard,harder,loud,louder,8
hard,low,harder,lower,8
hard,harder,new,newer,8
hard,old,harder,older,8
hard,harder,quick,quicker,8
hard,safe,harder,safer,8
hard,harder,sharp,sharper,8
hard,short,harder,shorter,8
hard,harder,simple,simpler,8
hard,slow,harder,slower,8
hard,harder,small,smaller,8
hard,smart,harder,smarter,8
hard,harder,strong,stronger,8
hard,tall,harder,taller,8
hard,harder,tight,tighter,8
hard,tough,harder,tougher,8
hard,harder,warm,warmer,8
hard,weak,harder,weaker,8
hard,harder,wide,wider,8
hard,young,harder,younger,8
heavy,heavier,high,higher,8
heavy,hot,heavier,hotter,8
heavy,heavier,large,larger,8
heavy,long,heavier,longer,8
heavy,heavier,loud,louder,8
heavy,low,heavier,lower,8
heavy,heavier,new,newer,8
heavy,old,heavier,older,8
heavy,heavier,quick,quicker,8
heavy,safe,heavier,safer,8
heavy,heavier,sharp,sharper,8
heavy,short,heavier,shorter,8
heavy,heavier,simple,simpler,8
heavy,slow,heavier,slower,8
heavy,heavier,small,smaller,8
heavy,smart,heavier,smarter,8
heavy,heavier,strong,stronger,8
heavy,tall,heavier,taller,8
heavy,heavier,tight,tighter,8
heavy,tough,heavier,tougher,8
heavy,heavier,warm,warmer,8
heavy,weak,heavier,weaker,8
heavy,heavier,wide,wider,8
heavy,young,heavier,younger,8
high,higher,hot,hotter,8
high,large,higher,larger,8
high,higher,long,longer,8
high,loud,higher,louder,8
high,higher,low,lower,8
high,new,higher,newer,8
high,higher,old,older,8
high,quick,higher,quicker,8
high,higher,safe,safer,8
high,sharp,higher,sharper,8
high,higher,short,shorter,8
high,simple,higher,simpler,8
high,higher,slow,slower,8
high,small,higher,smaller,8
high,higher,smart,smarter,8
high,strong,higher,stronger,8
high,higher,tall,taller,8
high,tight,higher,tighter,8
high,higher,tough,tougher,8
high,warm,higher,warmer,8
high,higher,weak,weaker,8
high,wide,higher,wider,8
high,higher,young,younger,8
hot,large,hotter,larger,8
hot,hotter,long,longer,8
hot,loud,hotter,louder,8
hot,hotter,low,lower,8
hot,new,hotter,newer,8
hot,hotter,old,older,8
hot,quick,hotter,quicker,8
hot,hotter,safe,safer,8
hot,sharp,hotter,sharper,8
hot,hotter,short,shorter,8
hot,simple,hotter,simpler,8
hot,hotter,slow,slower,8
hot,small,hotter,smaller,8
hot,hotter,smart,smarter,8
hot,strong,hotter,stronger,8
hot,hotter,tall,taller,8
hot,tight,hotter,tighter,8
hot,hotter,tough,tougher,8
hot,warm,hotter,warmer,8
hot,hotter,weak,weaker,8
hot,wide,hotter,wider,8
hot,hotter,young,younger,8
large,long,larger,longer,8
large,larger,loud,louder,8
large,low,larger,lower,8
large,larger,new,newer,8
large,old,larger,older,8
large,larger,quick,quicker,8
large,safe,larger,safer,8
large,larger,sharp,sharper,8
large,short,larger,shorter,8
large,larger,simple,simpler,8
large,slow,larger,slower,8
large,larger,small,smaller,8
large,smart,larger,smarter,8
large,larger,strong,stronger,8
large,tall,larger,taller,8
large,larger,tight,tighter,8
large,tough,larger,tougher,8
large,larger,warm,warmer,8
large,weak,larger,weaker,8
large,larger,wide,wider,8
large,young,larger,younger,8
long,longer,loud,louder,8
long,low,longer,lower,8
long,longer,new,newer,8
long,old,longer,older,8
long,longer,quick,quicker,8
long,safe,longer,safer,8
long,longer,sharp,sharper,8
long,short,longer,shorter,8
long,longer,simple,simpler,8
long,slow,longer,slower,8
long,longer,small,smaller,8
long,smart,longer,smarter,8
long,longer,strong,stronger,8
long,tall,longer,taller,8
long,longer,tight,tighter,8
long,tough,longer,tougher,8
long,longer,warm,warmer,8
long,weak,longer,weaker,8
long,longer,wide,wider,8
long,young,longer,younger,8
loud,louder,low,lower,8
loud,new,louder,newer,8
loud,louder,old,older,8
loud,quick,louder,quicker,8
loud,louder,safe,safer,8
loud,sharp,louder,sharper,8
loud,louder,short,shorter,8
loud,simple,louder,simpler,8
loud,louder,slow,slower,8
loud,small,louder,smaller,8
loud,louder,smart,smarter,8
loud,strong,louder,stronger,8
loud,louder,tall,taller,8
loud,tight,louder,tighter,8
loud,louder,tough,tougher,8
loud,warm,louder,warmer,8
loud,louder,weak,weaker,8
loud,wide,louder,wider,8
loud,louder,young,younger,8
low,new,lower,newer,8
low,lower,old,older,8
low,quick,lower,quicker,8
low,lower,safe,safer,8
low,sharp,lower,sharper,8
low,lower,short,shorter,8
low,simple,lower,simpler,8
low,lower,slow,slower,8
low,small,lower,smaller,8
low,lower,smart,smarter,8
low,strong,lower,stronger,8
low,lower,tall,taller,8
low,tight,lower,tighter,8
low,lower,tough,tougher,8
low,warm,lower,warmer,8
low,lower,weak,weaker,8
low,wide,lower,wider,8
low,lower,young,younger,8
new,old,newer,older,8
new,newer,quick,quicker,8
new,safe,newer,safer,8
new,newer,sharp,sharper,8
new,short,newer,shorter,8
new,newer,simple,simpler,8
new,slow,newer,slower,8
new,newer,small,smaller,8
new,smart,newer,smarter,8
new,newer,strong,stronger,8
new,tall,newer,taller,8
new,newer,tight,tighter,8
new,tough,newer,tougher,8
new,newer,warm,warmer,8
new,weak,newer,weaker,8
new,newer,wide,wider,8
new,young,newer,younger,8
old,older,quick,quicker,8
old,safe,older,safer,8
old,older,sharp,sharper,8
old,short,older,shorter,8
old,older,simple,simpler,8
old,slow,older,slower,8
old,older,small,smaller,8
old,smart,older,smarter,8
old,older,strong,stronger,8
old,tall,older,taller,8
old,older,tight,tighter,8
old,tough,older,tougher,8
old,older,warm,warmer,8
old,weak,older,weaker,8
old,older,wide,wider,8
old,young,older,younger,8
quick,quicker,safe,safer,8
quick,sharp,quicker,sharper,8
quick,quicker,short,shorter,8
quick,simple,quicker,simpler,8
quick,quicker,slow,slower,8
quick,small,quicker,smaller,8
quick,quicker,smart,smarter,8
quick,strong,quicker,stronger,8
quick,quicker,tall,taller,8
quick,tight,quicker,tighter,8
quick,quicker,tough,tougher,8
quick,warm,quicker,warmer,8
quick,quicker,weak,weaker,8
quick,wide,quicker,wider,8
quick,quicker,young,younger,8
safe,sharp,safer,sharper,8
safe,safer,short,shorter,8
safe,simple,safer,simpler,8
safe,safer,slow,slower,8
safe,small,safer,smaller,8
safe,safer,smart,smarter,8
safe,strong,safer,stronger,8
safe,safer,tall,taller,8
safe,tight,safer,tighter,8
safe,safer,tough,tougher,8
safe,warm,safer,warmer,8
safe,safer,weak,weaker,8
safe,wide,safer,wider,8
safe,safer,young,younger,8
sharp,short,sharper,shorter,8
sharp,sharper,simple,simpler,8
sharp,slow,sharper,slower,8
sharp,sharper,small,smaller,8
sharp,smart,sharper,smarter,8
sharp,sharper,strong,stronger,8
sharp,tall,sharper,taller,8
sharp,sharper,tight,tighter,8
sharp,tough,sharper,tougher,8
sharp,sharper,warm,warmer,8
sharp,weak,sharper,weaker,8
sharp,sharper,wide,wider,8
sharp,young,sharper,younger,8
short,shorter,simple,simpler,8
short,slow,shorter,slower,8
short,shorter,small,smaller,8
short,smart,shorter,smarter,8
short,shorter,strong,stronger,8
short,tall,shorter,taller,8
short,shorter,tight,tighter,8
short,tough,shorter,tougher,8
short,shorter,warm,warmer,8
short,weak,shorter,weaker,8
short,shorter,wide,wider,8
short,young,shorter,younger,8
simple,simpler,slow,slower,8
simple,small,simpler,smaller,8
simple,simpler,smart,smarter,8
simple,strong,simpler,stronger,8
simple,simpler,tall,taller,8
simple,tight,simpler,tighter,8
simple,simpler,tough,tougher,8
simple,warm,simpler,warmer,8
simple,simpler,weak,weaker,8
simple,wide,simpler,wider,8
simple,simpler,young,younger,8
slow,small,slower,smaller,8
slow,slower,smart,smarter,8
slow,strong,slower,stronger,8
slow,slower,tall,taller,8
slow,tight,slower,tighter,8
slow,slower,tough,tougher,8
slow,warm,slower,warmer,8
slow,slower,weak,weaker,8
slow,wide,slower,wider,8
slow,slower,young,younger,8
small,smart,smaller,smarter,8
small,smaller,strong,stronger,8
small,tall,smaller,taller,8
small,smaller,tight,tighter,8
small,tough,smaller,tougher,8
small,smaller,warm,warmer,8
small,weak,smaller,weaker,8
small,smaller,wide,wider,8
small,young,smaller,younger,8
smart,smarter,strong,stronger,8
smart,tall,smarter,taller,8
smart,smarter,tight,tighter,8
smart,tough,smarter,tougher,8
smart,smarter,warm,warmer,8
smart,weak,smarter,weaker,8
smart,smarter,wide,wider,8
smart,young,smarter,younger,8
strong,stronger,tall,taller,8
strong,tight,stronger,tighter,8
strong,stronger,tough,tougher,8
strong,warm,stronger,warmer,8
strong,stronger,weak,weaker,8
strong,wide,stronger,wider,8
strong,stronger,young,younger,8
tall,tight,taller,tighter,8
tall,taller,tough,tougher,8
tall,warm,taller,warmer,8
tall,taller,weak,weaker,8
tall,wide,taller,wider,8
tall,taller,young,younger,8
tight,tough,tighter,tougher,8
tight,tighter,warm,warmer,8
tight,weak,tighter,weaker,8
tight,tighter,wide,wider,8
tight,young,tighter,younger,8
tough,tougher,warm,warmer,8
tough,weak,tougher,weaker,8
tough,tougher,wide,wider,8
tough,young,tougher,younger,8
warm,warmer,weak,weaker,8
warm,wide,warmer,wider,8
warm,warmer,young,younger,8
weak,wide,weaker,wider,8
weak,weaker,young,younger,8
wide,young,wider,younger,8
