bad,worst,big,biggest,9
bright,brightest,strange,strangest,9
bright,strong,brightest,strongest,9
bright,brightest,sweet,sweetest,9
bright,tall,brightest,tallest,9
bright,brightest,tasty,tastiest,9
bright,warm,brightest,warmest,9
bright,brightest,weak,weakest,9
bright,weird,brightest,weirdest,9
bright,brightest,wide,widest,9
bright,young,brightest,youngest,9
cold,coldest,cool,coolest,9
cold,dark,coldest,darkest,9
cold,coldest,easy,easiest,9
cold,fast,coldest,fastest,9
cold,coldest,good,best,9
cold,great,coldest,greatest,9
cold,coldest,high,highest,9
cold,hot,coldest,hottest,9
cold,coldest,large,largest,9
cold,long,coldest,longest,9
cold,coldest,low,lowest,9
cold,lucky,coldest,luckiest,9
cold,coldest,old,oldest,9
cold,quick,coldest,quickest,9
cold,coldest,sharp,sharpest,9
cold,simple,coldest,simplest,9
cold,coldest,short,shortest,9
cold,slow,coldest,slowest,9
cold,coldest,small,smallest,9
cold,smart,coldest,smartest,9
cold,coldest,strange,strangest,9
cold,strong,coldest,strongest,9
cold,coldest,sweet,sweetest,9
cold,tall,coldest,tallest,9
cold,coldest,tasty,tastiest,9
cold,warm,coldest,warmest,9
cold,coldest,weak,weakest,9
cold,weird,coldest,weirdest,9
cold,coldest,wide,widest,9
cold,young,coldest,youngest,9
cool,coolest,dark,darkest,9
cool,easy,coolest,easiest,9
cool,coolest,fast,fastest,9
cool,good,coolest,best,9
cool,coolest,great,greatest,9
cool,high,coolest,highest,9
cool,coolest,hot,hottest,9
cool,large,coolest,largest,9
cool,coolest,long,longest,9
cool,low,coolest,lowest,9
cool,coolest,lucky,luckiest,9
cool,old,coolest,oldest,9
cool,coolest,quick,quickest,9
cool,sharp,coolest,sharpest,9
cool,coolest,simple,simplest,9
cool,short,coolest,shortest,9
cool,coolest,slow,slowest,9
cool,small,coolest,smallest,9
cool,coolest,smart,smartest,9
cool,strange,coolest,strangest,9
cool,coolest,strong,strongest,9
cool,sweet,coolest,sweetest,9
cool,coolest,tall,tallest,9
cool,tasty,coolest,tastiest,9
cool,coolest,warm,warmest,9
cool,weak,coolest,weakest,9
cool,coolest,weird,weirdest,9
cool,wide,coolest,widest,9
cool,coolest,young,youngest,9
dark,easy,darkest,easiest,9
dark,darkest,fast,fastest,9
dark,good,darkest,best,9
dark,darkest,great,greatest,9
dark,high,darkest,highest,9
dark,darkest,hot,hottest,9
dark,large,darkest,largest,9
dark,darkest,long,longest,9
dark,low,darkest,lowest,9
dark,darkest,lucky,luckiest,9
dark,old,darkest,oldest,9
dark,darkest,quick,quickest,9
dark,sharp,darkest,sharpest,9
dark,darkest,simple,simplest,9
dark,short,darkest,shortest,9
dark,darkest,slow,slowest,9
dark,small,darkest,smallest,9
dark,darkest,smart,smartest,9
dark,strange,darkest,strangest,9
dark,darkest,strong,strongest,9
dark,sweet,darkest,sweetest,9
dark,darkest,tall,tallest,9
dark,tasty,darkest,tastiest,9
dark,darkest,warm,warmest,9
dark,weak,darkest,weakest,9
dark,darkest,weird,weirdest,9
dark,wide,darkest,widest,9
dark,darkest,young,youngest,9
easy,fast,easiest,fastest,9
easy,easiest,good,best,9
easy,great,easiest,greatest,9
easy,easiest,high,highest,9
easy,hot,easiest,hottest,9
easy,easiest,large,largest,9
easy,long,easiest,longest,9
easy,easiest,low,lowest,9
easy,lucky,easiest,luckiest,9
easy,easiest,old,oldest,9
easy,quick,easiest,quickest,9
easy,easiest,sharp,sharpest,9
easy,simple,easiest,simplest,9
easy,easiest,short,shortest,9
easy,slow,easiest,slowest,9
easy,easiest,small,smallest,9
easy,smart,easiest,smartest,9
easy,easiest,strange,strangest,9
easy,strong,easiest,strongest,9
easy,easiest,sweet,sweetest,9
easy,tall,easiest,tallest,9
easy,easiest,tasty,tastiest,9
easy,warm,easiest,warmest,9
easy,easiest,weak,weakest,9
easy,weird,easiest,weirdest,9
easy,easiest,wide,widest,9
easy,young,easiest,youngest,9
fast,fastest,good,best,9
fast,great,fastest,greatest,9
fast,fastest,high,highest,9
fast,hot,fastest,hottest,9
fast,fastest,large,largest,9
fast,long,fastest,longest,9
fast,fastest,low,lowest,9
fast,lucky,fastest,luckiest,9
fast,fastest,old,oldest,9
fast,quick,fastest,quickest,9
fast,fastest,sharp,sharpest,9
fast,simple,fastest,simplest,9
fast,fastest,short,shortest,9
fast,slow,fastest,slowest,9
fast,fastest,small,smallest,9
fast,smart,fastest,smartest,9
fast,fastest,strange,strangest,9
fast,strong,fastest,strongest,9
fast,fastest,sweet,sweetest,9
fast,tall,fastest,tallest,9
fast,fastest,tasty,tastiest,9
fast,warm,fastest,warmest,9
fast,fastest,weak,weakest,9
fast,weird,fastest,weirdest,9
fast,fastest,wide,widest,9
fast,young,fastest,youngest,9
good,best,great,greatest,9
good,high,best,highest,9
good,best,hot,hottest,9
good,large,best,largest,9
good,best,long,longest,9
good,low,best,lowest,9
good,best,lucky,luckiest,9
good,old,best,oldest,9
good,best,quick,quickest,9
good,sharp,best,sharpest,9
good,best,simple,simplest,9
good,short,best,shortest,9
good,best,slow,slowest,9
good,small,best,smallest,9
good,best,smart,smartest,9
good,strange,best,strangest,9
good,best,strong,strongest,9
good,sweet,best,sweetest,9
good,best,tall,tallest,9
good,tasty,best,tastiest,9
good,best,warm,warmest,9
good,weak,best,weakest,9
good,best,weird,weirdest,9
good,wide,best,widest,9
good,best,young,youngest,9
great,high,greatest,highest,9
great,greatest,hot,hottest,9
great,large,greatest,largest,9
great,greatest,long,longest,9
great,low,greatest,lowest,9
great,greatest,lucky,luckiest,9
great,old,greatest,oldest,9
great,greatest,quick,quickest,9
great,sharp,greatest,sharpest,9
great,greatest,simple,simplest,9
great,short,greatest,shortest,9
great,greatest,slow,slowest,9
great,small,greatest,smallest,9
great,greatest,smart,smartest,9
great,strange,greatest,strangest,9
great,greatest,strong,strongest,9
great,sweet,greatest,sweetest,9
great,greatest,tall,tallest,9
great,tasty,greatest,tastiest,9
great,greatest,warm,warmest,9
great,weak,greatest,weakest,9
great,greatest,weird,weirdest,9
great,wide,greatest,widest,9
great,greatest,young,youngest,9
high,hot,highest,hottest,9
high,highest,large,largest,9
high,long,highest,longest,9
high,highest,low,lowest,9
high,lucky,highest,luckiest,9
high,highest,old,oldest,9
high,quick,highest,quickest,9
high,highest,sharp,sharpest,9
high,simple,highest,simplest,9
high,highest,short,shortest,9
high,slow,highest,slowest,9
high,highest,small,smallest,9
high,smart,highest,smartest,9
high,highest,strange,strangest,9
high,strong,highest,strongest,9
high,highest,sweet,sweetest,9
high,tall,highest,tallest,9
high,highest,tasty,tastiest,9
high,warm,highest,warmest,9
high,highest,weak,weakest,9
high,weird,highest,weirdest,9
high,highest,wide,widest,9
high,young,highest,youngest,9
hot,hottest,large,largest,9
hot,long,hottest,longest,9
hot,hottest,low,lowest,9
hot,lucky,hottest,luckiest,9
hot,hottest,old,oldest,9
hot,quick,hottest,quickest,9
hot,hottest,sharp,sharpest,9
hot,simple,hottest,simplest,9
hot,hottest,short,shortest,9
hot,slow,hottest,slowest,9
hot,hottest,small,smallest,9
hot,smart,hottest,smartest,9
hot,hottest,strange,strangest,9
hot,strong,hottest,strongest,9
hot,hottest,sweet,sweetest,9
hot,tall,hottest,tallest,9
hot,hottest,tasty,tastiest,9
hot,warm,hottest,warmest,9
hot,hottest,weak,weakest,9
hot,weird,hottest,weirdest,9
hot,hottest,wide,widest,9
hot,young,hottest,youngest,9
large,largest,long,longest,9
large,low,largest,lowest,9
large,largest,lucky,luckiest,9
large,old,largest,oldest,9
large,largest,quick,quickest,9
large,sharp,largest,sharpest,9
large,largest,simple,simplest,9
large,short,largest,shortest,9
large,largest,slow,slowest,9
large,small,largest,smallest,9
large,largest,smart,smartest,9
large,strange,largest,strangest,9
large,largest,strong,strongest,9
large,sweet,largest,sweetest,9
large,largest,tall,tallest,9
large,tasty,largest,tastiest,9
large,largest,warm,warmest,9
large,weak,largest,weakest,9
large,largest,weird,weirdest,9
large,wide,largest,widest,9
large,largest,young,youngest,9
long,low,longest,lowest,9
long,longest,lucky,luckiest,9
long,old,longest,oldest,9
long,longest,quick,quickest,9
long,sharp,longest,sharpest,9
long,longest,simple,simplest,9
long,short,longest,shortest,9
long,longest,slow,slowest,9
long,small,longest,smallest,9
long,longest,smart,smartest,9
long,strange,longest,strangest,9
long,longest,strong,strongest,9
long,sweet,longest,sweetest,9
long,longest,tall,tallest,9
long,tasty,longest,tastiest,9
long,longest,warm,warmest,9
long,weak,longest,weakest,9
long,longest,weird,weirdest,9
long,wide,longest,widest,9
long,longest,young,youngest,9
low,lucky,lowest,luckiest,9
low,lowest,old,oldest,9
low,quick,lowest,quickest,9
low,lowest,sharp,sharpest,9
low,simple,lowest,simplest,9
low,lowest,short,shortest,9
low,slow,lowest,slowest,9
low,lowest,small,smallest,9
low,smart,lowest,smartest,9
low,lowest,strange,strangest,9
low,strong,lowest,strongest,9
low,lowest,sweet,sweetest,9
low,tall,lowest,tallest,9
low,lowest,tasty,tastiest,9
low,warm,lowest,warmest,9
low,lowest,weak,weakest,9
low,weird,lowest,weirdest,9
low,lowest,wide,widest,9
low,young,lowest,youngest,9
lucky,luckiest,old,oldest,9
lucky,quick,luckiest,quickest,9
lucky,luckiest,sharp,sharpest,9
lucky,simple,luckiest,simplest,9
lucky,luckiest,short,shortest,9
lucky,slow,luckiest,slowest,9
lucky,luckiest,small,smallest,9
lucky,smart,luckiest,smartest,9
lucky,luckiest,strange,strangest,9
lucky,strong,luckiest,strongest,9
lucky,luckiest,sweet,sweetest,9
lucky,tall,luckiest,tallest,9
lucky,luckiest,tasty,tastiest,9
lucky,warm,luckiest,warmest,9
lucky,luckiest,weak,weakest,9
lucky,weird,luckiest,weirdest,9
lucky,luckiest,wide,widest,9
lucky,young,luckiest,youngest,9
old,oldest,quick,quickest,9
old,sharp,oldest,sharpest,9
old,oldest,simple,simplest,9
old,short,oldest,shortest,9
old,oldest,slow,slowest,9
old,small,oldest,smallest,9
old,oldest,smart,smartest,9
old,strange,oldest,strangest,9
old,oldest,strong,strongest,9
old,sweet,oldest,sweetest,9
old,oldest,tall,tallest,9
old,tasty,oldest,tastiest,9
old,oldest,warm,warmest,9
old,weak,oldest,weakest,9
old,oldest,weird,weirdest,9
old,wide,oldest,widest,9
old,oldest,young,youngest,9
quick,sharp,quickest,sharpest,9
quick,quickest,simple,simplest,9
quick,short,quickest,shortest,9
quick,quickest,slow,slowest,9
quick,small,quickest,smallest,9
quick,quickest,smart,smartest,9
quick,strange,quickest,strangest,9
quick,quickest,strong,strongest,9
quick,sweet,quickest,sweetest,9
quick,quickest,tall,tallest,9
quick,tasty,quickest,tastiest,9
quick,quickest,warm,warmest,9
quick,weak,quickest,weakest,9
quick,quickest,weird,weirdest,9
quick,wide,quickest,widest,9
quick,quickest,young,youngest,9
sharp,simple,sharpest,simplest,9
sharp,sharpest,short,shortest,9
sharp,slow,sharpest,slowest,9
sharp,sharpest,small,smallest,9
sharp,smart,sharpest,smartest,9
sharp,sharpest,strange,strangest,9
sharp,strong,sharpest,strongest,9
sharp,sharpest,sweet,sweetest,9
sharp,tall,sharpest,tallest,9
sharp,sharpest,tasty,tastiest,9
sharp,warm,sharpest,warmest,9
sharp,sharpest,weak,weakest,9
sharp,weird,sharpest,weirdest,9
sharp,sharpest,wide,widest,9
sharp,young,sharpest,youngest,9
simple,simplest,short,shortest,9
simple,slow,simplest,slowest,9
simple,simplest,small,smallest,9
simple,smart,simplest,smartest,9
simple,simplest,strange,strangest,9
simple,strong,simplest,strongest,9
simple,simplest,sweet,sweetest,9
simple,tall,simplest,tallest,9
simple,simplest,tasty,tastiest,9
simple,warm,simplest,warmest,9
simple,simplest,weak,weakest,9
simple,weird,simplest,weirdest,9
simple,simplest,wide,widest,9
simple,young,simplest,youngest,9
short,shortest,slow,slowest,9
short,small,shortest,smallest,9
short,shortest,smart,smartest,9
short,strange,shortest,strangest,9
short,shortest,strong,strongest,9
short,sweet,shortest,sweetest,9
short,shortest,tall,tallest,9
short,tasty,shortest,tastiest,9
short,shortest,warm,warmest,9
short,weak,shortest,weakest,9
short,shortest,weird,weirdest,9
short,wide,shortest,widest,9
short,shortest,young,youngest,9
slow,small,slowest,smallest,9
slow,slowest,smart,smartest,9
slow,strange,slowest,strangest,9
slow,slowest,strong,strongest,9
slow,sweet,slowest,sweetest,9
slow,slowest,tall,tallest,9
slow,tasty,slowest,tastiest,9
slow,slowest,warm,warmest,9
slow,weak,slowest,weakest,9
slow,slowest,weird,weirdest,9
slow,wide,slowest,widest,9
slow,slowest,young,youngest,9
small,smart,smallest,smartest,9
small,smallest,strange,strangest,9
small,strong,smallest,strongest,9
small,smallest,sweet,sweetest,9
small,tall,smallest,tallest,9
small,smallest,tasty,tastiest,9
small,warm,smallest,warmest,9
small,smallest,weak,weakest,9
small,weird,smallest,weirdest,9
small,smallest,wide,widest,9
small,young,smallest,youngest,9
smart,smartest,strange,strangest,9
smart,strong,smartest,strongest,9
smart,smartest,sweet,sweetest,9
smart,tall,smartest,tallest,9
smart,smartest,tasty,tastiest,9
smart,warm,smartest,warmest,9
smart,smartest,weak,weakest,9
smart,weird,smartest,weirdest,9
smart,smartest,wide,widest,9
smart,young,smartest,youngest,9
strange,strangest,strong,strongest,9
strange,sweet,strangest,sweetest,9
strange,strangest,tall,tallest,9
strange,tasty,strangest,tastiest,9
strange,strangest,warm,warmest,9
strange,weak,strangest,weakest,9
strange,strangest,weird,weirdest,9
strange,wide,strangest,widest,9
strange,strangest,young,youngest,9
strong,sweet,strongest,sweetest,9
strong,strongest,tall,tallest,9
strong,tasty,strongest,tastiest,9
strong,strongest,warm,warmest,9
strong,weak,strongest,weakest,9
strong,strongest,weird,weirdest,9
strong,wide,strongest,widest,9
strong,strongest,young,youngest,9
sweet,tall,sweetest,tallest,9
sweet,sweetest,tasty,tastiest,9
sweet,warm,sweetest,warmest,9
sweet,sweetest,weak,weakest,9
sweet,weird,sweetest,weirdest,9
sweet,sweetest,wide,widest,9
sweet,young,sweetest,youngest,9
tall,tallest,tasty,tastiest,9
tall,warm,tallest,warmest,9
tall,tallest,weak,weakest,9
tall,weird,tallest,weirdest,9
tall,tallest,wide,widest,9
tall,young,tallest,youngest,9
tasty,tastiest,warm,warmest,9
tasty,weak,tastiest,weakest,9
tasty,tastiest,weird,weirdest,9
tasty,wide,tastiest,widest,9
tasty,tastiest,young,youngest,9
warm,weak,warmest,weakest,9
warm,warmest,weird,weirdest,9
warm,wide,warmest,widest,9
warm,warmest,young,youngest,9
weak,weird,weakest,weirdest,9
weak,weakest,wide,widest,9
weak,young,weakest,youngest,9
weird,weirdest,wide,widest,9
weird,young,weirdest,youngest,9
wide,widest,young,youngest,9
