adding,added,agreeing,agreed
announcing,announced,losing,lost
announcing,announced,managing,managed
announcing,announced,marrying,married
announcing,announced,operating,operated
announcing,announced,performing,performed
announcing,announced,proposing,proposed
announcing,announced,providing,provided
announcing,announced,publishing,published
announcing,announced,receiving,received
announcing,announced,reducing,reduced
announcing,announced,relating,related
announcing,announced,remaining,remained
announcing,announced,replacing,replaced
announcing,announced,representing,represented
announcing,announced,requiring,required
announcing,announced,sending,sent
announcing,announced,spending,spent
announcing,announced,suffering,suffered
announcing,announced,teaching,taught
announcing,announced,telling,told
announcing,announced,understanding,understood
announcing,announced,uniting,united
appearing,appeared,applying,applied
appearing,appeared,appointing,appointed
appearing,appeared,asking,asked
appearing,appeared,attending,attended
appearing,appeared,becoming,became
appearing,appeared,considering,considered
appearing,appeared,containing,contained
appearing,appeared,continuing,continued
appearing,appeared,creating,created
appearing,appeared,deciding,decided
appearing,appeared,describing,described
appearing,appeared,developing,developed
appearing,appeared,establishing,established
appearing,appeared,existing,existed
appearing,appeared,expecting,expected
appearing,appeared,failing,failed
appearing,appeared,following,followed
appearing,appeared,hearing,heard
appearing,appeared,improving,improved
appearing,appeared,including,included
appearing,appeared,introducing,introduced
appearing,appeared,involving,involved
appearing,appeared,locating,located
appearing,appeared,losing,lost
appearing,appeared,managing,managed
appearing,appeared,marrying,married
appearing,appeared,operating,operated
appearing,appeared,performing,performed
appearing,appeared,proposing,proposed
appearing,appeared,providing,provided
appearing,appeared,publishing,published
appearing,appeared,receiving,received
appearing,appeared,reducing,reduced
appearing,appeared,relating,related
appearing,appeared,remaining,remained
appearing,appeared,replacing,replaced
appearing,appeared,representing,represented
appearing,appeared,requiring,required
appearing,appeared,sending,sent
appearing,appeared,spending,spent
appearing,appeared,suffering,suffered
appearing,appeared,teaching,taught
appearing,appeared,telling,told
appearing,appeared,understanding,understood
appearing,appeared,uniting,united
applying,applied,appointing,appointed
applying,applied,asking,asked
applying,applied,attending,attended
applying,applied,becoming,became
applying,applied,considering,considered
applying,applied,containing,contained
applying,applied,continuing,continued
applying,applied,creating,created
applying,applied,deciding,decided
applying,applied,describing,described
applying,applied,developing,developed
applying,applied,establishing,established
applying,applied,existing,existed
applying,applied,expecting,expected
applying,applied,failing,failed
applying,applied,following,followed
applying,applied,hearing,heard
applying,applied,improving,improved
applying,applied,including,included
applying,applied,introducing,introduced
applying,applied,involving,involved
applying,applied,locating,located
applying,applied,losing,lost
applying,applied,managing,managed
applying,applied,marrying,married
applying,applied,operating,operated
applying,applied,performing,performed
applying,applied,proposing,proposed
applying,applied,providing,provided
applying,applied,publishing,published
applying,applied,receiving,received
applying,applied,reducing,reduced
applying,applied,relating,related
applying,applied,remaining,remained
applying,applied,replacing,replaced
applying,applied,representing,represented
applying,applied,requiring,required
applying,applied,sending,sent
applying,applied,spending,spent
applying,applied,suffering,suffered
applying,applied,teaching,taught
applying,applied,telling,told
applying,applied,understanding,understood
applying,applied,uniting,united
appointing,appointed,asking,asked
appointing,appointed,attending,attended
appointing,appointed,becoming,became
appointing,appointed,considering,considered
appointing,appointed,containing,contained
appointing,appointed,continuing,continued
appointing,appointed,creating,created
appointing,appointed,deciding,decided
appointing,appointed,describing,described
appointing,appointed,developing,developed
appointing,appointed,establishing,established
appointing,appointed,existing,existed
appointing,appointed,expecting,expected
appointing,appointed,failing,failed
appointing,appointed,following,followed
appointing,appointed,hearing,heard
appointing,appointed,improving,improved
appointing,appointed,including,included
appointing,appointed,introducing,introduced
appointing,appointed,involving,involved
appointing,appointed,locating,located
appointing,appointed,losing,lost
appointing,appointed,managing,managed
appointing,appointed,marrying,married
appointing,appointed,operating,operated
appointing,appointed,performing,performed
appointing,appointed,proposing,proposed
appointing,appointed,providing,provided
appointing,appointed,publishing,published
appointing,appointed,receiving,received
appointing,appointed,reducing,reduced
appointing,appointed,relating,related
appointing,appointed,remaining,remained
appointing,appointed,replacing,replaced
appointing,appointed,representing,represented
appointing,appointed,requiring,required
appointing,appointed,sending,sent
appointing,appointed,spending,spent
appointing,appointed,suffering,suffered
appointing,appointed,teaching,taught
appointing,appointed,telling,told
appointing,appointed,understanding,understood
appointing,appointed,uniting,united
asking,asked,attending,attended
asking,asked,becoming,became
asking,asked,considering,considered
asking,asked,containing,contained
asking,asked,continuing,continued
asking,asked,creating,created
asking,asked,deciding,decided
asking,asked,describing,described
asking,asked,developing,developed
asking,asked,establishing,established
asking,asked,existing,existed
asking,asked,expecting,expected
asking,asked,failing,failed
asking,asked,following,followed
asking,asked,hearing,heard
asking,asked,improving,improved
asking,asked,including,included
asking,asked,introducing,introduced
asking,asked,involving,involved
asking,asked,locating,located
asking,asked,losing,lost
asking,asked,managing,managed
asking,asked,marrying,married
asking,asked,operating,operated
asking,asked,performing,performed
asking,asked,proposing,proposed
asking,asked,providing,provided
asking,asked,publishing,published
asking,asked,receiving,received
asking,asked,reducing,reduced
asking,asked,relating,related
asking,asked,remaining,remained
asking,asked,replacing,replaced
asking,asked,representing,represented
asking,asked,requiring,required
asking,asked,sending,sent
asking,asked,spending,spent
asking,asked,suffering,suffered
asking,asked,teaching,taught
asking,asked,telling,told
asking,asked,understanding,understood
asking,asked,uniting,united
attending,attended,becoming,became
attending,attended,considering,considered
attending,attended,containing,contained
attending,attended,continuing,continued
attending,attended,creating,created
attending,attended,deciding,decided
attending,attended,describing,described
attending,attended,developing,developed
attending,attended,establishing,established
attending,attended,existing,existed
attending,attended,expecting,expected
attending,attended,failing,failed
attending,attended,following,followed
attending,attended,hearing,heard
attending,attended,improving,improved
attending,attended,including,included
attending,attended,introducing,introduced
attending,attended,involving,involved
attending,attended,locating,located
attending,attended,losing,lost
attending,attended,managing,managed
attending,attended,marrying,married
attending,attended,operating,operated
attending,attended,performing,performed
attending,attended,proposing,proposed
attending,attended,providing,provided
attending,attended,publishing,published
attending,attended,receiving,received
attending,attended,reducing,reduced
attending,attended,relating,related
attending,attended,remaining,remained
attending,attended,replacing,replaced
attending,attended,representing,represented
attending,attended,requiring,required
attending,attended,sending,sent
attending,attended,spending,spent
attending,attended,suffering,suffered
attending,attended,teaching,taught
attending,attended,telling,told
attending,attended,understanding,understood
attending,attended,uniting,united
becoming,became,considering,considered
becoming,became,containing,contained
becoming,became,continuing,continued
becoming,became,creating,created
becoming,became,deciding,decided
becoming,became,describing,described
becoming,became,developing,developed
becoming,became,establishing,established
becoming,became,existing,existed
becoming,became,expecting,expected
becoming,became,failing,failed
becoming,became,following,followed
becoming,became,hearing,heard
becoming,became,improving,improved
becoming,became,including,included
becoming,became,introducing,introduced
becoming,became,involving,involved
becoming,became,locating,located
becoming,became,losing,lost
becoming,became,managing,managed
becoming,became,marrying,married
becoming,became,operating,operated
becoming,became,performing,performed
becoming,became,proposing,proposed
becoming,became,providing,provided
becoming,became,publishing,published
becoming,became,receiving,received
becoming,became,reducing,reduced
becoming,became,relating,related
becoming,became,remaining,remained
becoming,became,replacing,replaced
becoming,became,representing,represented
becoming,became,requiring,required
becoming,became,sending,sent
becoming,became,spending,spent
becoming,became,suffering,suffered
becoming,became,teaching,taught
becoming,became,telling,told
becoming,became,understanding,understood
becoming,became,uniting,united
considering,considered,containing,contained
considering,considered,continuing,continued
considering,considered,creating,created
considering,considered,deciding,decided
considering,considered,describing,described
considering,considered,developing,developed
considering,considered,establishing,established
considering,considered,existing,existed
considering,considered,expecting,expected
considering,considered,failing,failed
considering,considered,following,followed
considering,considered,hearing,heard
considering,considered,improving,improved
considering,considered,including,included
considering,considered,introducing,introduced
considering,considered,involving,involved
considering,considered,locating,located
considering,considered,losing,lost
considering,considered,managing,managed
considering,considered,marrying,married
considering,considered,operating,operated
considering,considered,performing,performed
considering,considered,proposing,proposed
considering,considered,providing,provided
considering,considered,publishing,published
considering,considered,receiving,received
considering,considered,reducing,reduced
considering,considered,relating,related
considering,considered,remaining,remained
considering,considered,replacing,replaced
considering,considered,representing,represented
considering,considered,requiring,required
considering,considered,sending,sent
considering,considered,spending,spent
considering,considered,suffering,suffered
considering,considered,teaching,taught
considering,considered,telling,told
considering,considered,understanding,understood
considering,considered,uniting,united
containing,contained,continuing,continued
containing,contained,creating,created
containing,contained,deciding,decided
containing,contained,describing,described
containing,contained,developing,developed
containing,contained,establishing,established
containing,contained,existing,existed
containing,contained,expecting,expected
containing,contained,failing,failed
containing,contained,following,followed
containing,contained,hearing,heard
containing,contained,improving,improved
containing,contained,including,included
containing,contained,introducing,introduced
containing,contained,involving,involved
containing,contained,locating,located
containing,contained,losing,lost
containing,contained,managing,managed
containing,contained,marrying,married
containing,contained,operating,operated
containing,contained,performing,performed
containing,contained,proposing,proposed
containing,contained,providing,provided
containing,contained,publishing,published
containing,contained,receiving,received
containing,contained,reducing,reduced
containing,contained,relating,related
containing,contained,remaining,remained
containing,contained,replacing,replaced
containing,contained,representing,represented
containing,contained,requiring,required
containing,contained,sending,sent
containing,contained,spending,spent
containing,contained,suffering,suffered
containing,contained,teaching,taught
containing,contained,telling,told
containing,contained,understanding,understood
containing,contained,uniting,united
continuing,continued,creating,created
continuing,continued,deciding,decided
continuing,continued,describing,described
continuing,continued,developing,developed
continuing,continued,establishing,established
continuing,continued,existing,existed
continuing,continued,expecting,expected
continuing,continued,failing,failed
continuing,continued,following,followed
continuing,continued,hearing,heard
continuing,continued,improving,improved
continuing,continued,including,included
continuing,continued,introducing,introduced
continuing,continued,involving,involved
continuing,continued,locating,located
continuing,continued,losing,lost
continuing,continued,managing,managed
continuing,continued,marrying,married
continuing,continued,operating,operated
continuing,continued,performing,performed
continuing,continued,proposing,proposed
continuing,continued,providing,provided
continuing,continued,publishing,published
continuing,continued,receiving,received
continuing,continued,reducing,reduced
continuing,continued,relating,related
continuing,continued,remaining,remained
continuing,continued,replacing,replaced
continuing,continued,representing,represented
continuing,continued,requiring,required
continuing,continued,sending,sent
continuing,continued,spending,spent
continuing,continued,suffering,suffered
continuing,continued,teaching,taught
continuing,continued,telling,told
continuing,continued,understanding,understood
continuing,continued,uniting,united
creating,created,deciding,decided
creating,created,describing,described
creating,created,developing,developed
creating,created,establishing,established
creating,created,existing,existed
creating,created,expecting,expected
creating,created,failing,failed
creating,created,following,followed
creating,created,hearing,heard
creating,created,improving,improved
creating,created,including,included
creating,created,introducing,introduced
creating,created,involving,involved
creating,created,locating,located
creating,created,losing,lost
creating,created,managing,managed
creating,created,marrying,married
creating,created,operating,operated
creating,created,performing,performed
creating,created,proposing,proposed
creating,created,providing,provided
creating,created,publishing,published
creating,created,receiving,received
creating,created,reducing,reduced
creating,created,relating,related
creating,created,remaining,remained
creating,created,replacing,replaced
creating,created,representing,represented
creating,created,requiring,required
creating,created,sending,sent
creating,created,spending,spent
creating,created,suffering,suffered
creating,created,teaching,taught
creating,created,telling,told
creating,created,understanding,understood
creating,created,uniting,united
deciding,decided,describing,described
deciding,decided,developing,developed
deciding,decided,establishing,established
deciding,decided,existing,existed
deciding,decided,expecting,expected
deciding,decided,failing,failed
deciding,decided,following,followed
deciding,decided,hearing,heard
deciding,decided,improving,improved
deciding,decided,including,included
deciding,decided,introducing,introduced
deciding,decided,involving,involved
deciding,decided,locating,located
deciding,decided,losing,lost
deciding,decided,managing,managed
deciding,decided,marrying,married
deciding,decided,operating,operated
deciding,decided,performing,performed
deciding,decided,proposing,proposed
deciding,decided,providing,provided
deciding,decided,publishing,published
deciding,decided,receiving,received
deciding,decided,reducing,reduced
deciding,decided,relating,related
deciding,decided,remaining,remained
deciding,decided,replacing,replaced
deciding,decided,representing,represented
deciding,decided,requiring,required
deciding,decided,sending,sent
deciding,decided,spending,spent
deciding,decided,suffering,suffered
deciding,decided,teaching,taught
deciding,decided,telling,told
deciding,decided,understanding,understood
deciding,decided,uniting,united
describing,described,developing,developed
describing,described,establishing,established
describing,described,existing,existed
describing,described,expecting,expected
describing,described,failing,failed
describing,described,following,followed
describing,described,hearing,heard
describing,described,improving,improved
describing,described,including,included
describing,described,introducing,introduced
describing,described,involving,involved
describing,described,locating,located
describing,described,losing,lost
describing,described,managing,managed
describing,described,marrying,married
describing,described,operating,operated
describing,described,performing,performed
describing,described,proposing,proposed
describing,described,providing,provided
describing,described,publishing,published
describing,described,receiving,received
describing,described,reducing,reduced
describing,described,relating,related
describing,described,remaining,remained
describing,described,replacing,replaced
describing,described,representing,represented
describing,described,requiring,required
describing,described,sending,sent
describing,described,spending,spent
describing,described,suffering,suffered
describing,described,teaching,taught
describing,described,telling,told
describing,described,understanding,understood
describing,described,uniting,united
developing,developed,establishing,established
developing,developed,existing,existed
developing,developed,expecting,expected
developing,developed,failing,failed
developing,developed,following,followed
developing,developed,hearing,heard
developing,developed,improving,improved
developing,developed,including,included
developing,developed,introducing,introduced
developing,developed,involving,involved
developing,developed,locating,located
developing,developed,losing,lost
developing,developed,managing,managed
developing,developed,marrying,married
developing,developed,operating,operated
developing,developed,performing,performed
developing,developed,proposing,proposed
developing,developed,providing,provided
developing,developed,publishing,published
developing,developed,receiving,received
developing,developed,reducing,reduced
developing,developed,relating,related
developing,developed,remaining,remained
developing,developed,replacing,replaced
developing,developed,representing,represented
developing,developed,requiring,required
developing,developed,sending,sent
developing,developed,spending,spent
developing,developed,suffering,suffered
developing,developed,teaching,taught
developing,developed,telling,told
developing,developed,understanding,understood
developing,developed,uniting,united
establishing,established,existing,existed
establishing,established,expecting,expected
establishing,established,failing,failed
establishing,established,following,followed
establishing,established,hearing,heard
establishing,established,improving,improved
establishing,established,including,included
establishing,established,introducing,introduced
establishing,established,involving,involved
establishing,established,locating,located
establishing,established,losing,lost
establishing,established,managing,managed
establishing,established,marrying,married
establishing,established,operating,operated
establishing,established,performing,performed
establishing,established,proposing,proposed
establishing,established,providing,provided
establishing,established,publishing,published
establishing,established,receiving,received
establishing,established,reducing,reduced
establishing,established,relating,related
establishing,established,remaining,remained
establishing,established,replacing,replaced
establishing,established,representing,represented
establishing,established,requiring,required
establishing,established,sending,sent
establishing,established,spending,spent
establishing,established,suffering,suffered
establishing,established,teaching,taught
establishing,established,telling,told
establishing,established,understanding,understood
establishing,established,uniting,united
existing,existed,expecting,expected
existing,existed,failing,failed
existing,existed,following,followed
existing,existed,hearing,heard
existing,existed,improving,improved
existing,existed,including,included
existing,existed,introducing,introduced
existing,existed,involving,involved
existing,existed,locating,located
existing,existed,losing,lost
existing,existed,managing,managed
existing,existed,marrying,married
existing,existed,operating,operated
existing,existed,performing,performed
existing,existed,proposing,proposed
existing,existed,providing,provided
existing,existed,publishing,published
existing,existed,receiving,received
existing,existed,reducing,reduced
existing,existed,relating,related
existing,existed,remaining,remained
existing,existed,replacing,replaced
existing,existed,representing,represented
existing,existed,requiring,required
existing,existed,sending,sent
existing,existed,spending,spent
existing,existed,suffering,suffered
existing,existed,teaching,taught
existing,existed,telling,told
existing,existed,understanding,understood
existing,existed,uniting,united
expecting,expected,failing,failed
expecting,expected,following,followed
expecting,expected,hearing,heard
expecting,expected,improving,improved
expecting,expected,including,included
expecting,expected,introducing,introduced
expecting,expected,involving,involved
expecting,expected,locating,located
expecting,expected,losing,lost
expecting,expected,managing,managed
expecting,expected,marrying,married
expecting,expected,operating,operated
expecting,expected,performing,performed
expecting,expected,proposing,proposed
expecting,expected,providing,provided
expecting,expected,publishing,published
expecting,expected,receiving,received
expecting,expected,reducing,reduced
expecting,expected,relating,related
expecting,expected,remaining,remained
expecting,expected,replacing,replaced
expecting,expected,representing,represented
expecting,expected,requiring,required
expecting,expected,sending,sent
expecting,expected,spending,spent
expecting,expected,suffering,suffered
expecting,expected,teaching,taught
expecting,expected,telling,told
expecting,expected,understanding,understood
expecting,expected,uniting,united
failing,failed,following,followed
failing,failed,hearing,heard
failing,failed,improving,improved
failing,failed,including,included
failing,failed,introducing,introduced
failing,failed,involving,involved
failing,failed,locating,located
failing,failed,losing,lost
failing,failed,managing,managed
failing,failed,marrying,married
failing,failed,operating,operated
failing,failed,performing,performed
failing,failed,proposing,proposed
failing,failed,providing,provided
failing,failed,publishing,published
failing,failed,receiving,received
failing,failed,reducing,reduced
failing,failed,relating,related
failing,failed,remaining,remained
failing,failed,replacing,replaced
failing,failed,representing,represented
failing,failed,requiring,required
failing,failed,sending,sent
failing,failed,spending,spent
failing,failed,suffering,suffered
failing,failed,teaching,taught
failing,failed,telling,told
failing,failed,understanding,understood
failing,failed,uniting,united
following,followed,hearing,heard
following,followed,improving,improved
following,followed,including,included
following,followed,introducing,introduced
following,followed,involving,involved
following,followed,locating,located
following,followed,losing,lost
following,followed,managing,managed
following,followed,marrying,married
following,followed,operating,operated
following,followed,performing,performed
following,followed,proposing,proposed
following,followed,providing,provided
following,followed,publishing,published
following,followed,receiving,received
following,followed,reducing,reduced
following,followed,relating,related
following,followed,remaining,remained
following,followed,replacing,replaced
following,followed,representing,represented
following,followed,requiring,required
following,followed,sending,sent
following,followed,spending,spent
following,followed,suffering,suffered
following,followed,teaching,taught
following,followed,telling,told
following,followed,understanding,understood
following,followed,uniting,united
hearing,heard,improving,improved
hearing,heard,including,included
hearing,heard,introducing,introduced
hearing,heard,involving,involved
hearing,heard,locating,located
hearing,heard,losing,lost
hearing,heard,managing,managed
hearing,heard,marrying,married
hearing,heard,operating,operated
hearing,heard,performing,performed
hearing,heard,proposing,proposed
hearing,heard,providing,provided
hearing,heard,publishing,published
hearing,heard,receiving,received
hearing,heard,reducing,reduced
hearing,heard,relating,related
hearing,heard,remaining,remained
hearing,heard,replacing,replaced
hearing,heard,representing,represented
hearing,heard,requiring,required
hearing,heard,sending,sent
hearing,heard,spending,spent
hearing,heard,suffering,suffered
hearing,heard,teaching,taught
hearing,heard,telling,told
hearing,heard,understanding,understood
hearing,heard,uniting,united
improving,improved,including,included
improving,improved,introducing,introduced
improving,improved,involving,involved
improving,improved,locating,located
improving,improved,losing,lost
improving,improved,managing,managed
improving,improved,marrying,married
improving,improved,operating,operated
improving,improved,performing,performed
improving,improved,proposing,proposed
improving,improved,providing,provided
improving,improved,publishing,published
improving,improved,receiving,received
improving,improved,reducing,reduced
improving,improved,relating,related
improving,improved,remaining,remained
improving,improved,replacing,replaced
improving,improved,representing,represented
improving,improved,requiring,required
improving,improved,sending,sent
improving,improved,spending,spent
improving,improved,suffering,suffered
improving,improved,teaching,taught
improving,improved,telling,told
improving,improved,understanding,understood
improving,improved,uniting,united
including,included,introducing,introduced
including,included,involving,involved
including,included,locating,located
including,included,losing,lost
including,included,managing,managed
including,included,marrying,married
including,included,operating,operated
including,included,performing,performed
including,included,proposing,proposed
including,included,providing,provided
including,included,publishing,published
including,included,receiving,received
including,included,reducing,reduced
including,included,relating,related
including,included,remaining,remained
including,included,replacing,replaced
including,included,representing,represented
including,included,requiring,required
including,included,sending,sent
including,included,spending,spent
including,included,suffering,suffered
including,included,teaching,taught
including,included,telling,told
including,included,understanding,understood
including,included,uniting,united
introducing,introduced,involving,involved
introducing,introduced,locating,located
introducing,introduced,losing,lost
introducing,introduced,managing,managed
introducing,introduced,marrying,married
introducing,introduced,operating,operated
introducing,introduced,performing,performed
introducing,introduced,proposing,proposed
introducing,introduced,providing,provided
introducing,introduced,publishing,published
introducing,introduced,receiving,received
introducing,introduced,reducing,reduced
introducing,introduced,relating,related
introducing,introduced,remaining,remained
introducing,introduced,replacing,replaced
introducing,introduced,representing,represented
introducing,introduced,requiring,required
introducing,introduced,sending,sent
introducing,introduced,spending,spent
introducing,introduced,suffering,suffered
introducing,introduced,teaching,taught
introducing,introduced,telling,told
introducing,introduced,understanding,understood
introducing,introduced,uniting,united
involving,involved,locating,located
involving,involved,losing,lost
involving,involved,managing,managed
involving,involved,marrying,married
involving,involved,operating,operated
involving,involved,performing,performed
involving,involved,proposing,proposed
involving,involved,providing,provided
involving,involved,publishing,published
involving,involved,receiving,received
involving,involved,reducing,reduced
involving,involved,relating,related
involving,involved,remaining,remained
involving,involved,replacing,replaced
involving,involved,representing,represented
involving,involved,requiring,required
involving,involved,sending,sent
involving,involved,spending,spent
involving,involved,suffering,suffered
involving,involved,teaching,taught
involving,involved,telling,told
involving,involved,understanding,understood
involving,involved,uniting,united
locating,located,losing,lost
locating,located,managing,managed
locating,located,marrying,married
locating,located,operating,operated
locating,located,performing,performed
locating,located,proposing,proposed
locating,located,providing,provided
locating,located,publishing,published
locating,located,receiving,received
locating,located,reducing,reduced
locating,located,relating,related
locating,located,remaining,remained
locating,located,replacing,replaced
locating,located,representing,represented
locating,located,requiring,required
locating,located,sending,sent
locating,located,spending,spent
locating,located,suffering,suffered
locating,located,teaching,taught
locating,located,telling,told
locating,located,understanding,understood
locating,located,uniting,united
losing,lost,managing,managed
losing,lost,marrying,married
losing,lost,operating,operated
losing,lost,performing,performed
losing,lost,proposing,proposed
losing,lost,providing,provided
losing,lost,publishing,published
losing,lost,receiving,received
losing,lost,reducing,reduced
losing,lost,relating,related
losing,lost,remaining,remained
losing,lost,replacing,replaced
losing,lost,representing,represented
losing,lost,requiring,required
losing,lost,sending,sent
losing,lost,spending,spent
losing,lost,suffering,suffered
losing,lost,teaching,taught
losing,lost,telling,told
losing,lost,understanding,understood
losing,lost,uniting,united
managing,managed,marrying,married
managing,managed,operating,operated
managing,managed,performing,performed
managing,managed,proposing,proposed
managing,managed,providing,provided
managing,managed,publishing,published
managing,managed,receiving,received
managing,managed,reducing,reduced
managing,managed,relating,related
managing,managed,remaining,remained
managing,managed,replacing,replaced
managing,managed,representing,represented
managing,managed,requiring,required
managing,managed,sending,sent
managing,managed,spending,spent
managing,managed,suffering,suffered
managing,managed,teaching,taught
managing,managed,telling,told
managing,managed,understanding,understood
managing,managed,uniting,united
marrying,married,operating,operated
marrying,married,performing,performed
marrying,married,proposing,proposed
marrying,married,providing,provided
marrying,married,publishing,published
marrying,married,receiving,received
marrying,married,reducing,reduced
marrying,married,relating,related
marrying,married,remaining,remained
marrying,married,replacing,replaced
marrying,married,representing,represented
marrying,married,requiring,required
marrying,married,sending,sent
marrying,married,spending,spent
marrying,married,suffering,suffered
marrying,married,teaching,taught
marrying,married,telling,told
marrying,married,understanding,understood
marrying,married,uniting,united
operating,operated,performing,performed
operating,operated,proposing,proposed
operating,operated,providing,provided
operating,operated,publishing,published
operating,operated,receiving,received
operating,operated,reducing,reduced
operating,operated,relating,related
operating,operated,remaining,remained
operating,operated,replacing,replaced
operating,operated,representing,represented
operating,operated,requiring,required
operating,operated,sending,sent
operating,operated,spending,spent
operating,operated,suffering,suffered
operating,operated,teaching,taught
operating,operated,telling,told
operating,operated,understanding,understood
operating,operated,uniting,united
performing,performed,proposing,proposed
performing,performed,providing,provided
performing,performed,publishing,published
performing,performed,receiving,received
performing,performed,reducing,reduced
performing,performed,relating,related
performing,performed,remaining,remained
performing,performed,replacing,replaced
performing,performed,representing,represented
performing,performed,requiring,required
performing,performed,sending,sent
performing,performed,spending,spent
performing,performed,suffering,suffered
performing,performed,teaching,taught
performing,performed,telling,told
performing,performed,understanding,understood
performing,performed,uniting,united
proposing,proposed,providing,provided
proposing,proposed,publishing,published
proposing,proposed,receiving,received
proposing,proposed,reducing,reduced
proposing,proposed,relating,related
proposing,proposed,remaining,remained
proposing,proposed,replacing,replaced
proposing,proposed,representing,represented
proposing,proposed,requiring,required
proposing,proposed,sending,sent
proposing,proposed,spending,spent
proposing,proposed,suffering,suffered
