able,ablest,angry,angriest
clever,cleverest,risky,riskiest
clever,cleverest,rude,rudest
clever,cleverest,sad,saddest
clever,cleverest,scary,scariest
clever,cleverest,sexy,sexiest
clever,cleverest,shiny,shiniest
clever,cleverest,strange,strangest
clever,cleverest,strict,strictest
clever,cleverest,strong,strongest
clever,cleverest,subtle,subtlest
clever,cleverest,sunny,sunniest
clever,cleverest,tasty,tastiest
clever,cleverest,tiny,tiniest
clever,cleverest,tricky,trickiest
clever,cleverest,ugly,ugliest
clever,cleverest,vague,vaguest
clever,cleverest,weak,weakest
clever,cleverest,wealthy,wealthiest
clever,cleverest,weird,weirdest
costly,costliest,cruel,cruelest
costly,costliest,cute,cutest
costly,costliest,dense,densest
costly,costliest,dumb,dumbest
costly,costliest,fierce,fiercest
costly,costliest,handy,handiest
costly,costliest,happy,happiest
costly,costliest,hardy,hardiest
costly,costliest,harsh,harshest
costly,costliest,healthy,healthiest
costly,costliest,hot,hottest
costly,costliest,huge,hugest
costly,costliest,hungry,hungriest
costly,costliest,lazy,laziest
costly,costliest,lengthy,lengthiest
costly,costliest,lucky,luckiest
costly,costliest,merry,merriest
costly,costliest,mild,mildest
costly,costliest,nasty,nastiest
costly,costliest,neat,neatest
costly,costliest,nice,nicest
costly,costliest,noisy,noisiest
costly,costliest,proud,proudest
costly,costliest,pure,purest
costly,costliest,rare,rarest
costly,costliest,risky,riskiest
costly,costliest,rude,rudest
costly,costliest,sad,saddest
costly,costliest,scary,scariest
costly,costliest,sexy,sexiest
costly,costliest,shiny,shiniest
costly,costliest,strange,strangest
costly,costliest,strict,strictest
costly,costliest,strong,strongest
costly,costliest,subtle,subtlest
costly,costliest,sunny,sunniest
costly,costliest,tasty,tastiest
costly,costliest,tiny,tiniest
costly,costliest,tricky,trickiest
costly,costliest,ugly,ugliest
costly,costliest,vague,vaguest
costly,costliest,weak,weakest
costly,costliest,wealthy,wealthiest
costly,costliest,weird,weirdest
cruel,cruelest,cute,cutest
cruel,cruelest,dense,densest
cruel,cruelest,dumb,dumbest
cruel,cruelest,fierce,fiercest
cruel,cruelest,handy,handiest
cruel,cruelest,happy,happiest
cruel,cruelest,hardy,hardiest
cruel,cruelest,harsh,harshest
cruel,cruelest,healthy,healthiest
cruel,cruelest,hot,hottest
cruel,cruelest,huge,hugest
cruel,cruelest,hungry,hungriest
cruel,cruelest,lazy,laziest
cruel,cruelest,lengthy,lengthiest
cruel,cruelest,lucky,luckiest
cruel,cruelest,merry,merriest
cruel,cruelest,mild,mildest
cruel,cruelest,nasty,nastiest
cruel,cruelest,neat,neatest
cruel,cruelest,nice,nicest
cruel,cruelest,noisy,noisiest
cruel,cruelest,proud,proudest
cruel,cruelest,pure,purest
cruel,cruelest,rare,rarest
cruel,cruelest,risky,riskiest
cruel,cruelest,rude,rudest
cruel,cruelest,sad,saddest
cruel,cruelest,scary,scariest
cruel,cruelest,sexy,sexiest
cruel,cruelest,shiny,shiniest
cruel,cruelest,strange,strangest
cruel,cruelest,strict,strictest
cruel,cruelest,strong,strongest
cruel,cruelest,subtle,subtlest
cruel,cruelest,sunny,sunniest
cruel,cruelest,tasty,tastiest
cruel,cruelest,tiny,tiniest
cruel,cruelest,tricky,trickiest
cruel,cruelest,ugly,ugliest
cruel,cruelest,vague,vaguest
cruel,cruelest,weak,weakest
cruel,cruelest,wealthy,wealthiest
cruel,cruelest,weird,weirdest
cute,cutest,dense,densest
cute,cutest,dumb,dumbest
cute,cutest,fierce,fiercest
cute,cutest,handy,handiest
cute,cutest,happy,happiest
cute,cutest,hardy,hardiest
cute,cutest,harsh,harshest
cute,cutest,healthy,healthiest
cute,cutest,hot,hottest
cute,cutest,huge,hugest
cute,cutest,hungry,hungriest
cute,cutest,lazy,laziest
cute,cutest,lengthy,lengthiest
cute,cutest,lucky,luckiest
cute,cutest,merry,merriest
cute,cutest,mild,mildest
cute,cutest,nasty,nastiest
cute,cutest,neat,neatest
cute,cutest,nice,nicest
cute,cutest,noisy,noisiest
cute,cutest,proud,proudest
cute,cutest,pure,purest
cute,cutest,rare,rarest
cute,cutest,risky,riskiest
cute,cutest,rude,rudest
cute,cutest,sad,saddest
cute,cutest,scary,scariest
cute,cutest,sexy,sexiest
cute,cutest,shiny,shiniest
cute,cutest,strange,strangest
cute,cutest,strict,strictest
cute,cutest,strong,strongest
cute,cutest,subtle,subtlest
cute,cutest,sunny,sunniest
cute,cutest,tasty,tastiest
cute,cutest,tiny,tiniest
cute,cutest,tricky,trickiest
cute,cutest,ugly,ugliest
cute,cutest,vague,vaguest
cute,cutest,weak,weakest
cute,cutest,wealthy,wealthiest
cute,cutest,weird,weirdest
dense,densest,dumb,dumbest
dense,densest,fierce,fiercest
dense,densest,handy,handiest
dense,densest,happy,happiest
dense,densest,hardy,hardiest
dense,densest,harsh,harshest
dense,densest,healthy,healthiest
dense,densest,hot,hottest
dense,densest,huge,hugest
dense,densest,hungry,hungriest
dense,densest,lazy,laziest
dense,densest,lengthy,lengthiest
dense,densest,lucky,luckiest
dense,densest,merry,merriest
dense,densest,mild,mildest
dense,densest,nasty,nastiest
dense,densest,neat,neatest
dense,densest,nice,nicest
dense,densest,noisy,noisiest
dense,densest,proud,proudest
dense,densest,pure,purest
dense,densest,rare,rarest
dense,densest,risky,riskiest
dense,densest,rude,rudest
dense,densest,sad,saddest
dense,densest,scary,scariest
dense,densest,sexy,sexiest
dense,densest,shiny,shiniest
dense,densest,strange,strangest
dense,densest,strict,strictest
dense,densest,strong,strongest
dense,densest,subtle,subtlest
dense,densest,sunny,sunniest
dense,densest,tasty,tastiest
dense,densest,tiny,tiniest
dense,densest,tricky,trickiest
dense,densest,ugly,ugliest
dense,densest,vague,vaguest
dense,densest,weak,weakest
dense,densest,wealthy,wealthiest
dense,densest,weird,weirdest
dumb,dumbest,fierce,fiercest
dumb,dumbest,handy,handiest
dumb,dumbest,happy,happiest
dumb,dumbest,hardy,hardiest
dumb,dumbest,harsh,harshest
dumb,dumbest,healthy,healthiest
dumb,dumbest,hot,hottest
dumb,dumbest,huge,hugest
dumb,dumbest,hungry,hungriest
dumb,dumbest,lazy,laziest
dumb,dumbest,lengthy,lengthiest
dumb,dumbest,lucky,luckiest
dumb,dumbest,merry,merriest
dumb,dumbest,mild,mildest
dumb,dumbest,nasty,nastiest
dumb,dumbest,neat,neatest
dumb,dumbest,nice,nicest
dumb,dumbest,noisy,noisiest
dumb,dumbest,proud,proudest
dumb,dumbest,pure,purest
dumb,dumbest,rare,rarest
dumb,dumbest,risky,riskiest
dumb,dumbest,rude,rudest
dumb,dumbest,sad,saddest
dumb,dumbest,scary,scariest
dumb,dumbest,sexy,sexiest
dumb,dumbest,shiny,shiniest
dumb,dumbest,strange,strangest
dumb,dumbest,strict,strictest
dumb,dumbest,strong,strongest
dumb,dumbest,subtle,subtlest
dumb,dumbest,sunny,sunniest
dumb,dumbest,tasty,tastiest
dumb,dumbest,tiny,tiniest
dumb,dumbest,tricky,trickiest
dumb,dumbest,ugly,ugliest
dumb,dumbest,vague,vaguest
dumb,dumbest,weak,weakest
dumb,dumbest,wealthy,wealthiest
dumb,dumbest,weird,weirdest
fierce,fiercest,handy,handiest
fierce,fiercest,happy,happiest
fierce,fiercest,hardy,hardiest
fierce,fiercest,harsh,harshest
fierce,fiercest,healthy,healthiest
fierce,fiercest,hot,hottest
fierce,fiercest,huge,hugest
fierce,fiercest,hungry,hungriest
fierce,fiercest,lazy,laziest
fierce,fiercest,lengthy,lengthiest
fierce,fiercest,lucky,luckiest
fierce,fiercest,merry,merriest
fierce,fiercest,mild,mildest
fierce,fiercest,nasty,nastiest
fierce,fiercest,neat,neatest
fierce,fiercest,nice,nicest
fierce,fiercest,noisy,noisiest
fierce,fiercest,proud,proudest
fierce,fiercest,pure,purest
fierce,fiercest,rare,rarest
fierce,fiercest,risky,riskiest
fierce,fiercest,rude,rudest
fierce,fiercest,sad,saddest
fierce,fiercest,scary,scariest
fierce,fiercest,sexy,sexiest
fierce,fiercest,shiny,shiniest
fierce,fiercest,strange,strangest
fierce,fiercest,strict,strictest
fierce,fiercest,strong,strongest
fierce,fiercest,subtle,subtlest
fierce,fiercest,sunny,sunniest
fierce,fiercest,tasty,tastiest
fierce,fiercest,tiny,tiniest
fierce,fiercest,tricky,trickiest
fierce,fiercest,ugly,ugliest
fierce,fiercest,vague,vaguest
fierce,fiercest,weak,weakest
fierce,fiercest,wealthy,wealthiest
fierce,fiercest,weird,weirdest
handy,handiest,happy,happiest
handy,handiest,hardy,hardiest
handy,handiest,harsh,harshest
handy,handiest,healthy,healthiest
handy,handiest,hot,hottest
handy,handiest,huge,hugest
handy,handiest,hungry,hungriest
handy,handiest,lazy,laziest
handy,handiest,lengthy,lengthiest
handy,handiest,lucky,luckiest
handy,handiest,merry,merriest
handy,handiest,mild,mildest
handy,handiest,nasty,nastiest
handy,handiest,neat,neatest
handy,handiest,nice,nicest
handy,handiest,noisy,noisiest
handy,handiest,proud,proudest
handy,handiest,pure,purest
handy,handiest,rare,rarest
handy,handiest,risky,riskiest
handy,handiest,rude,rudest
handy,handiest,sad,saddest
handy,handiest,scary,scariest
handy,handiest,sexy,sexiest
handy,handiest,shiny,shiniest
handy,handiest,strange,strangest
handy,handiest,strict,strictest
handy,handiest,strong,strongest
handy,handiest,subtle,subtlest
handy,handiest,sunny,sunniest
handy,handiest,tasty,tastiest
handy,handiest,tiny,tiniest
handy,handiest,tricky,trickiest
handy,handiest,ugly,ugliest
handy,handiest,vague,vaguest
handy,handiest,weak,weakest
handy,handiest,wealthy,wealthiest
handy,handiest,weird,weirdest
happy,happiest,hardy,hardiest
happy,happiest,harsh,harshest
happy,happiest,healthy,healthiest
happy,happiest,hot,hottest
happy,happiest,huge,hugest
happy,happiest,hungry,hungriest
happy,happiest,lazy,laziest
happy,happiest,lengthy,lengthiest
happy,happiest,lucky,luckiest
happy,happiest,merry,merriest
happy,happiest,mild,mildest
happy,happiest,nasty,nastiest
happy,happiest,neat,neatest
happy,happiest,nice,nicest
happy,happiest,noisy,noisiest
happy,happiest,proud,proudest
happy,happiest,pure,purest
happy,happiest,rare,rarest
happy,happiest,risky,riskiest
happy,happiest,rude,rudest
happy,happiest,sad,saddest
happy,happiest,scary,scariest
happy,happiest,sexy,sexiest
happy,happiest,shiny,shiniest
happy,happiest,strange,strangest
happy,happiest,strict,strictest
happy,happiest,strong,strongest
happy,happiest,subtle,subtlest
happy,happiest,sunny,sunniest
happy,happiest,tasty,tastiest
happy,happiest,tiny,tiniest
happy,happiest,tricky,trickiest
happy,happiest,ugly,ugliest
happy,happiest,vague,vaguest
happy,happiest,weak,weakest
happy,happiest,wealthy,wealthiest
happy,happiest,weird,weirdest
hardy,hardiest,harsh,harshest
hardy,hardiest,healthy,healthiest
hardy,hardiest,hot,hottest
hardy,hardiest,huge,hugest
hardy,hardiest,hungry,hungriest
hardy,hardiest,lazy,laziest
hardy,hardiest,lengthy,lengthiest
hardy,hardiest,lucky,luckiest
hardy,hardiest,merry,merriest
hardy,hardiest,mild,mildest
hardy,hardiest,nasty,nastiest
hardy,hardiest,neat,neatest
hardy,hardiest,nice,nicest
hardy,hardiest,noisy,noisiest
hardy,hardiest,proud,proudest
hardy,hardiest,pure,purest
hardy,hardiest,rare,rarest
hardy,hardiest,risky,riskiest
hardy,hardiest,rude,rudest
hardy,hardiest,sad,saddest
hardy,hardiest,scary,scariest
hardy,hardiest,sexy,sexiest
hardy,hardiest,shiny,shiniest
hardy,hardiest,strange,strangest
hardy,hardiest,strict,strictest
hardy,hardiest,strong,strongest
hardy,hardiest,subtle,subtlest
hardy,hardiest,sunny,sunniest
hardy,hardiest,tasty,tastiest
hardy,hardiest,tiny,tiniest
hardy,hardiest,tricky,trickiest
hardy,hardiest,ugly,ugliest
hardy,hardiest,vague,vaguest
hardy,hardiest,weak,weakest
hardy,hardiest,wealthy,wealthiest
hardy,hardiest,weird,weirdest
harsh,harshest,healthy,healthiest
harsh,harshest,hot,hottest
harsh,harshest,huge,hugest
harsh,harshest,hungry,hungriest
harsh,harshest,lazy,laziest
harsh,harshest,lengthy,lengthiest
harsh,harshest,lucky,luckiest
harsh,harshest,merry,merriest
harsh,harshest,mild,mildest
harsh,harshest,nasty,nastiest
harsh,harshest,neat,neatest
harsh,harshest,nice,nicest
harsh,harshest,noisy,noisiest
harsh,harshest,proud,proudest
harsh,harshest,pure,purest
harsh,harshest,rare,rarest
harsh,harshest,risky,riskiest
harsh,harshest,rude,rudest
harsh,harshest,sad,saddest
harsh,harshest,scary,scariest
harsh,harshest,sexy,sexiest
harsh,harshest,shiny,shiniest
harsh,harshest,strange,strangest
harsh,harshest,strict,strictest
harsh,harshest,strong,strongest
harsh,harshest,subtle,subtlest
harsh,harshest,sunny,sunniest
harsh,harshest,tasty,tastiest
harsh,harshest,tiny,tiniest
harsh,harshest,tricky,trickiest
harsh,harshest,ugly,ugliest
harsh,harshest,vague,vaguest
harsh,harshest,weak,weakest
harsh,harshest,wealthy,wealthiest
harsh,harshest,weird,weirdest
healthy,healthiest,hot,hottest
healthy,healthiest,huge,hugest
healthy,healthiest,hungry,hungriest
healthy,healthiest,lazy,laziest
healthy,healthiest,lengthy,lengthiest
healthy,healthiest,lucky,luckiest
healthy,healthiest,merry,merriest
healthy,healthiest,mild,mildest
healthy,healthiest,nasty,nastiest
healthy,healthiest,neat,neatest
healthy,healthiest,nice,nicest
healthy,healthiest,noisy,noisiest
healthy,healthiest,proud,proudest
healthy,healthiest,pure,purest
healthy,healthiest,rare,rarest
healthy,healthiest,risky,riskiest
healthy,healthiest,rude,rudest
healthy,healthiest,sad,saddest
healthy,healthiest,scary,scariest
healthy,healthiest,sexy,sexiest
healthy,healthiest,shiny,shiniest
healthy,healthiest,strange,strangest
healthy,healthiest,strict,strictest
healthy,healthiest,strong,strongest
healthy,healthiest,subtle,subtlest
healthy,healthiest,sunny,sunniest
healthy,healthiest,tasty,tastiest
healthy,healthiest,tiny,tiniest
healthy,healthiest,tricky,trickiest
healthy,healthiest,ugly,ugliest
healthy,healthiest,vague,vaguest
healthy,healthiest,weak,weakest
healthy,healthiest,wealthy,wealthiest
healthy,healthiest,weird,weirdest
hot,hottest,huge,hugest
hot,hottest,hungry,hungriest
hot,hottest,lazy,laziest
hot,hottest,lengthy,lengthiest
hot,hottest,lucky,luckiest
hot,hottest,merry,merriest
hot,hottest,mild,mildest
hot,hottest,nasty,nastiest
hot,hottest,neat,neatest
hot,hottest,nice,nicest
hot,hottest,noisy,noisiest
hot,hottest,proud,proudest
hot,hottest,pure,purest
hot,hottest,rare,rarest
hot,hottest,risky,riskiest
hot,hottest,rude,rudest
hot,hottest,sad,saddest
hot,hottest,scary,scariest
hot,hottest,sexy,sexiest
hot,hottest,shiny,shiniest
hot,hottest,strange,strangest
hot,hottest,strict,strictest
hot,hottest,strong,strongest
hot,hottest,subtle,subtlest
hot,hottest,sunny,sunniest
hot,hottest,tasty,tastiest
hot,hottest,tiny,tiniest
hot,hottest,tricky,trickiest
hot,hottest,ugly,ugliest
hot,hottest,vague,vaguest
hot,hottest,weak,weakest
hot,hottest,wealthy,wealthiest
hot,hottest,weird,weirdest
huge,hugest,hungry,hungriest
huge,hugest,lazy,laziest
huge,hugest,lengthy,lengthiest
huge,hugest,lucky,luckiest
huge,hugest,merry,merriest
huge,hugest,mild,mildest
huge,hugest,nasty,nastiest
huge,hugest,neat,neatest
huge,hugest,nice,nicest
huge,hugest,noisy,noisiest
huge,hugest,proud,proudest
huge,hugest,pure,purest
huge,hugest,rare,rarest
huge,hugest,risky,riskiest
huge,hugest,rude,rudest
huge,hugest,sad,saddest
huge,hugest,scary,scariest
huge,hugest,sexy,sexiest
huge,hugest,shiny,shiniest
huge,hugest,strange,strangest
huge,hugest,strict,strictest
huge,hugest,strong,strongest
huge,hugest,subtle,subtlest
huge,hugest,sunny,sunniest
huge,hugest,tasty,tastiest
huge,hugest,tiny,tiniest
huge,hugest,tricky,trickiest
huge,hugest,ugly,ugliest
huge,hugest,vague,vaguest
huge,hugest,weak,weakest
huge,hugest,wealthy,wealthiest
huge,hugest,weird,weirdest
hungry,hungriest,lazy,laziest
hungry,hungriest,lengthy,lengthiest
hungry,hungriest,lucky,luckiest
hungry,hungriest,merry,merriest
hungry,hungriest,mild,mildest
hungry,hungriest,nasty,nastiest
hungry,hungriest,neat,neatest
hungry,hungriest,nice,nicest
hungry,hungriest,noisy,noisiest
hungry,hungriest,proud,proudest
hungry,hungriest,pure,purest
hungry,hungriest,rare,rarest
hungry,hungriest,risky,riskiest
hungry,hungriest,rude,rudest
hungry,hungriest,sad,saddest
hungry,hungriest,scary,scariest
hungry,hungriest,sexy,sexiest
hungry,hungriest,shiny,shiniest
hungry,hungriest,strange,strangest
hungry,hungriest,strict,strictest
hungry,hungriest,strong,strongest
hungry,hungriest,subtle,subtlest
hungry,hungriest,sunny,sunniest
hungry,hungriest,tasty,tastiest
hungry,hungriest,tiny,tiniest
hungry,hungriest,tricky,trickiest
hungry,hungriest,ugly,ugliest
hungry,hungriest,vague,vaguest
hungry,hungriest,weak,weakest
hungry,hungriest,wealthy,wealthiest
hungry,hungriest,weird,weirdest
lazy,laziest,lengthy,lengthiest
lazy,laziest,lucky,luckiest
lazy,laziest,merry,merriest
lazy,laziest,mild,mildest
lazy,laziest,nasty,nastiest
lazy,laziest,neat,neatest
lazy,laziest,nice,nicest
lazy,laziest,noisy,noisiest
lazy,laziest,proud,proudest
lazy,laziest,pure,purest
lazy,laziest,rare,rarest
lazy,laziest,risky,riskiest
lazy,laziest,rude,rudest
lazy,laziest,sad,saddest
lazy,laziest,scary,scariest
lazy,laziest,sexy,sexiest
lazy,laziest,shiny,shiniest
lazy,laziest,strange,strangest
lazy,laziest,strict,strictest
lazy,laziest,strong,strongest
lazy,laziest,subtle,subtlest
lazy,laziest,sunny,sunniest
lazy,laziest,tasty,tastiest
lazy,laziest,tiny,tiniest
lazy,laziest,tricky,trickiest
lazy,laziest,ugly,ugliest
lazy,laziest,vague,vaguest
lazy,laziest,weak,weakest
lazy,laziest,wealthy,wealthiest
lazy,laziest,weird,weirdest
lengthy,lengthiest,lucky,luckiest
lengthy,lengthiest,merry,merriest
lengthy,lengthiest,mild,mildest
lengthy,lengthiest,nasty,nastiest
lengthy,lengthiest,neat,neatest
lengthy,lengthiest,nice,nicest
lengthy,lengthiest,noisy,noisiest
lengthy,lengthiest,proud,proudest
lengthy,lengthiest,pure,purest
lengthy,lengthiest,rare,rarest
lengthy,lengthiest,risky,riskiest
lengthy,lengthiest,rude,rudest
lengthy,lengthiest,sad,saddest
lengthy,lengthiest,scary,scariest
lengthy,lengthiest,sexy,sexiest
lengthy,lengthiest,shiny,shiniest
lengthy,lengthiest,strange,strangest
lengthy,lengthiest,strict,strictest
lengthy,lengthiest,strong,strongest
lengthy,lengthiest,subtle,subtlest
lengthy,lengthiest,sunny,sunniest
lengthy,lengthiest,tasty,tastiest
lengthy,lengthiest,tiny,tiniest
lengthy,lengthiest,tricky,trickiest
lengthy,lengthiest,ugly,ugliest
lengthy,lengthiest,vague,vaguest
lengthy,lengthiest,weak,weakest
lengthy,lengthiest,wealthy,wealthiest
lengthy,lengthiest,weird,weirdest
lucky,luckiest,merry,merriest
lucky,luckiest,mild,mildest
lucky,luckiest,nasty,nastiest
lucky,luckiest,neat,neatest
lucky,luckiest,nice,nicest
lucky,luckiest,noisy,noisiest
lucky,luckiest,proud,proudest
lucky,luckiest,pure,purest
lucky,luckiest,rare,rarest
lucky,luckiest,risky,riskiest
lucky,luckiest,rude,rudest
lucky,luckiest,sad,saddest
lucky,luckiest,scary,scariest
lucky,luckiest,sexy,sexiest
lucky,luckiest,shiny,shiniest
lucky,luckiest,strange,strangest
lucky,luckiest,strict,strictest
lucky,luckiest,strong,strongest
lucky,luckiest,subtle,subtlest
lucky,luckiest,sunny,sunniest
lucky,luckiest,tasty,tastiest
lucky,luckiest,tiny,tiniest
lucky,luckiest,tricky,trickiest
lucky,luckiest,ugly,ugliest
lucky,luckiest,vague,vaguest
lucky,luckiest,weak,weakest
lucky,luckiest,wealthy,wealthiest
lucky,luckiest,weird,weirdest
merry,merriest,mild,mildest
merry,merriest,nasty,nastiest
merry,merriest,neat,neatest
merry,merriest,nice,nicest
merry,merriest,noisy,noisiest
merry,merriest,proud,proudest
merry,merriest,pure,purest
merry,merriest,rare,rarest
merry,merriest,risky,riskiest
merry,merriest,rude,rudest
merry,merriest,sad,saddest
merry,merriest,scary,scariest
merry,merriest,sexy,sexiest
merry,merriest,shiny,shiniest
merry,merriest,strange,strangest
merry,merriest,strict,strictest
merry,merriest,strong,strongest
merry,merriest,subtle,subtlest
merry,merriest,sunny,sunniest
merry,merriest,tasty,tastiest
merry,merriest,tiny,tiniest
merry,merriest,tricky,trickiest
merry,merriest,ugly,ugliest
merry,merriest,vague,vaguest
merry,merriest,weak,weakest
merry,merriest,wealthy,wealthiest
merry,merriest,weird,weirdest
mild,mildest,nasty,nastiest
mild,mildest,neat,neatest
mild,mildest,nice,nicest
mild,mildest,noisy,noisiest
mild,mildest,proud,proudest
mild,mildest,pure,purest
mild,mildest,rare,rarest
mild,mildest,risky,riskiest
mild,mildest,rude,rudest
mild,mildest,sad,saddest
mild,mildest,scary,scariest
mild,mildest,sexy,sexiest
mild,mildest,shiny,shiniest
mild,mildest,strange,strangest
mild,mildest,strict,strictest
mild,mildest,strong,strongest
mild,mildest,subtle,subtlest
mild,mildest,sunny,sunniest
mild,mildest,tasty,tastiest
mild,mildest,tiny,tiniest
mild,mildest,tricky,trickiest
mild,mildest,ugly,ugliest
mild,mildest,vague,vaguest
mild,mildest,weak,weakest
mild,mildest,wealthy,wealthiest
mild,mildest,weird,weirdest
nasty,nastiest,neat,neatest
nasty,nastiest,nice,nicest
nasty,nastiest,noisy,noisiest
nasty,nastiest,proud,proudest
nasty,nastiest,pure,purest
nasty,nastiest,rare,rarest
nasty,nastiest,risky,riskiest
nasty,nastiest,rude,rudest
nasty,nastiest,sad,saddest
nasty,nastiest,scary,scariest
nasty,nastiest,sexy,sexiest
nasty,nastiest,shiny,shiniest
nasty,nastiest,strange,strangest
nasty,nastiest,strict,strictest
nasty,nastiest,strong,strongest
nasty,nastiest,subtle,subtlest
nasty,nastiest,sunny,sunniest
nasty,nastiest,tasty,tastiest
nasty,nastiest,tiny,tiniest
nasty,nastiest,tricky,trickiest
nasty,nastiest,ugly,ugliest
nasty,nastiest,vague,vaguest
nasty,nastiest,weak,weakest
nasty,nastiest,wealthy,wealthiest
nasty,nastiest,weird,weirdest
neat,neatest,nice,nicest
neat,neatest,noisy,noisiest
